model,DistanceFromOrigin,Rank
piest2024dsr-kb,106.82696288858914,1.0
bernasconi2021ontovcm,97.45255255764212,2.0
sariev2024maritime,88.25531145489205,3.0
lindeberg2022simple-ontorights,86.2670273047588,4.0
plato-ontology2019,85.23496934944014,5.0
alpinebits2022,85.0881895447306,6.0
silva2012itarchitecture,84.2140130857092,7.0
eu-rent-refactored2022,81.60882305241266,8.0
barcelos2024resiliont,79.90619500389191,9.0
sikora2021online-education,78.2368199762746,10.0
sales2018cover,77.42092740338364,11.0
oliveira2022rose,77.42092740338364,11.0
niederkofler2019dssapple,74.73285756613352,12.0
guizzardi2022ufo,69.77105417004964,13.0
maddalena2021ontocovid,69.42621983083913,14.0
weigand2021artifact,65.11528238439882,15.0
buridan-ontology2021,64.35060217278468,16.0
amaral2020rome,61.220911460055866,17.0
romanenko2023what,60.83584469702052,18.0
aguiar2019ooco,58.52349955359813,19.0
ramirez2015userfeedback,57.30619512757761,20.0
amaral2019rot,56.60388679233962,21.0
ppo-o2021,56.515484603779164,22.0
fonseca2022incorporating,55.154328932550705,23.0
bernasconi2023fair-principles,54.378304497290095,24.0
ramos2021bias,54.12947441089743,25.0
cmpo2017,53.33854141237835,26.0
rodrigues2017urinary-profiles,52.80151512977634,27.0
andrade2023integracao,51.31276644267,28.0
barcelos2013normative-acts,48.46648326421054,29.0
elghosh2024eucaim,48.41487374764082,30.0
machacova2023gym,46.06517122512408,31.0
guizzardi2005ontological,45.880278987817846,32.0
aguiar2018rdbs-o,43.04648650006177,33.0
fraller2019abc,42.95346318982906,34.0
public-expense-ontology2020,42.42640687119285,35.0
heirbrant2023boekbazaar,42.42640687119285,35.0
silva2021sebim,42.1070065428546,36.0
kostov2017towards,42.04759208325728,37.0
falduci2022non-consensual-pornography,41.10960958218893,38.0
pinheiro2024api,41.036569057366385,39.0
dpo2017,40.607881008493905,40.0
guizzardi2020decision-making,40.36087214122113,41.0
vieira2020weathering,40.311288741492746,42.0
zanetti2019orm-o,38.47076812334269,43.0
castro2012cloudvulnerability,38.27531841800928,44.0
silveira2021oap,36.71511950137164,45.0
haridy2021egyptian-e-government,35.77708763999664,46.0
elikan2018brand-identity,35.510561809129406,47.0
core-o2023,35.510561809129406,47.0
nardi2015ufo-s,35.4682957019364,48.0
pereira2020ontotrans,35.0,49.0
fernandez-cejas2022curie-o,34.132096331752024,50.0
jacobs2022sdpontology,34.0,51.0
van-wingerde2020smart-contracts,34.0,51.0
demori2023miscon,33.61547262794322,52.0
neves2020nwpontology,33.0,53.0
porello2020coex,31.064449134018133,54.0
abrahao2018agriculture-operations,30.479501308256342,55.0
aires2022valuenetworks-geo,30.479501308256342,55.0
khantong2020ontology,30.0,56.0
abel2015petroleum-system,29.154759474226502,57.0
cgts2021sebim,29.154759474226502,57.0
formula-one2023,27.85677655436824,58.0
sales2018competition,27.0,59.0
pereira2015doacao-orgaos,25.709920264364882,60.0
dcat-mlt-ufo2023,25.632011235952593,61.0
amaral2020game-theory,25.059928172283335,62.0
zhou2017hazard-ontology-train-control,25.0,63.0
rocha2023ciencia-aberta,24.73863375370596,64.0
tesolin2023hint,24.413111231467404,65.0
amaral2022ethical-requirements,24.186773244895647,66.0
guarino2016value,24.08318915758459,67.0
repa2021public-administration,24.08318915758459,67.0
franco2018rpg,23.323807579381203,68.0
laurier2018rea,23.0,69.0
duarte2020jogabilidade,21.95449840010015,70.0
carolla2014campus-management,21.400934559032695,71.0
fischer2018ontorea,20.12461179749811,72.0
gomes2022digital-technology,19.924858845171276,73.0
buchtela2020connection,19.0,74.0
neves2021grain-production,18.0,75.0
spmo2017,17.11724276862369,76.0
garcia2022human-genome-events,16.55294535724685,77.0
moreira2018saref4health,16.278820596099706,78.0
quality-assurance-process-ontology2017,16.0312195418814,79.0
oliveira2007collaboration,16.0,80.0
martinez2013human-genome,15.620499351813308,81.0
brazilian-governmental-organizational-structures,15.132745950421556,82.0
santos2020valuenetworks,15.0,83.0
elghosh2020cargos,13.45362404707371,84.0
fumagalli2022criminal-investigation,13.45362404707371,84.0
zhou2017hazard-ontology-robotic-strolling,13.0,85.0
junior2018o4c,12.083045973594572,86.0
barros2020programming,12.0,87.0
guarino2018rea,11.704699910719626,88.0
valaski2020medical-appointment,9.219544457292887,89.0
nascimento2023spacecon,9.0,90.0
andersson2018value-ascription,6.708203932499369,91.0
gailly2016value,4.0,92.0
grueau2013towards,0.0,93.0
