Stereotype,Total Frequency,Total Frequency per Group,Group Frequency,Ubiquity Index (Group Frequency per Group),Global Relative Frequency (Occurrence-wise),Global Relative Frequency (Group-wise)
abstract,1,0.009615384615384616,1,0.009615384615384616,0.00018178512997636792,0.001277139208173691
category,355,3.4134615384615383,74,0.7115384615384616,0.06453372114161061,0.09450830140485313
collective,71,0.6826923076923077,28,0.2692307692307692,0.012906744228322123,0.035759897828863345
datatype,79,0.7596153846153846,21,0.20192307692307693,0.014361025268133067,0.02681992337164751
enumeration,40,0.38461538461538464,5,0.04807692307692308,0.007271405199054717,0.006385696040868455
event,453,4.355769230769231,49,0.47115384615384615,0.08234866387929467,0.06257982120051085
historicalRole,23,0.22115384615384615,4,0.038461538461538464,0.004181057989456462,0.005108556832694764
historicalRoleMixin,9,0.08653846153846154,3,0.028846153846153848,0.0016360661697873114,0.0038314176245210726
kind,964,9.26923076923077,85,0.8173076923076923,0.1752408652972187,0.10855683269476372
mixin,27,0.25961538461538464,17,0.16346153846153846,0.0049081985093619345,0.021711366538952746
mode,301,2.894230769230769,51,0.49038461538461536,0.05471732412288675,0.06513409961685823
phase,204,1.9615384615384615,35,0.33653846153846156,0.03708416651517906,0.04469987228607918
phaseMixin,20,0.19230769230769232,8,0.07692307692307693,0.0036357025995273585,0.010217113665389528
quality,249,2.394230769230769,43,0.41346153846153844,0.04526449736411561,0.05491698595146871
quantity,17,0.16346153846153846,9,0.08653846153846154,0.003090347209598255,0.011494252873563218
relator,376,3.6153846153846154,79,0.7596153846153846,0.06835120887111434,0.10089399744572158
role,475,4.5673076923076925,72,0.6923076923076923,0.08634793673877476,0.09195402298850575
roleMixin,286,2.75,46,0.4423076923076923,0.05199054717324123,0.05874840357598978
situation,73,0.7019230769230769,19,0.18269230769230768,0.01327031448827486,0.024265644955300127
subkind,1071,10.298076923076923,76,0.7307692307692307,0.19469187420469006,0.0970625798212005
type,107,1.0288461538461537,23,0.22115384615384615,0.019451008907471368,0.02937420178799489
none,215,2.0673076923076925,20,0.19230769230769232,0.03908380294491911,0.02554278416347382
other,85,0.8173076923076923,15,0.14423076923076922,0.015451736047991275,0.019157088122605363
