Stereotype,Shannon Entropy,Gini Coefficient,Simpson Index
abstract,0.0,0.0,0.0
category,3.1464910565176116,0.7562008469449486,0.17461372730070793
collective,1.5232489075639568,0.9103448275862069,0.5583431952662723
datatype,2.4464393360148455,0.8413793103448276,0.20000000000000004
enumeration,1.2640886077842295,0.9325337331334332,0.4896030245746692
event,3.1843493726171253,0.7532327586206896,0.12548828125
historicalRole,0.0,0.0,0.0
historicalRoleMixin,0.0,0.0,0.0
kind,2.3033576080839824,0.8051775299293973,0.4229191064463015
mixin,1.963768419750461,0.896551724137931,0.36199599019826256
mode,2.125554295832764,0.8672785909203672,0.3992546969618549
phase,1.1953581491598237,0.9282247765006386,0.6592592592592593
phaseMixin,0.0,0.0,0.0
quality,0.7642045036232302,0.9501915708812261,0.654320987654321
quantity,1.6668755695267625,0.9132706374085684,0.4178145087235997
relator,1.2132394577752934,0.907677652886264,0.7050492964195234
role,1.5039388509570586,0.8994332917106906,0.5643995235915303
roleMixin,1.769360616613094,0.892781904867502,0.5096618107753228
situation,1.8230679765028808,0.896551724137931,0.30578512396694213
subkind,1.5000006364281435,0.9046293782242737,0.6010912021824044
type,2.1330512213276376,0.8788032454361054,0.27605968858131485
