year,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers,other,none
2005,0.0000000,0.0001330,0.0000000,0.0005319,0.0000000,0.0002660,0.0000000,0.0000000,0.0000000,0.0000000,0.0002660,0.0007979,0.0001330,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0006649,0.0005319
2007,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0026596
2011,0.0000000,0.0000000,0.0000000,0.0002660,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0006649,0.0000000
2012,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0002660,0.0000000,0.0000000,0.0000000,0.0000000,0.0010638,0.0022606,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0006649,0.0037234
2013,0.0000000,0.0000000,0.0000000,0.0014628,0.0000000,0.0002660,0.0000000,0.0000000,0.0000000,0.0000000,0.0002660,0.0005319,0.0005319,0.0000000,0.0000000,0.0009309,0.0000000,0.0000000,0.0000000,0.0003989,0.0000000
2014,0.0000000,0.0000000,0.0000000,0.0003989,0.0000000,0.0006649,0.0000000,0.0000000,0.0000000,0.0000000,0.0006649,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0017287
2015,0.0000000,0.0182181,0.0000000,0.0386968,0.0000000,0.0130319,0.0002660,0.0000000,0.0000000,0.0000000,0.0345745,0.1679521,0.0160904,0.0000000,0.0000000,0.0015957,0.0003989,0.0000000,0.0000000,0.0393617,0.0192819
2016,0.0000000,0.0022606,0.0019947,0.0006649,0.0000000,0.0000000,0.0007979,0.0000000,0.0000000,0.0000000,0.0001330,0.0033245,0.0005319,0.0005319,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0045213,0.0042553
2017,0.0000000,0.0003989,0.0000000,0.0002660,0.0000000,0.0005319,0.0000000,0.0000000,0.0000000,0.0000000,0.0026596,0.0014628,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0026596,0.0418883
2018,0.0003989,0.0023936,0.0000000,0.0013298,0.0000000,0.0007979,0.0002660,0.0006649,0.0002660,0.0003989,0.0018617,0.0021277,0.0005319,0.0014628,0.0000000,0.0000000,0.0000000,0.0000000,0.0002660,0.0002660,0.0236702
2019,0.0000000,0.0025266,0.0000000,0.0015957,0.0000000,0.0007979,0.0000000,0.0002660,0.0006649,0.0001330,0.0014628,0.0075798,0.0010638,0.0010638,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0105053,0.0115691
2020,0.0000000,0.0043883,0.0000000,0.0058511,0.0005319,0.0011968,0.0013298,0.0000000,0.0005319,0.0003989,0.0007979,0.0051862,0.0000000,0.0014628,0.0000000,0.0000000,0.0000000,0.0000000,0.0002660,0.0065160,0.0456117
2021,0.0007979,0.0114362,0.0001330,0.0094415,0.0009309,0.0007979,0.0019947,0.0013298,0.0015957,0.0011968,0.0150266,0.0132979,0.0015957,0.0039894,0.0001330,0.0000000,0.0013298,0.0000000,0.0003989,0.0010638,0.0343085
2022,0.0009309,0.0073138,0.0000000,0.0045213,0.0035904,0.0038564,0.0027926,0.0027926,0.0046543,0.0006649,0.0071809,0.0215426,0.0019947,0.0119681,0.0011968,0.0010638,0.0001330,0.0001330,0.0005319,0.0002660,0.0541223
2023,0.0011968,0.0143617,0.0022606,0.0061170,0.0015957,0.0019947,0.0021277,0.0000000,0.0009309,0.0002660,0.0083777,0.0191489,0.0043883,0.0011968,0.0000000,0.0000000,0.0000000,0.0005319,0.0003989,0.0017287,0.0448138
2024,0.0006649,0.0107713,0.0005319,0.0021277,0.0013298,0.0046543,0.0006649,0.0007979,0.0005319,0.0014628,0.0085106,0.0163564,0.0001330,0.0063830,0.0009309,0.0000000,0.0000000,0.0000000,0.0002660,0.0013298,0.0079787
