Construct Pair,Dice Coefficient,Mutual Information
abstract - category,0.0298507462686567,0.0599601521247649
abstract - collective,0.0,0.0036336257059861
abstract - datatype,0.0,0.0026809206114755
abstract - enumeration,0.0,0.0006108168514265
abstract - event,0.0476190476190476,0.0448917351560704
abstract - historicalRole,0.0,0.0004858765689671
abstract - historicalRoleMixin,0.5,0.0448917351560707
abstract - kind,0.0,0.0200259086256396
abstract - mixin,0.0,0.0018050325698244
abstract - mode,0.0425531914893617,0.0235362709199649
abstract - phase,0.0,0.0048621675731868
abstract - phaseMixin,0.2222222222222222,0.0599601521247651
abstract - quality,0.0465116279069767,0.0271975294068138
abstract - quantity,0.0,0.0008650901808673
abstract - relator,0.0,0.0162609595039816
abstract - role,0.0,0.0123042566871897
abstract - roleMixin,0.048780487804878,0.0599601521247654
abstract - situation,0.1111111111111111,0.039204255332543
abstract - subkind,0.0,0.0152489239455533
abstract - type,0.0952380952380952,0.04489173515607
abstract - none,0.1176470588235294,0.039204255332543
abstract - other,0.0,0.0015280822441586
category - collective,0.4347826086956521,0.3425588340390614
category - datatype,0.3953488372093023,0.3963800953462228
category - enumeration,0.0845070422535211,0.0917720009224024
category - event,0.5794392523364486,0.7128554998005944
category - historicalRole,0.0857142857142857,0.0902554654872005
category - historicalRoleMixin,0.0869565217391304,0.0861105019234023
category - kind,0.7552447552447552,1.0982192159136388
category - mixin,0.3,0.1237902748214967
category - mode,0.6964285714285714,0.6582121604941471
category - phase,0.4848484848484848,0.4995193741577286
category - phaseMixin,0.2162162162162162,0.1766895120045466
category - quality,0.6481481481481481,0.6792722892267495
category - quantity,0.1643835616438356,0.0884110475507296
category - relator,0.7153284671532847,0.6796345312852359
category - role,0.6875,0.7622968319072743
category - roleMixin,0.6037735849056604,0.5730356292905036
category - situation,0.3855421686746988,0.3741816361075055
category - subkind,0.7851851851851852,1.1238835010866546
category - type,0.4186046511627907,0.4704592810319644
category - none,0.2926829268292683,0.3552269684306308
category - other,0.2564102564102564,0.2059305790150113
collective - datatype,0.3043478260869565,0.1818871596700379
collective - enumeration,0.1290322580645161,0.0432901781370591
collective - event,0.3582089552238806,0.2755643593912288
collective - historicalRole,0.1333333333333333,0.0560839982856036
collective - historicalRoleMixin,0.0689655172413793,0.0329100834895534
collective - kind,0.4660194174757281,0.5360174790143445
collective - mixin,0.25,0.0398908543323558
collective - mode,0.4444444444444444,0.2933882866914071
collective - phase,0.576271186440678,0.3617937078845692
collective - phaseMixin,0.1764705882352941,0.0509247839082914
collective - quality,0.3529411764705882,0.1847948670920298
collective - quantity,0.303030303030303,0.1057591548503834
collective - relator,0.4948453608247423,0.4008732676711466
collective - role,0.4772727272727273,0.3812830891642
collective - roleMixin,0.303030303030303,0.1775687187722573
collective - situation,0.0,0.0692926326844032
collective - subkind,0.5052631578947369,0.5726639383476533
collective - type,0.3043478260869565,0.1875539659068219
collective - none,0.1428571428571428,0.1031860395585722
collective - other,0.1578947368421052,0.0828819544072923
datatype - enumeration,0.24,0.1569917067627294
datatype - event,0.360655737704918,0.2984071254529389
datatype - historicalRole,0.0833333333333333,0.0383579392313772
datatype - historicalRoleMixin,0.0869565217391304,0.0255976480114704
datatype - kind,0.3711340206185567,0.4861285878704273
datatype - mixin,0.1764705882352941,0.0470715462295992
datatype - mode,0.303030303030303,0.2521279254204618
datatype - phase,0.3018867924528302,0.2705294945527053
datatype - phaseMixin,0.2142857142857142,0.1160751207620935
datatype - quality,0.3870967741935484,0.2247248149141839
datatype - quantity,0.2222222222222222,0.0978126960205746
datatype - relator,0.3076923076923077,0.2957940127275434
datatype - role,0.3414634146341463,0.3374230129419382
datatype - roleMixin,0.2666666666666666,0.2214371371258224
datatype - situation,0.3243243243243243,0.1342416615473343
datatype - subkind,0.3595505617977528,0.4617082903063365
datatype - type,0.25,0.1470542522674765
datatype - none,0.2777777777777778,0.1280158718693807
datatype - other,0.1875,0.0752863312542181
enumeration - event,0.0869565217391304,0.0698487155153058
enumeration - historicalRole,0.0,0.0024855819412869
enumeration - historicalRoleMixin,0.0,0.0018534452417482
enumeration - kind,0.1219512195121951,0.1599154123862073
enumeration - mixin,0.0,0.0092477553000789
enumeration - mode,0.0392156862745098,0.0461467487026991
enumeration - phase,0.1578947368421052,0.1027936120974023
enumeration - phaseMixin,0.1538461538461538,0.0635224177895121
enumeration - quality,0.1276595744680851,0.0804522809618766
enumeration - quantity,0.1666666666666666,0.0234775277473746
enumeration - relator,0.131578947368421,0.1144670919061389
enumeration - role,0.0895522388059701,0.1208828710515466
enumeration - roleMixin,0.0888888888888888,0.0824446652201667
enumeration - situation,0.0909090909090909,0.0413825369845884
enumeration - subkind,0.1351351351351351,0.158477933140244
enumeration - type,0.16,0.0820113905462841
enumeration - none,0.0,0.0107073931927737
enumeration - other,0.0,0.0078263098573446
event - historicalRole,0.1777777777777777,0.1637764957481529
event - historicalRoleMixin,0.1363636363636363,0.113559636892469
event - kind,0.5084745762711864,0.908669962342536
event - mixin,0.1454545454545454,0.0901834867250784
event - mode,0.5517241379310345,0.6048132918457156
event - phase,0.4594594594594595,0.525114141880131
event - phaseMixin,0.1224489795918367,0.1062553901786289
event - quality,0.5060240963855421,0.5905172540950505
event - quantity,0.25,0.1828445973463346
event - relator,0.5714285714285714,0.6632041054263068
event - role,0.4854368932038835,0.6360829372539151
event - roleMixin,0.5679012345679012,0.6903928911798336
event - situation,0.5862068965517241,0.5539327486806048
event - subkind,0.5454545454545454,0.9006779029451403
event - type,0.4590163934426229,0.4841710036486202
event - none,0.2456140350877192,0.319028909928051
event - other,0.2264150943396226,0.2034841797231625
historicalRole - historicalRoleMixin,0.2857142857142857,0.0606971737616383
historicalRole - kind,0.0987654320987654,0.169463975571681
historicalRole - mixin,0.0,0.0073525851059787
historicalRole - mode,0.0,0.0311253167807897
historicalRole - phase,0.054054054054054,0.0431856595341482
historicalRole - phaseMixin,0.0,0.0040481422337141
historicalRole - quality,0.0434782608695652,0.0554929983143449
historicalRole - quantity,0.5454545454545454,0.1197498507729496
historicalRole - relator,0.1066666666666666,0.1192442477217601
historicalRole - role,0.1212121212121212,0.1170223486554988
historicalRole - roleMixin,0.1363636363636363,0.1121682027658444
historicalRole - situation,0.1904761904761904,0.1238134793808566
historicalRole - subkind,0.0821917808219178,0.0987452730391226
historicalRole - type,0.0833333333333333,0.0677423658965709
historicalRole - none,0.1,0.0451866549088746
historicalRole - other,0.125,0.0642369143831816
historicalRoleMixin - kind,0.025,0.0759800025472051
historicalRoleMixin - mixin,0.0,0.0054807849541993
historicalRoleMixin - mode,0.0408163265306122,0.0235376130901619
historicalRoleMixin - phase,0.0,0.0147923660117637
historicalRoleMixin - phaseMixin,0.3636363636363636,0.0810373542069076
historicalRoleMixin - quality,0.0444444444444444,0.0253473346016452
historicalRoleMixin - quantity,0.2,0.0370107092317043
historicalRoleMixin - relator,0.027027027027027,0.0775976873174117
historicalRoleMixin - role,0.0307692307692307,0.0551994539586357
historicalRoleMixin - roleMixin,0.0930232558139534,0.0899837958592757
historicalRoleMixin - situation,0.1,0.0283913696190896
historicalRoleMixin - subkind,0.0277777777777777,0.0755241526853569
historicalRoleMixin - type,0.2608695652173913,0.1199995239881915
historicalRoleMixin - none,0.1052631578947368,0.0280995473010261
historicalRoleMixin - other,0.0,0.0046391183823312
kind - mixin,0.2637362637362637,0.1819649454325626
kind - mode,0.6341463414634146,0.8983030849561464
kind - phase,0.5818181818181818,0.8424553524945548
kind - phaseMixin,0.1411764705882353,0.157947477575997
kind - quality,0.6218487394957983,0.8732431340699001
kind - quantity,0.1666666666666666,0.2202080444184473
kind - relator,0.8378378378378378,1.2524552494675874
kind - role,0.8633093525179856,1.3603840667046068
kind - roleMixin,0.5128205128205128,0.7251508992116624
kind - situation,0.2340425531914893,0.3668664782359089
kind - subkind,0.863013698630137,1.6807615102936848
kind - type,0.2474226804123711,0.4170604237460653
kind - none,0.3010752688172043,0.4598456866197061
kind - other,0.247191011235955,0.3098762678410002
mixin - mode,0.3,0.1087638900005691
mixin - phase,0.3404255319148936,0.1429209311538316
mixin - phaseMixin,0.0909090909090909,0.0207133624114899
mixin - quality,0.3214285714285714,0.1812299895121597
mixin - quantity,0.0952380952380952,0.0188975319808825
mixin - relator,0.2588235294117647,0.1676266608490649
mixin - role,0.3421052631578947,0.2262882324281458
mixin - roleMixin,0.2962962962962963,0.0913654007186094
mixin - situation,0.064516129032258,0.0260758127800368
mixin - subkind,0.2409638554216867,0.2248032965610679
mixin - type,0.2352941176470588,0.0521356654452144
mixin - none,0.2666666666666666,0.0993401393939
mixin - other,0.0,0.0232211174625769
mode - phase,0.4810126582278481,0.4569320826943204
mode - phaseMixin,0.2222222222222222,0.1359571833252244
mode - quality,0.6136363636363636,0.5691572790543944
mode - quantity,0.1132075471698113,0.1195137752017448
mode - relator,0.6495726495726496,0.62906372184691
mode - role,0.6481481481481481,0.7136783983538707
