Stereotype,DistanceFromOrigin,Rank
subkind,1007.059485483113,1
kind,912.0538736450835,2
role,409.0241604395166,3
event,346.0204389048233,4
relator,342.0202026169063,5
category,297.01754437783967,6
mode,265.0156540745034,7
roleMixin,265.0156540745034,7
quality,242.01429541898048,8
phase,197.01163717991386,9
datatype,78.00460761438214,10
type,77.00454854240287,11
situation,68.00401689458955,12
collective,67.0039578226103,13
enumeration,40.00236287917033,14
historicalRole,23.00135865552294,15
phaseMixin,20.001181439585164,16
mixin,17.00100422364739,17
quantity,11.00064979177184,18
historicalRoleMixin,9.000531647813323,19
abstract,1.0000590719792581,20
