Stereotype,DistanceFromOrigin,Rank
kind,101.00006125189782,1
relator,91.00005518735348,2
subkind,88.00005336799019,3
category,86.00005215508132,4
role,84.00005094217245,5
mode,58.000035174357166,6
roleMixin,54.00003274853943,7
event,53.000032142085,8
quality,44.000026683995095,9
phase,41.00002486463179,10
collective,35.000021225905186,11
datatype,26.00001576781528,12
type,26.00001576781528,12
none,23.00001394845198,13
mixin,22.000013341997548,14
situation,21.000012735543113,15
other,19.000011522634246,16
quantity,12.000007277453207,17
enumeration,8.00000485163547,18
phaseMixin,8.00000485163547,18
historicalRole,4.000002425817735,19
historicalRoleMixin,3.000001819363302,20
abstract,1.0000006064544338,21
