Stereotype,DistanceFromOrigin,Rank
subkind,0.22259067926863324,1
role,0.20501453306640596,2
kind,0.1941864556003252,3
relator,0.16107259037951163,4
category,0.11449046557254987,5
mode,0.08550600034412072,6
roleMixin,0.08407019029293898,7
event,0.07680319726594996,8
phase,0.057426425746282005,9
quality,0.056438051240736836,10
collective,0.04243125879957058,11
type,0.036553784154473114,12
datatype,0.03123460719649864,13
mixin,0.026701914400851623,14
situation,0.02545279943492639,15
quantity,0.014510853960958645,16
enumeration,0.011107437754808092,17
phaseMixin,0.009443078523512073,18
historicalRole,0.005138506211270344,19
historicalRoleMixin,0.0035744882084113774,20
abstract,0.0011588766286903046,21
