Stereotype,DistanceFromOrigin,Rank
kind,101.00006733726134,1
relator,91.00006067020577,2
subkind,88.00005867008909,3
category,86.00005733667797,4
role,84.00005600326686,5
mode,58.00003866892236,6
roleMixin,54.000036002100124,7
event,53.000035335394564,8
quality,44.000029335044545,9
phase,41.00002733492787,10
collective,35.000023334694525,11
datatype,26.000017334344502,12
type,26.000017334344502,12
mixin,22.000014667522272,13
situation,21.000014000816716,14
quantity,12.000008000466694,15
enumeration,8.000005333644463,16
phaseMixin,8.000005333644463,16
historicalRole,4.0000026668222315,17
historicalRoleMixin,3.0000020001166736,18
abstract,1.0000006667055579,19
