Stereotype,DistanceFromOrigin,Rank
role,1436.8534919029903,1
subkind,1016.6038633519764,2
relator,905.5378900920657,3
kind,674.400594389008,4
roleMixin,311.1848439984889,5
category,285.16939080247374,6
mode,278.1652303266235,7
type,136.08083210223307,8
phase,135.08023774854018,9
event,128.07607727268996,10
mixin,67.03982169742365,11
collective,65.03863299003787,12
quantity,33.01961367186538,13
enumeration,23.013670134936476,14
situation,11.006537890621793,15
datatype,10.005943536928902,16
quality,9.005349183236012,17
abstract,0.0,18
historicalRole,0.0,18
historicalRoleMixin,0.0,18
phaseMixin,0.0,18
