Stereotype,DistanceFromOrigin,Rank
none,18.15292353007755,1
mediation,6.968535458495827,2
characterization,4.349375642626674,3
material,3.5334563651912383,4
componentOf,2.5334471260229283,5
participation,2.2507225548767553,6
other,1.7722552883314266,7
derivation,1.1537928371289097,8
memberOf,0.7946301096595183,9
externalDependence,0.7511053144420806,10
instantiation,0.7507987528088444,11
creation,0.6532034594938878,12
historicalDependence,0.47936973530093185,13
manifestation,0.3703724605358925,14
bringsAbout,0.32700154866841197,15
comparative,0.23934716297830966,16
participational,0.18496210479905323,17
triggers,0.17510152779931884,18
subQuantityOf,0.11963458172142878,19
subCollectionOf,0.08705187308036069,20
termination,0.05469020068987356,21
