Stereotype,DistanceFromOrigin,Rank
mediation,62.003662462714004,1
characterization,57.00336710281772,2
material,38.00224473521181,3
componentOf,32.00189030333626,4
derivation,30.001772159377747,5
participation,28.00165401541923,6
memberOf,21.001240511564422,7
externalDependence,20.001181439585164,8
creation,18.001063295626647,9
instantiation,17.00100422364739,10
historicalDependence,16.00094515166813,11
bringsAbout,12.000708863751099,12
manifestation,12.000708863751099,12
triggers,10.000590719792582,13
comparative,5.000295359896291,14
participational,4.000236287917033,15
termination,3.0001772159377746,16
subCollectionOf,2.0001181439585163,17
subQuantityOf,2.0001181439585163,17
