Stereotype,DistanceFromOrigin,Rank
none,2227.0000065873,1
mediation,1967.000004010755,2
material,623.0000062279988,3
characterization,558.0000110263729,4
componentOf,551.0000048901534,5
other,531.0000030696624,6
derivation,219.0000092413229,7
participation,211.00000530350022,8
memberOf,203.00000629906947,9
externalDependence,77.00000836380056,10
instantiation,69.00000557311225,11
creation,60.000007185264984,12
historicalDependence,44.00000774169943,13
comparative,37.000001294642395,14
manifestation,34.00000563550182,15
bringsAbout,30.000006386901912,16
subCollectionOf,27.00000177413955,17
participational,17.000001252333796,18
triggers,16.000008316277256,19
subQuantityOf,14.000001520691011,20
termination,5.000002395087898,21
