Stereotype,DistanceFromOrigin,Rank
none,24.000806221341577,1
material,16.000537480894383,2
mediation,15.000503888338487,3
other,14.000470295782586,4
componentOf,13.000436703226688,5
characterization,11.00036951811489,6
memberOf,10.000335925558991,7
derivation,9.000302333003091,8
subCollectionOf,4.000134370223596,9
subQuantityOf,2.000067185111798,10
externalDependence,2.000067185111798,10
participation,1.000033592555899,11
comparative,1.000033592555899,11
historicalDependence,0.0,12
bringsAbout,0.0,12
creation,0.0,12
participational,0.0,12
instantiation,0.0,12
manifestation,0.0,12
termination,0.0,12
triggers,0.0,12
