Stereotype,DistanceFromOrigin,Rank
none,24.014264488629365,1
material,16.009509659086245,2
mediation,15.008915305393353,3
other,14.008320951700464,4
componentOf,13.007726598007572,5
characterization,11.006537890621793,6
memberOf,10.005943536928902,7
derivation,9.005349183236012,8
subCollectionOf,4.002377414771561,9
subQuantityOf,2.0011887073857806,10
externalDependence,2.0011887073857806,10
participation,1.0005943536928903,11
comparative,1.0005943536928903,11
historicalDependence,0.0,12
bringsAbout,0.0,12
creation,0.0,12
participational,0.0,12
instantiation,0.0,12
manifestation,0.0,12
termination,0.0,12
triggers,0.0,12
