Stereotype,x_value,y_value,quadrant
bringsAbout,0.0,0.0,Q3
characterization,0.0476334036780223,0.0901639344262295,Q1
comparative,0.0045221585770274,0.0081967213114754,Q4
componentOf,0.0958697618329816,0.1065573770491803,Q1
creation,0.0,0.0,Q3
derivation,0.03406692794694,0.0737704918032786,Q1
externalDependence,0.0024118179077479,0.0163934426229508,Q1
historicalDependence,0.0,0.0,Q3
instantiation,0.0,0.0,Q3
manifestation,0.0,0.0,Q3
material,0.0898402170636117,0.1311475409836065,Q1
mediation,0.3997588182092252,0.1229508196721311,Q1
memberOf,0.0391920410009044,0.081967213114754,Q1
participation,0.0012059089538739,0.0081967213114754,Q3
participational,0.0,0.0,Q3
subCollectionOf,0.0057280675309014,0.0327868852459016,Q1
subQuantityOf,0.0009044317154054,0.0163934426229508,Q2
termination,0.0,0.0,Q3
triggers,0.0,0.0,Q3
other,0.1109436237564063,0.1147540983606557,Q1
none,0.167922821826952,0.1967213114754098,Q1
