Stereotype,x_value,y_value,quadrant
bringsAbout,0.0,0.0,Q3
characterization,0.3793103448275862,0.0901639344262295,Q1
comparative,0.0344827586206896,0.0081967213114754,Q3
componentOf,0.4482758620689655,0.1065573770491803,Q1
creation,0.0,0.0,Q3
derivation,0.3103448275862069,0.0737704918032786,Q1
externalDependence,0.0689655172413793,0.0163934426229508,Q1
historicalDependence,0.0,0.0,Q3
instantiation,0.0,0.0,Q3
manifestation,0.0,0.0,Q3
material,0.5517241379310345,0.1311475409836065,Q1
mediation,0.5172413793103449,0.1229508196721311,Q1
memberOf,0.3448275862068966,0.081967213114754,Q1
participation,0.0344827586206896,0.0081967213114754,Q3
participational,0.0,0.0,Q3
subCollectionOf,0.1379310344827586,0.0327868852459016,Q1
subQuantityOf,0.0689655172413793,0.0163934426229508,Q1
termination,0.0,0.0,Q3
triggers,0.0,0.0,Q3
other,0.4827586206896552,0.1147540983606557,Q1
none,0.8275862068965517,0.1967213114754098,Q1
