Construct Pair,Jaccard Similarity,Mutual Information
bringsAbout - characterization,0.0,0.0
bringsAbout - comparative,0.0,0.0
bringsAbout - componentOf,0.0,0.0
bringsAbout - creation,0.0,0.0
bringsAbout - derivation,0.0,0.0
bringsAbout - externalDependence,0.0,0.0
bringsAbout - historicalDependence,0.0,0.0
bringsAbout - instantiation,0.0,0.0
bringsAbout - manifestation,0.0,0.0
bringsAbout - material,0.0,0.0
bringsAbout - mediation,0.0,0.0
bringsAbout - memberOf,0.0,0.0
bringsAbout - participation,0.0,0.0
bringsAbout - participational,0.0,0.0
bringsAbout - subCollectionOf,0.0,0.0
bringsAbout - subQuantityOf,0.0,0.0
bringsAbout - termination,0.0,0.0
bringsAbout - triggers,0.0,0.0
characterization - comparative,0.0909090909090909,0.0841486303385378
characterization - componentOf,0.4117647058823529,0.7967027439988875
characterization - creation,0.0,0.0
characterization - derivation,0.3333333333333333,0.5720213442333266
characterization - externalDependence,0.1818181818181818,0.2987580581893401
characterization - historicalDependence,0.0,0.0
characterization - instantiation,0.0,0.0
characterization - manifestation,0.0,0.0
characterization - material,0.35,0.7322685755893965
characterization - mediation,0.625,1.1739468402322275
characterization - memberOf,0.5,0.5966000843449658
characterization - participation,0.0909090909090909,0.149994923610415
characterization - participational,0.0,0.0
characterization - subCollectionOf,0.1538461538461538,0.328083150400285
characterization - subQuantityOf,0.1818181818181818,0.2987580581893401
characterization - termination,0.0,0.0
characterization - triggers,0.0,0.0
comparative - componentOf,0.0769230769230769,0.1021916697786949
comparative - creation,0.0,0.0
comparative - derivation,0.0,0.0130878592339515
comparative - externalDependence,0.0,0.0025092203842648
comparative - historicalDependence,0.0,0.0
comparative - instantiation,0.0,0.0
comparative - manifestation,0.0,0.0
comparative - material,0.0625,0.102191669778695
comparative - mediation,0.0666666666666666,0.1021916697786949
comparative - memberOf,0.1,0.1499949236104151
comparative - participation,0.0,0.0012317890314904
comparative - participational,0.0,0.0
comparative - subCollectionOf,0.0,0.0052154859085423
comparative - subQuantityOf,0.0,0.0025092203842648
comparative - termination,0.0,0.0
comparative - triggers,0.0,0.0
componentOf - creation,0.0,0.0
componentOf - derivation,0.375,0.6643150255285314
componentOf - externalDependence,0.0714285714285714,0.1039232635621748
componentOf - historicalDependence,0.0,0.0
componentOf - instantiation,0.0,0.0
componentOf - manifestation,0.0,0.0
componentOf - material,0.45,0.8829387555994014
componentOf - mediation,0.4,0.9703589655881056
componentOf - memberOf,0.5333333333333333,0.6386253589013501
componentOf - participation,0.0,0.0210064222551274
componentOf - participational,0.0,0.0
componentOf - subCollectionOf,0.2142857142857142,0.3975680828867224
componentOf - subQuantityOf,0.1538461538461538,0.2329117649174626
componentOf - termination,0.0,0.0
componentOf - triggers,0.0,0.0
creation - derivation,0.0,0.0
creation - externalDependence,0.0,0.0
creation - historicalDependence,0.0,0.0
creation - instantiation,0.0,0.0
creation - manifestation,0.0,0.0
creation - material,0.0,0.0
creation - mediation,0.0,0.0
creation - memberOf,0.0,0.0
creation - participation,0.0,0.0
creation - participational,0.0,0.0
creation - subCollectionOf,0.0,0.0
creation - subQuantityOf,0.0,0.0
creation - termination,0.0,0.0
creation - triggers,0.0,0.0
derivation - externalDependence,0.1,0.161850993812876
derivation - historicalDependence,0.0,0.0
derivation - instantiation,0.0,0.0
derivation - manifestation,0.0,0.0
derivation - material,0.5625,0.8686573406692057
derivation - mediation,0.5,0.8243849641141556
derivation - memberOf,0.4615384615384615,0.4238299634139019
derivation - participation,0.0,0.0130878592339515
derivation - participational,0.0,0.0
derivation - subCollectionOf,0.3,0.3120860516422624
derivation - subQuantityOf,0.2222222222222222,0.2211945899660559
derivation - termination,0.0,0.0
derivation - triggers,0.0,0.0
externalDependence - historicalDependence,0.0,0.0
externalDependence - instantiation,0.0,0.0
externalDependence - manifestation,0.0,0.0
externalDependence - material,0.0588235294117647,0.1293871543733449
externalDependence - mediation,0.1333333333333333,0.2329117649174627
externalDependence - memberOf,0.2,0.155348296694179
externalDependence - participation,0.5,0.1499949236104149
externalDependence - participational,0.0,0.0
externalDependence - subCollectionOf,0.0,0.0106363804191821
externalDependence - subQuantityOf,0.0,0.0051132388647928
externalDependence - termination,0.0,0.0
externalDependence - triggers,0.0,0.0
historicalDependence - instantiation,0.0,0.0
historicalDependence - manifestation,0.0,0.0
historicalDependence - material,0.0,0.0
historicalDependence - mediation,0.0,0.0
historicalDependence - memberOf,0.0,0.0
historicalDependence - participation,0.0,0.0
historicalDependence - participational,0.0,0.0
historicalDependence - subCollectionOf,0.0,0.0
historicalDependence - subQuantityOf,0.0,0.0
historicalDependence - termination,0.0,0.0
historicalDependence - triggers,0.0,0.0
instantiation - manifestation,0.0,0.0
instantiation - material,0.0,0.0
instantiation - mediation,0.0,0.0
instantiation - memberOf,0.0,0.0
instantiation - participation,0.0,0.0
instantiation - participational,0.0,0.0
instantiation - subCollectionOf,0.0,0.0
instantiation - subQuantityOf,0.0,0.0
instantiation - termination,0.0,0.0
instantiation - triggers,0.0,0.0
manifestation - material,0.0,0.0
manifestation - mediation,0.0,0.0
manifestation - memberOf,0.0,0.0
manifestation - participation,0.0,0.0
manifestation - participational,0.0,0.0
manifestation - subCollectionOf,0.0,0.0
manifestation - subQuantityOf,0.0,0.0
manifestation - termination,0.0,0.0
manifestation - triggers,0.0,0.0
material - mediation,0.55,1.0908119480167455
material - memberOf,0.4444444444444444,0.5262897342933468
material - participation,0.0,0.0284272736261403
material - participational,0.0,0.0
material - subCollectionOf,0.1764705882352941,0.384558947609235
material - subQuantityOf,0.125,0.2987580581893403
material - termination,0.0,0.0
material - triggers,0.0,0.0
mediation - memberOf,0.5625,0.7700790131637377
mediation - participation,0.0666666666666666,0.084148630338538
mediation - participational,0.0,0.0
mediation - subCollectionOf,0.1875,0.4203768316954899
mediation - subQuantityOf,0.1333333333333333,0.2987580581893398
mediation - termination,0.0,0.0
mediation - triggers,0.0,0.0
memberOf - participation,0.1,0.0724314553871312
memberOf - participational,0.0,0.0
memberOf - subCollectionOf,0.4,0.4011898621870055
memberOf - subQuantityOf,0.2,0.2211945899660561
memberOf - termination,0.0,0.0
memberOf - triggers,0.0,0.0
participation - participational,0.0,0.0
participation - subCollectionOf,0.0,0.0052154859085423
participation - subQuantityOf,0.0,0.0025092203842648
participation - termination,0.0,0.0
participation - triggers,0.0,0.0
participational - subCollectionOf,0.0,0.0
participational - subQuantityOf,0.0,0.0
participational - termination,0.0,0.0
participational - triggers,0.0,0.0
subCollectionOf - subQuantityOf,0.5,0.2987580581893397
subCollectionOf - termination,0.0,0.0
subCollectionOf - triggers,0.0,0.0
subQuantityOf - termination,0.0,0.0
subQuantityOf - triggers,0.0,0.0
termination - triggers,0.0,0.0
