year,total_classes,stereotyped_classes,non_stereotyped_classes,ontouml_classes,non_ontouml_classes,total_relations,stereotyped_relations,non_stereotyped_relations,ontouml_relations,non_ontouml_relations,ratio_classes_relations,ratio_stereotyped_classes_relations,ratio_stereotyped_classes_total,ratio_non_stereotyped_classes_total,ratio_stereotyped_relations_total,ratio_non_stereotyped_relations_total,ratio_ontouml_classes_total,ratio_non_ontouml_classes_total,ratio_ontouml_relations_total,ratio_non_ontouml_relations_total,class_total_max,class_total_min,class_total_min_non_zero,class_total_range_non_zero,class_total_range,class_total_mean,class_total_median,class_total_mode,class_total_std_dev,class_total_variance,class_total_q1,class_total_q2,class_total_q3,class_total_iqr,class_total_skewness,class_total_kurtosis,class_stereotyped_max,class_stereotyped_min,class_stereotyped_min_non_zero,class_stereotyped_range_non_zero,class_stereotyped_range,class_stereotyped_mean,class_stereotyped_median,class_stereotyped_mode,class_stereotyped_std_dev,class_stereotyped_variance,class_stereotyped_q1,class_stereotyped_q2,class_stereotyped_q3,class_stereotyped_iqr,class_stereotyped_skewness,class_stereotyped_kurtosis,class_non_stereotyped_max,class_non_stereotyped_min,class_non_stereotyped_min_non_zero,class_non_stereotyped_range_non_zero,class_non_stereotyped_range,class_non_stereotyped_mean,class_non_stereotyped_median,class_non_stereotyped_mode,class_non_stereotyped_std_dev,class_non_stereotyped_variance,class_non_stereotyped_q1,class_non_stereotyped_q2,class_non_stereotyped_q3,class_non_stereotyped_iqr,class_non_stereotyped_skewness,class_non_stereotyped_kurtosis,class_ontouml_max,class_ontouml_min,class_ontouml_min_non_zero,class_ontouml_range_non_zero,class_ontouml_range,class_ontouml_mean,class_ontouml_median,class_ontouml_mode,class_ontouml_std_dev,class_ontouml_variance,class_ontouml_q1,class_ontouml_q2,class_ontouml_q3,class_ontouml_iqr,class_ontouml_skewness,class_ontouml_kurtosis,class_non_ontouml_max,class_non_ontouml_min,class_non_ontouml_min_non_zero,class_non_ontouml_range_non_zero,class_non_ontouml_range,class_non_ontouml_mean,class_non_ontouml_median,class_non_ontouml_mode,class_non_ontouml_std_dev,class_non_ontouml_variance,class_non_ontouml_q1,class_non_ontouml_q2,class_non_ontouml_q3,class_non_ontouml_iqr,class_non_ontouml_skewness,class_non_ontouml_kurtosis,relation_total_max,relation_total_min,relation_total_min_non_zero,relation_total_range_non_zero,relation_total_range,relation_total_mean,relation_total_median,relation_total_mode,relation_total_std_dev,relation_total_variance,relation_total_q1,relation_total_q2,relation_total_q3,relation_total_iqr,relation_total_skewness,relation_total_kurtosis,relation_stereotyped_max,relation_stereotyped_min,relation_stereotyped_min_non_zero,relation_stereotyped_range_non_zero,relation_stereotyped_range,relation_stereotyped_mean,relation_stereotyped_median,relation_stereotyped_mode,relation_stereotyped_std_dev,relation_stereotyped_variance,relation_stereotyped_q1,relation_stereotyped_q2,relation_stereotyped_q3,relation_stereotyped_iqr,relation_stereotyped_skewness,relation_stereotyped_kurtosis,relation_non_stereotyped_max,relation_non_stereotyped_min,relation_non_stereotyped_min_non_zero,relation_non_stereotyped_range_non_zero,relation_non_stereotyped_range,relation_non_stereotyped_mean,relation_non_stereotyped_median,relation_non_stereotyped_mode,relation_non_stereotyped_std_dev,relation_non_stereotyped_variance,relation_non_stereotyped_q1,relation_non_stereotyped_q2,relation_non_stereotyped_q3,relation_non_stereotyped_iqr,relation_non_stereotyped_skewness,relation_non_stereotyped_kurtosis,relation_ontouml_max,relation_ontouml_min,relation_ontouml_min_non_zero,relation_ontouml_range_non_zero,relation_ontouml_range,relation_ontouml_mean,relation_ontouml_median,relation_ontouml_mode,relation_ontouml_std_dev,relation_ontouml_variance,relation_ontouml_q1,relation_ontouml_q2,relation_ontouml_q3,relation_ontouml_iqr,relation_ontouml_skewness,relation_ontouml_kurtosis,relation_non_ontouml_max,relation_non_ontouml_min,relation_non_ontouml_min_non_zero,relation_non_ontouml_range_non_zero,relation_non_ontouml_range,relation_non_ontouml_mean,relation_non_ontouml_median,relation_non_ontouml_mode,relation_non_ontouml_std_dev,relation_non_ontouml_variance,relation_non_ontouml_q1,relation_non_ontouml_q2,relation_non_ontouml_q3,relation_non_ontouml_iqr,relation_non_ontouml_skewness,relation_non_ontouml_kurtosis,total_unique_class_stereotypes,avg_unique_class_stereotypes_per_model,total_unique_relation_stereotypes,avg_unique_relation_stereotypes_per_model
2015,104,104,0,104,0,66,46,20,37,29,1.5757575757575757,2.260869565217391,1.0,0.0,0.696969696969697,0.30303030303030304,1.0,0.0,0.5606060606060606,0.4393939393939394,50,25,25,25,25,34.666666666666664,29.0,25,10.96458946893235,120.22222222222221,27.0,29.0,39.5,12.5,0.6371825297246356,-1.4999999999999993,50,25,25,25,25,34.666666666666664,29.0,25,10.96458946893235,120.22222222222221,27.0,29.0,39.5,12.5,0.6371825297246356,-1.4999999999999993,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,50,25,25,25,25,34.666666666666664,29.0,25,10.96458946893235,120.22222222222221,27.0,29.0,39.5,12.5,0.6371825297246356,-1.4999999999999993,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,36,9,9,27,27,22.0,21.0,9,11.045361017187261,122.0,15.0,21.0,28.5,13.5,0.13506152278474076,-1.5,28,6,6,22,22,15.333333333333334,12.0,6,9.285592184789413,86.22222222222223,9.0,12.0,20.0,11.0,0.4922084283307171,-1.5000000000000002,9,3,3,6,6,6.666666666666667,8.0,3,2.6246692913372702,6.888888888888889,5.5,8.0,8.5,3.0,-0.6309038567106241,-1.5000000000000002,28,3,3,25,25,12.333333333333334,6.0,3,11.14550233153366,124.22222222222223,4.5,6.0,17.0,12.5,0.6688778044849147,-1.5,18,3,3,15,15,9.666666666666666,8.0,3,6.236095644623235,38.888888888888886,5.5,8.0,13.0,7.5,0.3818017741606066,-1.4999999999999998,15,8.0,3,1.6666666666666667
2018,270,253,17,241,29,276,98,178,96,180,0.9782608695652174,2.5816326530612246,0.937037037037037,0.06296296296296296,0.35507246376811596,0.644927536231884,0.8925925925925926,0.10740740740740741,0.34782608695652173,0.6521739130434783,63,11,11,52,52,27.0,23.0,11,15.381807436059,236.6,15.25,23.0,32.25,17.0,1.096518814266083,0.42656855466530974,63,11,11,52,52,25.3,22.5,11,15.453478572800364,238.81,14.0,22.5,26.0,12.0,1.3762957312758202,0.9096215470942264,17,0,17,0,17,1.7,0.0,0,5.1000000000000005,26.01,0.0,0.0,0.0,0.0,2.666666666666667,5.1111111111111125,63,6,6,57,57,24.1,20.0,11,16.232375057273657,263.48999999999995,12.5,20.0,26.0,13.5,1.2792995938891707,0.7259438524822142,17,0,2,15,17,2.9,0.0,0,5.166236541235795,26.689999999999998,0.0,0.0,2.75,2.75,1.976316041063008,2.647879901639083,58,5,5,53,53,27.6,25.5,31,16.013744096868788,256.44,17.25,25.5,31.0,13.75,0.6598683586029351,-0.5487827389561413,45,0,1,44,45,9.8,3.5,2,13.577923257994943,184.36,2.0,3.5,10.25,8.25,1.7296177484110178,1.7143043827247357,31,0,8,23,31,17.8,15.5,29,9.80612053770501,96.16,12.25,15.5,28.0,15.75,-0.15472186906158772,-1.09662729339066,45,0,2,43,45,9.6,3.5,0,13.54400236266961,183.44,2.0,3.5,10.25,8.25,1.7538222243746222,1.8429767572252445,31,0,8,23,31,18.0,16.0,0,9.919677414109795,98.4,12.25,16.0,28.0,15.75,-0.1678113185388146,-1.1049226650803095,15,5.8,13,2.6
2019,245,245,0,245,0,196,151,45,112,84,1.25,1.6225165562913908,1.0,0.0,0.7704081632653061,0.22959183673469388,1.0,0.0,0.5714285714285714,0.42857142857142855,68,18,18,50,50,40.833333333333336,36.5,18,16.617427264438046,276.13888888888886,31.0,36.5,51.75,20.75,0.364569677958429,-1.0648102752017004,68,18,18,50,50,40.833333333333336,36.5,18,16.617427264438046,276.13888888888886,31.0,36.5,51.75,20.75,0.364569677958429,-1.0648102752017004,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,68,18,18,50,50,40.833333333333336,36.5,18,16.617427264438046,276.13888888888886,31.0,36.5,51.75,20.75,0.364569677958429,-1.0648102752017004,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,46,22,22,24,24,32.666666666666664,31.0,31,9.104333522498441,82.88888888888889,25.0,31.0,40.0,15.0,0.29761235156094723,-1.4305249085381186,39,17,17,22,22,25.166666666666668,21.5,17,8.434387285919998,71.1388888888889,18.25,21.5,31.5,13.25,0.6076412162134395,-1.3124513148218995,14,4,4,10,10,7.5,5.5,4,4.0722639076235385,16.583333333333332,4.0,5.5,10.75,6.75,0.5849104089937802,-1.3967829095224866,31,9,9,22,22,18.666666666666668,18.0,18,6.446359868604572,41.55555555555556,17.25,18.0,18.75,1.5,0.6019785567482115,0.07665360748091121,28,4,4,24,24,14.0,13.0,12,7.118052168020874,50.666666666666664,12.0,13.0,14.0,2.0,0.7985626393486023,0.1454293628808867,13,6.666666666666667,10,3.8333333333333335
2022,592,586,6,584,8,523,347,176,345,178,1.1319311663479923,1.6887608069164266,0.9898648648648649,0.010135135135135136,0.6634799235181644,0.3365200764818356,0.9864864864864865,0.013513513513513514,0.6596558317399618,0.3403441682600382,78,10,10,68,68,39.46666666666667,30.0,10,21.752752060882372,473.18222222222226,23.0,30.0,57.0,34.0,0.504644134252045,-1.1258045415203903,78,10,10,68,68,39.06666666666667,29.0,24,21.977159860991033,482.9955555555555,23.0,29.0,57.0,34.0,0.5260419559532072,-1.1508213934936784,6,0,6,0,6,0.4,0.0,0,1.4966629547095758,2.239999999999998,0.0,0.0,0.0,0.0,3.4743961448615224,10.071428571428598,78,10,10,68,68,38.93333333333333,29.0,24,22.086094167044465,487.79555555555555,22.0,29.0,57.0,35.0,0.5242765571281179,-1.1613351176206315,6,0,2,4,6,0.5333333333333333,0.0,0,1.5434449203720304,2.3822222222222234,0.0,0.0,0.0,0.0,2.9835694579033825,7.558142125194907,86,8,8,78,78,34.86666666666667,31.0,21,21.419202184540445,458.78222222222223,19.5,31.0,47.5,28.0,0.832155352608646,-0.045903635758275385,62,0,3,59,62,23.133333333333333,21.0,9,17.813353293401992,317.31555555555553,8.0,21.0,32.5,24.5,0.6024294372929185,-0.6176961596723523,41,0,1,40,41,11.733333333333333,7.0,0,11.79529096245145,139.12888888888887,2.5,7.0,18.5,16.0,1.027536789643428,0.1659755035555146,61,0,3,58,61,23.0,21.0,9,17.66729558628975,312.1333333333333,8.0,21.0,32.5,24.5,0.5867385203320232,-0.6751698498671872,41,0,1,40,41,11.866666666666667,7.0,0,11.859548426853735,140.64888888888888,2.5,7.0,18.5,16.0,1.0197216105796756,0.12367214054514264,20,7.6,16,4.733333333333333
2021,663,658,5,647,16,545,334,211,327,218,1.2165137614678898,1.970059880239521,0.9924585218702866,0.007541478129713424,0.6128440366972477,0.3871559633027523,0.975867269984917,0.024132730015082957,0.6,0.4,74,17,17,57,57,44.2,49.0,32,19.463470057178057,378.82666666666677,27.0,49.0,60.5,33.5,0.05865719367506077,-1.4574224793806014,74,17,17,57,57,43.86666666666667,48.0,32,19.311021608282548,372.91555555555556,27.0,48.0,60.5,33.5,0.0965141716371542,-1.42098124234536,4,0,1,3,4,0.3333333333333333,0.0,0,1.0110500592068734,1.0222222222222221,0.0,0.0,0.0,0.0,3.1678931439232376,8.554820415879016,73,17,17,56,56,43.13333333333333,48.0,32,18.607764209836947,346.24888888888887,26.5,48.0,58.5,32.0,0.05525934443987169,-1.443315481770065,6,0,1,5,6,1.0666666666666667,0.0,0,1.8785337071473829,3.5288888888888894,0.0,0.0,1.0,1.0,1.593056988896899,1.0329898673299116,72,9,9,63,63,36.333333333333336,37.0,16,19.905331502444824,396.2222222222223,18.0,37.0,49.5,31.5,0.33732675384728533,-1.0416634136383107,45,0,2,43,45,22.266666666666666,19.0,44,15.154610592892917,229.66222222222223,12.5,19.0,36.0,23.5,0.16012851203270104,-1.2759290697271504,58,0,2,56,58,14.066666666666666,8.0,6,14.247650878497675,202.99555555555557,6.0,8.0,17.0,11.0,1.892901147405575,3.2850012450612294,45,0,2,43,45,21.8,18.0,44,14.887130907823263,221.62666666666667,12.5,18.0,33.5,21.0,0.2160353996085359,-1.178940286716083,58,0,2,56,58,14.533333333333333,8.0,7,13.965990437089985,195.0488888888889,7.0,8.0,17.0,10.0,1.9455963081883232,3.510804825199841,20,7.4,15,4.866666666666666
2020,423,396,27,387,36,430,128,302,116,314,0.9837209302325581,3.09375,0.9361702127659575,0.06382978723404255,0.29767441860465116,0.7023255813953488,0.9148936170212766,0.0851063829787234,0.26976744186046514,0.7302325581395349,54,7,7,47,47,28.2,30.0,19,14.255759070167628,203.2266666666666,17.0,30.0,39.0,22.0,0.14436806611284286,-1.2292983784111184,48,7,7,41,41,26.4,30.0,19,12.430071064425444,154.5066666666667,16.5,30.0,36.0,19.5,0.029433559459544994,-1.2940959718247336,24,0,1,23,24,1.8,0.0,0,5.957628163399704,35.49333333333333,0.0,0.0,0.0,0.0,3.4272081095390385,9.860355641154891,48,7,7,41,41,25.8,30.0,19,12.161140297411807,147.89333333333335,15.5,30.0,34.5,19.0,0.08904053804296319,-1.192220160688646,24,0,2,22,24,2.4,0.0,0,5.953150426454887,35.440000000000005,0.0,0.0,2.0,2.0,3.146312909782473,8.574150696309282,67,0,6,61,67,28.666666666666668,22.0,22,22.02322006933187,485.02222222222207,11.5,22.0,50.0,38.5,0.5564935794555073,-1.1943083551388065,38,0,6,32,38,8.533333333333333,6.0,0,11.152677805003703,124.38222222222224,0.0,6.0,12.5,12.5,1.4072789235915737,1.0486543539250306,67,0,2,65,67,20.133333333333333,20.0,0,18.68285012756054,349.0488888888888,5.5,20.0,27.5,22.0,0.9954737557802276,0.2703473845125606,38,0,3,35,38,7.733333333333333,3.0,0,10.999797977942848,120.99555555555555,0.0,3.0,10.0,10.0,1.6092161899657034,1.587098040967292,67,0,1,66,67,20.933333333333334,20.0,6,18.130882187276185,328.72888888888883,6.5,20.0,28.0,21.5,1.0441490370085267,0.40419005200269664,18,6.066666666666666,11,2.3333333333333335
2023,498,477,21,470,28,435,249,186,236,199,1.1448275862068966,1.9156626506024097,0.9578313253012049,0.04216867469879518,0.5724137931034483,0.42758620689655175,0.9437751004016064,0.05622489959839357,0.542528735632184,0.4574712643678161,61,18,18,43,43,38.30769230769231,41.0,42,11.80211594708349,139.2899408284024,30.0,41.0,44.0,14.0,0.13869986030920484,-0.6595251452903979,61,16,16,45,45,36.69230769230769,41.0,42,12.969696131809693,168.2130177514793,26.0,41.0,43.0,17.0,0.16476197010195046,-0.8916959379224276,18,0,1,17,18,1.6153846153846154,0.0,0,4.76426540529293,22.698224852071004,0.0,0.0,0.0,0.0,3.0986884642539447,7.770329875250223,61,9,9,52,52,36.15384615384615,41.0,42,13.927538596641789,193.97633136094674,26.0,41.0,43.0,17.0,-0.10329742148625115,-0.6120295845440249,18,0,1,17,18,2.1538461538461537,0.0,0,5.15671561910596,26.591715976331365,0.0,0.0,0.0,0.0,2.355164034759854,4.121555635967374,68,13,13,55,55,33.46153846153846,28.0,22,16.836843229680213,283.47928994082844,22.0,28.0,47.0,25.0,0.7648330370136709,-0.7209604899468851,61,0,3,58,61,19.153846153846153,19.0,19,15.001775042903084,225.0532544378698,10.0,19.0,26.0,16.0,1.3806068662488604,2.051160603779901,40,0,3,37,40,14.307692307692308,14.0,0,13.48722823428843,181.905325443787,3.0,14.0,19.0,16.0,0.7293103535564148,-0.6856787447249286,61,0,3,58,61,18.153846153846153,14.0,6,15.406522863565359,237.36094674556216,6.0,14.0,26.0,20.0,1.4217519319780927,1.9256219751272798,53,0,3,50,53,15.307692307692308,14.0,0,15.661734923960449,245.2899408284024,3.0,14.0,19.0,16.0,1.0942396334879454,0.2772381655858607,17,7.6923076923076925,15,4.461538461538462
2013,55,55,0,55,0,33,33,0,30,3,1.6666666666666667,1.6666666666666667,1.0,0.0,1.0,0.0,1.0,0.0,0.9090909090909091,0.09090909090909091,45,10,10,35,35,27.5,27.5,10,17.5,306.25,18.75,27.5,36.25,17.5,0.0,-2.0,45,10,10,35,35,27.5,27.5,10,17.5,306.25,18.75,27.5,36.25,17.5,0.0,-2.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,45,10,10,35,35,27.5,27.5,10,17.5,306.25,18.75,27.5,36.25,17.5,0.0,-2.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,18,15,15,3,3,16.5,16.5,15,1.5,2.25,15.75,16.5,17.25,1.5,0.0,-2.0,18,15,15,3,3,16.5,16.5,15,1.5,2.25,15.75,16.5,17.25,1.5,0.0,-2.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,18,12,12,6,6,15.0,15.0,12,3.0,9.0,13.5,15.0,16.5,3.0,0.0,-2.0,3,0,3,0,3,1.5,1.5,0,1.5,2.25,0.75,1.5,2.25,1.5,0.0,-2.0,6,4.0,6,4.0
2024,289,289,0,289,0,272,223,49,213,59,1.0625,1.295964125560538,1.0,0.0,0.8198529411764706,0.1801470588235294,1.0,0.0,0.7830882352941176,0.21691176470588236,84,28,28,56,56,57.8,56.0,28,22.82454818829937,520.96,38.0,56.0,83.0,45.0,-0.004105401361327213,-1.6611635097027448,84,28,28,56,56,57.8,56.0,28,22.82454818829937,520.96,38.0,56.0,83.0,45.0,-0.004105401361327213,-1.6611635097027448,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,84,28,28,56,56,57.8,56.0,28,22.82454818829937,520.96,38.0,56.0,83.0,45.0,-0.004105401361327213,-1.6611635097027448,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,80,30,30,50,50,54.4,62.0,30,19.283153269110322,371.84000000000003,34.0,62.0,66.0,32.0,-0.11824863437144179,-1.5844832489535225,67,30,30,37,37,44.6,30.0,30,17.88407112488653,319.84000000000003,30.0,30.0,66.0,36.0,0.409205436416604,-1.8312494791667975,32,0,4,28,32,9.8,4.0,0,12.073110618229256,145.76000000000002,0.0,4.0,13.0,13.0,1.0110737898468392,-0.5282367237363563,66,30,30,36,36,42.6,30.0,30,15.692036196746425,246.24,30.0,30.0,57.0,27.0,0.507129516977031,-1.6198060941828258,32,0,4,28,32,11.8,4.0,0,13.212115651930995,174.56,0.0,4.0,23.0,23.0,0.5104888667737335,-1.5251060463873658,16,8.2,15,6.0
2011,15,15,0,15,0,7,7,0,2,5,2.142857142857143,2.142857142857143,1.0,0.0,1.0,0.0,1.0,0.0,0.2857142857142857,0.7142857142857143,15,15,15,0,0,15.0,15.0,15,0.0,0.0,15.0,15.0,15.0,0.0,,,15,15,15,0,0,15.0,15.0,15,0.0,0.0,15.0,15.0,15.0,0.0,,,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,15,15,15,0,0,15.0,15.0,15,0.0,0.0,15.0,15.0,15.0,0.0,,,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,7,7,7,0,0,7.0,7.0,7,0.0,0.0,7.0,7.0,7.0,0.0,,,7,7,7,0,0,7.0,7.0,7,0.0,0.0,7.0,7.0,7.0,0.0,,,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,2,2,2,0,0,2.0,2.0,2,0.0,0.0,2.0,2.0,2.0,0.0,,,5,5,5,0,0,5.0,5.0,5,0.0,0.0,5.0,5.0,5.0,0.0,,,4,4.0,1,1.0
