model,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers,none,other
bank-account2013,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0
bank-model,0,1,0,0,0,3,0,0,0,0,3,6,1,0,0,0,0,0,0,0,0
chartered-service,0,2,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,1,5
clergy-ontology,0,0,0,0,0,6,0,0,0,0,7,14,3,0,0,3,0,0,0,0,0
construction-model,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,2,0,0,0,0,0
digitaldoctor2022,0,0,0,5,0,1,0,0,0,0,9,8,0,0,0,0,0,0,0,0,0
experiment2013,0,1,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12
g809-2015,0,0,0,8,0,2,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0
genealogy2013,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
health-organizations,0,0,0,0,0,1,0,0,0,0,6,2,0,0,0,0,0,0,0,0,4
idaf2013,0,0,0,6,0,0,0,0,0,0,2,7,10,0,0,0,0,0,0,3,0
internal-affairs2013,0,0,0,6,0,8,0,0,0,0,8,22,4,0,0,0,0,0,0,0,6
internship,0,0,0,0,0,1,0,0,0,0,3,13,0,0,0,0,0,0,0,0,0
it-infrastructure,0,0,0,12,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
library,0,0,0,0,0,1,0,0,0,0,1,37,4,0,0,0,0,0,0,1,1
music-ontology,0,0,0,3,0,0,0,0,0,0,1,6,3,0,0,0,0,0,0,1,1
online-mentoring,0,0,0,0,0,1,0,0,0,0,7,6,2,0,0,0,0,0,0,0,0
parking-business2013,0,0,0,1,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,8
photography,0,0,0,0,0,0,0,0,0,0,2,4,5,0,0,0,0,0,0,0,0
project-assets2013,0,0,0,0,0,6,0,0,0,0,6,14,1,0,0,0,0,0,0,0,1
project-management-ontology,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
public-organization2013,0,0,0,9,0,3,0,0,0,0,3,6,10,0,0,0,0,0,0,0,0
public-tender,0,0,0,1,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,1
qam,0,1,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,5
real-estate-ontology,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
recommendation-ontology,0,0,0,0,0,1,0,0,0,0,2,4,0,0,0,0,0,0,0,0,3
road-accident2013,0,0,0,0,0,1,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0
scientific-experiment2013,0,1,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10
scientific-publication2013,0,0,0,3,0,0,0,0,0,0,4,11,0,0,0,0,0,0,0,0,0
short-examples2013,0,0,0,2,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,4,2
social-contract,0,0,0,12,0,1,0,0,0,0,2,9,0,0,0,4,0,0,0,0,5
social-contracts2013,0,0,0,12,0,3,0,0,0,0,3,6,0,0,0,4,0,0,0,0,8
sousa2022triponto,0,0,0,0,0,4,0,0,0,0,7,24,0,0,0,0,0,0,0,1,0
sportbooking2021,0,0,0,0,0,2,0,0,0,0,6,21,0,0,0,0,0,0,0,8,1
srro-ontology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
stock-broker2021,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
telecom-equipment2013,0,0,0,0,0,9,0,0,0,0,14,18,0,0,0,0,0,0,0,0,0
tourbo2021,0,1,0,0,0,2,0,0,0,0,4,7,0,0,0,0,0,0,0,7,0
unimatch-ontology2022,0,1,1,10,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,4,0
university-ontology,0,2,0,2,0,4,0,0,0,0,3,8,0,0,0,0,0,0,0,14,0
