Stereotype,x_value,y_value,distance_from_origin,rank,quadrant
abstract,0.0001708963513628984,0.012195121951219513,0.012196319320517365,21,Q3
category,0.05323421344954285,0.6158536585365854,0.6181501518356916,5,Q1
collective,0.016918738784926942,0.3780487804878049,0.3784271715276125,8,Q2
datatype,0.01068102196018115,0.21341463414634146,0.2136817500347904,12,Q3
enumeration,0.005725027770657097,0.054878048780487805,0.05517586592821534,17,Q3
event,0.04050243527300692,0.3231707317073171,0.3256988932976083,10,Q1
historicalRole,0.0019653080406733317,0.024390243902439025,0.024469295725770272,19,Q3
historicalRoleMixin,0.0007690335811330429,0.018292682926829267,0.01830884106956039,20,Q3
kind,0.16337691190293088,0.8719512195121951,0.887125100846404,1,Q1
mixin,0.0075194394599675295,0.1524390243902439,0.1526243693740993,14,Q3
mode,0.04819277108433735,0.4024390243902439,0.4053143367029578,7,Q1
phase,0.03614457831325301,0.36585365853658536,0.3676347780148762,9,Q1
phaseMixin,0.001708963513628984,0.04878048780487805,0.04881041432699349,18,Q3
quality,0.022985559258309834,0.2865853658536585,0.28750566578050696,11,Q1
quantity,0.003845167905665214,0.07926829268292683,0.07936149911064501,16,Q3
relator,0.12603605913013757,0.7926829268292683,0.8026402124785866,2,Q1
role,0.18730240109373664,0.75,0.7730344037980968,3,Q1
roleMixin,0.051781594462958214,0.4024390243902439,0.40575670281253223,6,Q1
situation,0.006750405878834487,0.12804878048780488,0.12822658914571128,15,Q3
subkind,0.19567632231051868,0.7378048780487805,0.7633120339582927,4,Q1
type,0.018713150474237376,0.17073170731707318,0.1717541786509842,13,Q4
