Stereotype,Stereotype2,Absolute Value,Sign,Classification
collective,category,0.012407559081808758,negative,very_weak
datatype,category,0.10908648196962444,positive,very_weak
event,category,0.2233188117166198,positive,weak
kind,category,0.0895173272996333,negative,very_weak
mixin,category,0.13218175922576259,positive,very_weak
mode,category,0.36123184934554103,positive,weak
phase,category,0.10269803088124693,positive,very_weak
quality,category,0.28255547796898406,positive,weak
relator,category,0.04132437338137639,negative,very_weak
role,category,0.020919553301994357,negative,very_weak
roleMixin,category,0.25927542847709867,positive,weak
situation,category,0.20302222251682178,positive,weak
subkind,category,0.22056485546667964,positive,weak
type,category,0.23615829943167507,positive,weak
category,collective,0.012407559081808758,negative,very_weak
datatype,collective,0.11115835562544527,positive,very_weak
event,collective,0.17481948816266962,negative,very_weak
kind,collective,0.14691672177569906,positive,very_weak
mixin,collective,0.04561260699376025,positive,very_weak
mode,collective,0.07231700921910296,positive,very_weak
phase,collective,0.26594442718097855,positive,weak
quality,collective,0.15940986094638315,negative,very_weak
relator,collective,0.19973942747489828,positive,very_weak
role,collective,0.16305483634978477,positive,very_weak
roleMixin,collective,0.08823163565837121,negative,very_weak
situation,collective,0.2599604194528522,negative,weak
subkind,collective,0.10885632736591265,positive,very_weak
type,collective,0.016068315048598944,positive,very_weak
category,datatype,0.10908648196962444,positive,very_weak
collective,datatype,0.11115835562544527,positive,very_weak
event,datatype,0.08852636478406983,positive,very_weak
kind,datatype,0.11602918198223551,positive,very_weak
mixin,datatype,0.12968628616215677,positive,very_weak
mode,datatype,0.07733903681122657,positive,very_weak
phase,datatype,0.0983572480581722,positive,very_weak
quality,datatype,0.14218432976603917,positive,very_weak
relator,datatype,0.08541780831333148,negative,very_weak
role,datatype,0.050838298403197806,negative,very_weak
roleMixin,datatype,0.10341544167631117,negative,very_weak
situation,datatype,0.12106474912295029,positive,very_weak
subkind,datatype,0.04488913582410019,positive,very_weak
type,datatype,0.09361609799716741,positive,very_weak
category,event,0.2233188117166198,positive,weak
collective,event,0.17481948816266962,negative,very_weak
datatype,event,0.08852636478406983,positive,very_weak
kind,event,0.2797797497170103,negative,weak
mixin,event,0.017864832824044944,positive,very_weak
mode,event,0.2990197101581736,positive,weak
phase,event,0.005690801039094839,positive,very_weak
quality,event,0.23366401986503002,positive,weak
relator,event,0.09973456062385545,negative,very_weak
role,event,0.1696411023803291,negative,very_weak
roleMixin,event,0.28109418838531336,positive,weak
situation,event,0.5394025321725001,positive,moderate
subkind,event,0.02074415654107285,positive,very_weak
type,event,0.37881187683800355,positive,weak
category,kind,0.0895173272996333,negative,very_weak
collective,kind,0.14691672177569906,positive,very_weak
datatype,kind,0.11602918198223551,positive,very_weak
event,kind,0.2797797497170103,negative,weak
mixin,kind,0.02297034206521828,negative,very_weak
mode,kind,0.017548460165109674,negative,very_weak
phase,kind,0.25955263496616804,positive,weak
quality,kind,0.03587364732193231,negative,very_weak
relator,kind,0.180416540117329,positive,very_weak
role,kind,0.4303577689765589,positive,moderate
roleMixin,kind,0.1446571752198215,negative,very_weak
situation,kind,0.2886523614693332,negative,weak
subkind,kind,0.3531811477923128,positive,weak
type,kind,0.22999841362214712,negative,weak
category,mixin,0.13218175922576259,positive,very_weak
collective,mixin,0.04561260699376025,positive,very_weak
datatype,mixin,0.12968628616215677,positive,very_weak
event,mixin,0.017864832824044944,positive,very_weak
kind,mixin,0.02297034206521828,negative,very_weak
mode,mixin,0.1552735706643859,positive,very_weak
phase,mixin,0.133151203446469,positive,very_weak
quality,mixin,0.1284095375528539,positive,very_weak
relator,mixin,0.019849711139180454,negative,very_weak
role,mixin,0.1755425558840364,positive,very_weak
roleMixin,mixin,0.1449824069661635,positive,very_weak
situation,mixin,0.01555866760031122,positive,very_weak
subkind,mixin,0.04098031792414787,negative,very_weak
type,mixin,0.18388582077365484,positive,very_weak
category,mode,0.36123184934554103,positive,weak
collective,mode,0.07231700921910296,positive,very_weak
datatype,mode,0.07733903681122657,positive,very_weak
event,mode,0.2990197101581736,positive,weak
kind,mode,0.017548460165109674,negative,very_weak
mixin,mode,0.1552735706643859,positive,very_weak
phase,mode,0.07599843662783198,positive,very_weak
quality,mode,0.2175709702274343,positive,weak
relator,mode,0.05267552178149266,positive,very_weak
role,mode,0.04109961558831383,positive,very_weak
roleMixin,mode,0.25705474129755745,positive,weak
situation,mode,0.03693219971477771,positive,very_weak
subkind,mode,0.12017170210061325,positive,very_weak
type,mode,0.30442850326618365,positive,weak
category,phase,0.10269803088124693,positive,very_weak
collective,phase,0.26594442718097855,positive,weak
datatype,phase,0.0983572480581722,positive,very_weak
event,phase,0.005690801039094839,positive,very_weak
kind,phase,0.25955263496616804,positive,weak
mixin,phase,0.133151203446469,positive,very_weak
mode,phase,0.07599843662783198,positive,very_weak
quality,phase,0.055222504477291795,positive,very_weak
relator,phase,0.1520006604057207,positive,very_weak
role,phase,0.2563885688463864,positive,weak
roleMixin,phase,0.012863964289684697,negative,very_weak
situation,phase,0.09631907802751578,negative,very_weak
subkind,phase,0.2833048065010782,positive,weak
type,phase,0.004322444881074615,positive,very_weak
category,quality,0.28255547796898406,positive,weak
collective,quality,0.15940986094638315,negative,very_weak
datatype,quality,0.14218432976603917,positive,very_weak
event,quality,0.23366401986503002,positive,weak
