Stereotype,average_quantity,rank,proportion
abstract,0,14,0.0
category,3,5,0.04054054054054054
collective,1,11,0.013513513513513514
datatype,0,14,0.0
enumeration,0,14,0.0
event,2,8,0.02702702702702703
historicalRole,0,14,0.0
historicalRoleMixin,0,14,0.0
kind,11,3,0.14864864864864866
mixin,0,14,0.0
mode,3,5,0.04054054054054054
phase,2,8,0.02702702702702703
phaseMixin,0,14,0.0
quality,1,11,0.013513513513513514
quantity,0,14,0.0
relator,8,4,0.10810810810810811
role,24,1,0.32432432432432434
roleMixin,3,5,0.04054054054054054
situation,0,14,0.0
subkind,13,2,0.17567567567567569
type,1,11,0.013513513513513514
none,2,8,0.02702702702702703
other,0,14,0.0
