Stereotype,Total Frequency,Total Frequency per Group,Group Frequency,Ubiquity Index,Global Relative Frequency (Occurrence-wise),Global Relative Frequency (Group-wise)
abstract,3,0.01694915254237288,3,0.01694915254237288,0.000234009360374415,0.0023510971786833857
category,661,3.7344632768361583,111,0.6271186440677966,0.0515600624024961,0.08699059561128526
collective,200,1.1299435028248588,63,0.3559322033898305,0.015600624024960999,0.0493730407523511
datatype,127,0.7175141242937854,37,0.20903954802259886,0.009906396255850235,0.028996865203761754
enumeration,79,0.4463276836158192,11,0.062146892655367235,0.006162246489859594,0.008620689655172414
event,591,3.3389830508474576,62,0.3502824858757062,0.04609984399375975,0.048589341692789965
historicalRole,51,0.288135593220339,9,0.05084745762711865,0.003978159126365055,0.007053291536050157
historicalRoleMixin,18,0.1016949152542373,6,0.03389830508474576,0.0014040561622464898,0.004702194357366771
kind,1972,11.141242937853107,154,0.8700564971751412,0.15382215288611545,0.1206896551724138
mixin,91,0.5141242937853108,27,0.15254237288135594,0.007098283931357255,0.02115987460815047
mode,596,3.367231638418079,73,0.4124293785310734,0.04648985959438377,0.05721003134796238
phase,450,2.542372881355932,65,0.3672316384180791,0.035101404056162244,0.050940438871473356
phaseMixin,20,0.11299435028248588,8,0.04519774011299435,0.0015600624024961,0.006269592476489028
quality,284,1.6045197740112995,54,0.3050847457627119,0.02215288611544462,0.04231974921630094
quantity,47,0.2655367231638418,14,0.07909604519774012,0.0036661466458658347,0.0109717868338558
relator,1508,8.519774011299434,141,0.7966101694915254,0.11762870514820593,0.11050156739811912
role,2242,12.666666666666666,132,0.7457627118644068,0.1748829953198128,0.10344827586206896
roleMixin,653,3.689265536723164,75,0.423728813559322,0.05093603744149766,0.05877742946708464
situation,103,0.5819209039548022,24,0.13559322033898305,0.008034321372854914,0.018808777429467086
subkind,2373,13.40677966101695,132,0.7457627118644068,0.18510140405616224,0.10344827586206896
type,274,1.5480225988700564,35,0.1977401129943503,0.02137285491419657,0.0274294670846395
none,373,2.1073446327683616,22,0.12429378531073447,0.029095163806552263,0.017241379310344827
other,104,0.5875706214689266,18,0.1016949152542373,0.008112324492979718,0.014106583072100314
