Stereotype,x_value,y_value,distance_from_origin,rank,quadrant
abstract,0.000234009360374415,0.01694915254237288,0.0169507678966284,23,Q3
category,0.0515600624024961,0.6271186440677966,0.6292346412685661,5,Q1
collective,0.015600624024960999,0.3559322033898305,0.3562739295540832,9,Q2
datatype,0.009906396255850235,0.20903954802259886,0.20927414872427588,12,Q2
enumeration,0.006162246489859594,0.062146892655367235,0.06245165769232651,19,Q3
event,0.04609984399375975,0.3502824858757062,0.35330300809293047,10,Q1
historicalRole,0.003978159126365055,0.05084745762711865,0.051002840089315694,20,Q3
historicalRoleMixin,0.0014040561622464898,0.03389830508474576,0.033927370386241884,22,Q3
kind,0.15382215288611545,0.8700564971751412,0.8835494117451473,1,Q1
mixin,0.007098283931357255,0.15254237288135594,0.15270743648900928,14,Q3
mode,0.04648985959438377,0.4124293785310734,0.41504132242540975,7,Q1
phase,0.035101404056162244,0.3672316384180791,0.36890538735825035,8,Q1
phaseMixin,0.0015600624024961,0.04519774011299435,0.04522465595249411,21,Q3
quality,0.02215288611544462,0.3050847457627119,0.30588797370989007,11,Q1
quantity,0.0036661466458658347,0.07909604519774012,0.07918096360333045,18,Q3
relator,0.11762870514820593,0.7966101694915254,0.805247958340883,2,Q1
role,0.1748829953198128,0.7457627118644068,0.7659935276876587,4,Q1
roleMixin,0.05093603744149766,0.423728813559322,0.42677931926304996,6,Q1
situation,0.008034321372854914,0.13559322033898305,0.13583104108346636,15,Q3
subkind,0.18510140405616224,0.7457627118644068,0.7683908850259201,3,Q1
type,0.02137285491419657,0.1977401129943503,0.19889180781068314,13,Q4
none,0.029095163806552263,0.12429378531073447,0.12765372545993736,16,Q4
other,0.008112324492979718,0.1016949152542373,0.10201796703152786,17,Q3
