Stereotype,category,collective,event,kind,mode,phase,quality,relator,role,roleMixin,subkind,type,none
category,1.0,0.003291953645759751,0.2306994652529023,0.12465080144641945,0.3631609346833688,0.04849835367563318,0.2955146113311203,0.023389212144518265,0.0318608111899803,0.2906042263017396,0.2566037275343328,0.2856721049833182,0.1528641232542831
collective,0.003291953645759751,1.0,0.1736726755936344,0.1994791901463012,0.07574907394054564,0.24847337603229708,0.15391332277673414,0.24438748492124698,0.19632990533732764,0.07263490868664463,0.13508063899365363,0.027578043323290793,0.14146467486902084
event,0.2306994652529023,0.1736726755936344,1.0,0.2578655922479675,0.30358498617440016,0.014347417613590553,0.24255215312468698,0.09532558989460645,0.13534291725732564,0.3108413552161353,0.03652387284068189,0.39722702840844687,0.18400885072822046
kind,0.12465080144641945,0.1994791901463012,0.2578655922479675,1.0,0.033365290106573714,0.24923881164646342,0.061486795186329914,0.22713652805622897,0.3585283480030341,0.15082787155698532,0.43239319861140707,0.19400357722315142,0.01132753446906016
mode,0.3631609346833688,0.07574907394054564,0.30358498617440016,0.033365290106573714,1.0,0.06919298087620555,0.22293934469192508,0.03784041414882782,0.06726554937172559,0.258815210682835,0.14062276137609264,0.3223802824291185,0.22787828293896856
phase,0.04849835367563318,0.24847337603229708,0.014347417613590553,0.24923881164646342,0.06919298087620555,1.0,0.06295721988696645,0.19580382615958755,0.307033574612979,0.00748672908806154,0.2963501861728179,0.011445251608515143,0.041520813874364466
quality,0.2955146113311203,0.15391332277673414,0.24255215312468698,0.061486795186329914,0.22293934469192508,0.06295721988696645,1.0,0.07331427898507983,0.04530963022658243,0.07509601088067179,0.1785721983950792,0.2035981261891803,0.19593888581731905
relator,0.023389212144518265,0.24438748492124698,0.09532558989460645,0.22713652805622897,0.03784041414882782,0.19580382615958755,0.07331427898507983,1.0,0.36270117513961425,0.13568031045274404,0.192729362447987,0.043318890546775304,0.17840445217468034
role,0.0318608111899803,0.19632990533732764,0.13534291725732564,0.3585283480030341,0.06726554937172559,0.307033574612979,0.04530963022658243,0.36270117513961425,1.0,0.060859759407655666,0.14630413842920634,0.0447267742258001,0.02839726849797539
roleMixin,0.2906042263017396,0.07263490868664463,0.3108413552161353,0.15082787155698532,0.258815210682835,0.00748672908806154,0.07509601088067179,0.13568031045274404,0.060859759407655666,1.0,0.011560196401368072,0.34203599655127415,0.19706359681521948
subkind,0.2566037275343328,0.13508063899365363,0.03652387284068189,0.43239319861140707,0.14062276137609264,0.2963501861728179,0.1785721983950792,0.192729362447987,0.14630413842920634,0.011560196401368072,1.0,0.04471704980827346,0.024431518210079287
type,0.2856721049833182,0.027578043323290793,0.39722702840844687,0.19400357722315142,0.3223802824291185,0.011445251608515143,0.2035981261891803,0.043318890546775304,0.0447267742258001,0.34203599655127415,0.04471704980827346,1.0,0.11835717295233783
none,0.1528641232542831,0.14146467486902084,0.18400885072822046,0.01132753446906016,0.22787828293896856,0.041520813874364466,0.19593888581731905,0.17840445217468034,0.02839726849797539,0.19706359681521948,0.024431518210079287,0.11835717295233783,1.0
