Stereotype,Stereotype2,Absolute Value,Sign,Classification
collective,category,0.00669990909131811,positive,very_weak
datatype,category,0.10866204135373043,positive,very_weak
event,category,0.2059487916913499,positive,weak
kind,category,0.12338993434630247,positive,very_weak
mode,category,0.37351793397609934,positive,weak
phase,category,0.05101546482412341,positive,very_weak
quality,category,0.26768169730416375,positive,weak
relator,category,0.035398012026071964,positive,very_weak
role,category,0.03232475711296858,positive,very_weak
roleMixin,category,0.27786583599011294,positive,weak
subkind,category,0.25193517536134497,positive,weak
type,category,0.2855455282092373,positive,weak
none,category,0.14075830625050129,positive,very_weak
category,collective,0.00669990909131811,positive,very_weak
datatype,collective,0.07904318769912536,positive,very_weak
event,collective,0.1621938532271502,positive,very_weak
kind,collective,0.20297724087107186,positive,weak
mode,collective,0.08348488781935749,positive,very_weak
phase,collective,0.24840727193927126,positive,weak
quality,collective,0.13001284032209068,positive,very_weak
relator,collective,0.25734600629172766,positive,weak
role,collective,0.18439698717307645,positive,very_weak
roleMixin,collective,0.06270396489847613,positive,very_weak
subkind,collective,0.14798683953168035,positive,very_weak
type,collective,0.06309083708133188,positive,very_weak
none,collective,0.1741796619402403,positive,very_weak
category,datatype,0.10866204135373043,positive,very_weak
collective,datatype,0.07904318769912536,positive,very_weak
event,datatype,0.07115114062697324,positive,very_weak
kind,datatype,0.1012258811869156,positive,very_weak
mode,datatype,0.06131476487790429,positive,very_weak
phase,datatype,0.09574391054449852,positive,very_weak
quality,datatype,0.15319310638277653,positive,very_weak
relator,datatype,0.06320247606573152,positive,very_weak
role,datatype,0.048893945051133134,positive,very_weak
roleMixin,datatype,0.08561615345470376,positive,very_weak
subkind,datatype,0.0598498811803094,positive,very_weak
type,datatype,0.08418831554403412,positive,very_weak
none,datatype,0.003454184951528418,positive,very_weak
category,event,0.2059487916913499,positive,weak
collective,event,0.1621938532271502,positive,very_weak
datatype,event,0.07115114062697324,positive,very_weak
kind,event,0.2276464004587024,positive,weak
mode,event,0.25892119502324495,positive,weak
phase,event,0.020886568358304707,positive,very_weak
quality,event,0.20603592188808614,positive,weak
relator,event,0.12145715981948851,positive,very_weak
role,event,0.1443519795098999,positive,very_weak
roleMixin,event,0.2848159493242402,positive,weak
subkind,event,0.0047445292136040216,positive,very_weak
type,event,0.3270881820236063,positive,weak
none,event,0.20460171441717612,positive,weak
category,kind,0.12338993434630247,positive,very_weak
collective,kind,0.20297724087107186,positive,weak
datatype,kind,0.1012258811869156,positive,very_weak
event,kind,0.2276464004587024,positive,weak
mode,kind,0.04924805169611345,positive,very_weak
phase,kind,0.25053355889901313,positive,weak
quality,kind,0.010217454392738131,positive,very_weak
relator,kind,0.2169841587250443,positive,weak
role,kind,0.3783494506897878,positive,weak
roleMixin,kind,0.1360301591366346,positive,very_weak
subkind,kind,0.4508781828862933,positive,moderate
type,kind,0.14074098242014194,positive,very_weak
none,kind,0.03729019843480226,positive,very_weak
category,mode,0.37351793397609934,positive,weak
collective,mode,0.08348488781935749,positive,very_weak
datatype,mode,0.06131476487790429,positive,very_weak
event,mode,0.25892119502324495,positive,weak
kind,mode,0.04924805169611345,positive,very_weak
phase,mode,0.059308240812872066,positive,very_weak
quality,mode,0.22484154758528133,positive,weak
relator,mode,0.005393966315438838,positive,very_weak
role,mode,0.03483679918587932,positive,very_weak
roleMixin,mode,0.26615124937945056,positive,weak
subkind,mode,0.11299997510426975,positive,very_weak
type,mode,0.3144669127874574,positive,weak
none,mode,0.22746450671526214,positive,weak
category,phase,0.05101546482412341,positive,very_weak
collective,phase,0.24840727193927126,positive,weak
datatype,phase,0.09574391054449852,positive,very_weak
event,phase,0.020886568358304707,positive,very_weak
kind,phase,0.25053355889901313,positive,weak
mode,phase,0.059308240812872066,positive,very_weak
quality,phase,0.11257904992473158,positive,very_weak
relator,phase,0.19219581513786085,positive,very_weak
role,phase,0.29064082068578095,positive,weak
roleMixin,phase,0.016352779710994716,positive,very_weak
subkind,phase,0.3241294217698944,positive,weak
type,phase,0.0327380411112895,positive,very_weak
none,phase,0.05465279900514774,positive,very_weak
category,quality,0.26768169730416375,positive,weak
