Stereotype,Stereotype2,Absolute Value,Sign,Classification
collective,category,0.0008734158535436221,negative,very_weak
event,category,0.23832404829160292,positive,weak
kind,category,0.17357334909281116,positive,very_weak
mode,category,0.3651003219097132,positive,weak
phase,category,0.02290297378697164,positive,very_weak
quality,category,0.3090681027949107,positive,weak
relator,category,0.013238077192183667,negative,very_weak
role,category,0.048524520338911754,negative,very_weak
roleMixin,category,0.32571854895957514,positive,weak
subkind,category,0.29853111841048163,positive,weak
type,category,0.3455671545823052,positive,weak
none,category,0.2059864852620152,positive,weak
category,collective,0.0008734158535436221,negative,very_weak
event,collective,0.17253338609357916,negative,very_weak
kind,collective,0.2708469588790268,positive,weak
mode,collective,0.07934401968236465,positive,very_weak
phase,collective,0.23215007455250464,positive,weak
quality,collective,0.14860630821416343,negative,very_weak
relator,collective,0.2990157904284498,positive,weak
role,collective,0.23639551326816508,positive,weak
roleMixin,collective,0.05979521880728781,negative,very_weak
subkind,collective,0.16762258540652908,positive,very_weak
type,collective,0.047332185810460496,positive,very_weak
none,collective,0.14607174166745843,negative,very_weak
category,event,0.23832404829160292,positive,weak
collective,event,0.17253338609357916,negative,very_weak
kind,event,0.23766789316472192,negative,weak
mode,event,0.3082199624290937,positive,weak
phase,event,0.03617212950595617,positive,very_weak
quality,event,0.2517783740064222,positive,weak
relator,event,0.0911115267557632,negative,very_weak
role,event,0.10797916893192355,negative,very_weak
roleMixin,event,0.34373655559238153,positive,weak
subkind,event,0.0643069427595685,positive,very_weak
type,event,0.4165373942741575,positive,moderate
none,event,0.21967760638693398,positive,weak
category,kind,0.17357334909281116,positive,very_weak
collective,kind,0.2708469588790268,positive,weak
event,kind,0.23766789316472192,negative,weak
mode,kind,0.06343819192234341,positive,very_weak
phase,kind,0.2393348279397681,positive,weak
quality,kind,0.10538727630224254,positive,very_weak
relator,kind,0.2859549481654359,positive,weak
role,kind,0.2986877095944475,positive,weak
roleMixin,kind,0.15726179364308016,negative,very_weak
subkind,kind,0.5293710589426684,positive,moderate
type,kind,0.1636419459710355,negative,very_weak
none,kind,0.01783742844811074,positive,very_weak
category,mode,0.3651003219097132,positive,weak
collective,mode,0.07934401968236465,positive,very_weak
event,mode,0.3082199624290937,positive,weak
kind,mode,0.06343819192234341,positive,very_weak
phase,mode,0.06299693539724235,positive,very_weak
quality,mode,0.22844017912734335,positive,weak
relator,mode,0.02718334616398428,positive,very_weak
role,mode,0.11008993800824218,positive,very_weak
roleMixin,mode,0.2605877368480842,positive,weak
subkind,mode,0.16455422259461014,positive,very_weak
type,mode,0.3413906562100251,positive,weak
none,mode,0.2518753562778205,positive,weak
category,phase,0.02290297378697164,positive,very_weak
collective,phase,0.23215007455250464,positive,weak
event,phase,0.03617212950595617,positive,very_weak
kind,phase,0.2393348279397681,positive,weak
