Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,4,0.4918637448470384,4,0.2897874546397097
20.0,8,0.6895205033629854,8,0.5023328149300156
30.0,12,0.825016272510306,12,0.647485743908761
40.0,16,0.8955304838359731,16,0.7724209434940383
50.0,20,0.9414732045996963,20,0.8548470710212546
60.0,24,0.9647971360381862,24,0.9087610160705029
70.0,28,0.9810154046430896,28,0.9497148781752203
80.0,32,0.990670427424604,32,0.9745982374287195
90.0,36,0.9971251898459536,36,0.9906687402799378
100.0,40,1.0,40,1.0
