Stereotype,Stereotype2,Absolute Value,Sign,Classification
collective,category,0.00669990909131811,positive,very_weak
event,category,0.2059487916913499,positive,weak
kind,category,0.12338993434630247,positive,very_weak
mode,category,0.37351793397609934,positive,weak
phase,category,0.05101546482412341,positive,very_weak
quality,category,0.26768169730416375,positive,weak
relator,category,0.035398012026071964,positive,very_weak
role,category,0.03232475711296858,positive,very_weak
roleMixin,category,0.27786583599011294,positive,weak
subkind,category,0.25193517536134497,positive,weak
type,category,0.2855455282092373,positive,weak
characterization,category,0.38153857194131746,positive,weak
componentOf,category,0.15615841649654144,positive,very_weak
derivation,category,0.04422754450689658,positive,very_weak
material,category,0.0552647678253251,positive,very_weak
mediation,category,0.03361753896341937,positive,very_weak
memberOf,category,0.01891715989055135,positive,very_weak
participation,category,0.18453181013911601,positive,very_weak
category,collective,0.00669990909131811,positive,very_weak
event,collective,0.1621938532271502,positive,very_weak
kind,collective,0.20297724087107186,positive,weak
mode,collective,0.08348488781935749,positive,very_weak
phase,collective,0.24840727193927126,positive,weak
quality,collective,0.13001284032209068,positive,very_weak
relator,collective,0.25734600629172766,positive,weak
role,collective,0.18439698717307645,positive,very_weak
roleMixin,collective,0.06270396489847613,positive,very_weak
subkind,collective,0.14798683953168035,positive,very_weak
type,collective,0.06309083708133188,positive,very_weak
characterization,collective,0.03847936432530085,positive,very_weak
componentOf,collective,0.3355183982562758,positive,weak
derivation,collective,0.1464034194079102,positive,very_weak
material,collective,0.19587979984069348,positive,very_weak
mediation,collective,0.32127208081025194,positive,weak
memberOf,collective,0.6555406559183173,positive,strong
participation,collective,0.01630085922642995,positive,very_weak
category,event,0.2059487916913499,positive,weak
collective,event,0.1621938532271502,positive,very_weak
kind,event,0.2276464004587024,positive,weak
mode,event,0.25892119502324495,positive,weak
phase,event,0.020886568358304707,positive,very_weak
quality,event,0.20603592188808614,positive,weak
relator,event,0.12145715981948851,positive,very_weak
role,event,0.1443519795098999,positive,very_weak
roleMixin,event,0.2848159493242402,positive,weak
subkind,event,0.0047445292136040216,positive,very_weak
type,event,0.3270881820236063,positive,weak
characterization,event,0.27335714122707,positive,weak
componentOf,event,0.09586515282827576,positive,very_weak
derivation,event,0.08303882124434572,positive,very_weak
material,event,0.05186393218340195,positive,very_weak
mediation,event,0.12117537092396001,positive,very_weak
memberOf,event,0.005937658837094076,positive,very_weak
participation,event,0.6506368513680341,positive,strong
category,kind,0.12338993434630247,positive,very_weak
collective,kind,0.20297724087107186,positive,weak
event,kind,0.2276464004587024,positive,weak
mode,kind,0.04924805169611345,positive,very_weak
phase,kind,0.25053355889901313,positive,weak
quality,kind,0.010217454392738131,positive,very_weak
relator,kind,0.2169841587250443,positive,weak
role,kind,0.3783494506897878,positive,weak
roleMixin,kind,0.1360301591366346,positive,very_weak
subkind,kind,0.4508781828862933,positive,moderate
type,kind,0.14074098242014194,positive,very_weak
characterization,kind,0.06527237993559729,positive,very_weak
componentOf,kind,0.3229448172031232,positive,weak
derivation,kind,0.18640351177641631,positive,very_weak
material,kind,0.3091998617152613,positive,weak
mediation,kind,0.24573763299682744,positive,weak
memberOf,kind,0.1721301765640639,positive,very_weak
participation,kind,0.18114388326986464,positive,very_weak
category,mode,0.37351793397609934,positive,weak
collective,mode,0.08348488781935749,positive,very_weak
event,mode,0.25892119502324495,positive,weak
kind,mode,0.04924805169611345,positive,very_weak
phase,mode,0.059308240812872066,positive,very_weak
quality,mode,0.22484154758528133,positive,weak
relator,mode,0.005393966315438838,positive,very_weak
role,mode,0.03483679918587932,positive,very_weak
roleMixin,mode,0.26615124937945056,positive,weak
subkind,mode,0.11299997510426975,positive,very_weak
type,mode,0.3144669127874574,positive,weak
characterization,mode,0.5915523930842799,positive,moderate
componentOf,mode,0.12982239326416828,positive,very_weak
derivation,mode,0.04314588259425228,positive,very_weak
material,mode,0.01997650458402157,positive,very_weak
mediation,mode,0.06496356657913716,positive,very_weak
memberOf,mode,0.23400878564002334,positive,weak
participation,mode,0.14526042941647707,positive,very_weak
category,phase,0.05101546482412341,positive,very_weak
collective,phase,0.24840727193927126,positive,weak
event,phase,0.020886568358304707,positive,very_weak
kind,phase,0.25053355889901313,positive,weak
mode,phase,0.059308240812872066,positive,very_weak
quality,phase,0.11257904992473158,positive,very_weak
relator,phase,0.19219581513786085,positive,very_weak
role,phase,0.29064082068578095,positive,weak
roleMixin,phase,0.016352779710994716,positive,very_weak
subkind,phase,0.3241294217698944,positive,weak
type,phase,0.0327380411112895,positive,very_weak
characterization,phase,0.08925717543234025,positive,very_weak
componentOf,phase,0.2153410166988521,positive,weak
derivation,phase,0.18533567315363497,positive,very_weak
material,phase,0.17224943923081198,positive,very_weak
mediation,phase,0.2747393823024376,positive,weak
memberOf,phase,0.2621417501818959,positive,weak
participation,phase,0.010157843481025962,positive,very_weak
category,quality,0.26768169730416375,positive,weak
collective,quality,0.13001284032209068,positive,very_weak
event,quality,0.20603592188808614,positive,weak
kind,quality,0.010217454392738131,positive,very_weak
mode,quality,0.22484154758528133,positive,weak
phase,quality,0.11257904992473158,positive,very_weak
relator,quality,0.06898322650360902,positive,very_weak
role,quality,0.02834018545552495,positive,very_weak
roleMixin,quality,0.057255733884023274,positive,very_weak
subkind,quality,0.17279076423281478,positive,very_weak
type,quality,0.19161792894489696,positive,very_weak
characterization,quality,0.5618603320317545,positive,moderate
componentOf,quality,0.005191927101843744,positive,very_weak
derivation,quality,0.09086062569393459,positive,very_weak
material,quality,0.04959581218868722,positive,very_weak
mediation,quality,0.03811245483700646,positive,very_weak
memberOf,quality,0.15512193373172037,positive,very_weak
participation,quality,0.31628342046653746,positive,weak
category,relator,0.035398012026071964,positive,very_weak
collective,relator,0.25734600629172766,positive,weak
event,relator,0.12145715981948851,positive,very_weak
kind,relator,0.2169841587250443,positive,weak
mode,relator,0.005393966315438838,positive,very_weak
phase,relator,0.19219581513786085,positive,very_weak
quality,relator,0.06898322650360902,positive,very_weak
role,relator,0.34444735335055626,positive,weak
roleMixin,relator,0.1376420759120704,positive,very_weak
subkind,relator,0.1784210698289016,positive,very_weak
type,relator,0.07095809712116886,positive,very_weak
characterization,relator,0.15244261561663539,positive,very_weak
componentOf,relator,0.1434548692583472,positive,very_weak
derivation,relator,0.3738702823675861,positive,weak
material,relator,0.3623431713250365,positive,weak
mediation,relator,0.7891492705999965,positive,strong
memberOf,relator,0.2220185932160034,positive,weak
participation,relator,0.003706640638701673,positive,very_weak
category,role,0.03232475711296858,positive,very_weak
collective,role,0.18439698717307645,positive,very_weak
event,role,0.1443519795098999,positive,very_weak
kind,role,0.3783494506897878,positive,weak
mode,role,0.03483679918587932,positive,very_weak
