Stereotype,category,collective,datatype,event,kind,mixin,mode,phase,quality,relator,role,roleMixin,situation,subkind,type,characterization,componentOf,creation,derivation,externalDependence,instantiation,material,mediation,memberOf,participation
category,1.0,-0.004729272758622546,0.10541164939685713,0.19727719501695046,-0.07755165502244488,0.16056045328194898,0.36693614270548985,0.10537675554509687,0.2510461885546741,-0.06373450306511382,-0.021713491635397368,0.23911641584971174,0.19010449947979852,0.21324884526711002,0.22509213937617997,0.33488198976650807,0.12736566618081535,0.07678670041452018,-0.040646076654012986,0.1637330628237514,0.18632654201312526,0.02216947889857999,-0.039648926027023725,-0.004843062526895568,0.16890042011248332
collective,-0.004729272758622546,1.0,0.08496323597049567,-0.16230796766378414,0.14823778644218902,0.05418266741096992,0.07817881226143163,0.2693469941180017,-0.1326077671872279,0.21259803491058127,0.15972250868531176,-0.07567709026906581,-0.26113715320620917,0.12168374828645998,0.04727631137863854,0.05370925214205764,0.31947286274823017,-0.032379140787120515,0.1285007192097269,-0.04859619968279991,-0.017608362943801463,0.19170459679637997,0.28041922068543923,0.672410485757893,-0.03175376841818104
datatype,0.10541164939685713,0.08496323597049567,1.0,0.08556778459068065,0.11053195862936405,0.15172885839615105,0.05810530231770301,0.09872112931773193,0.16356367941307004,-0.10073317015700532,-0.042961605185538924,-0.09363465914890995,0.15670009859740308,0.03982002411819596,0.08006832374672458,0.12331556254759345,0.09517309927369542,0.007547998239576557,0.06101982443938689,-0.0303543167284453,0.018160083021159134,0.06806452761883544,-0.024731086391028667,0.08267233755655215,0.10964937609074142
event,0.19727719501695046,-0.16230796766378414,0.08556778459068065,1.0,-0.2814541484984788,-0.002875189830334499,0.25710987260442136,0.01650472455944937,0.19638661706175164,-0.12903732006347982,-0.1731281883345722,0.25710987260442136,0.5545812511833931,-0.0030727171489383625,0.3101545534540086,0.24708650308101007,-0.10678043106610982,0.5081399953223653,-0.07319426548390423,0.3400968325361078,0.321052089424865,-0.07362071164754375,-0.1572510202863687,0.004689401087063077,0.6365696184139793
kind,-0.07755165502244488,0.14823778644218902,0.11053195862936405,-0.2814541484984788,1.0,0.010215482151083087,-0.02042113318289451,0.25318652797803404,0.0007382470645487078,0.16413922677171103,0.4530333378893934,-0.1320566612493845,-0.23543123543123542,0.35240863181355064,-0.21409791121310537,-0.06881098978358756,0.1985922526070092,-0.04058023005618137,0.29490893703995885,-0.27751454299293976,-0.22887942126942606,0.35141711439042295,0.23477073177167304,0.1305418188337133,-0.2528573302359867
mixin,0.16056045328194898,0.05418266741096992,0.15172885839615105,-0.002875189830334499,0.010215482151083087,1.0,0.17085299993695982,0.17093986964248178,0.14389025463572466,0.007654780036730187,0.20567488488724456,0.13626054069046425,-0.010215482151083087,-0.017167954068752826,0.16823856208325033,0.16830233161995956,0.07253413561590262,-0.09464026511825782,-0.010486610698740084,-0.06737830126358874,0.022736010972428895,0.11358301284127881,0.08638862842495222,0.05672171544597639,-0.018707071367354805
mode,0.36693614270548985,0.07817881226143163,0.05810530231770301,0.25710987260442136,-0.02042113318289451,0.17085299993695982,1.0,0.07366624831632092,0.22233951737154814,0.020947002395692436,0.0143576830751316,0.26468769325912184,0.02042113318289451,0.09343021924526922,0.28854233536015933,0.5775116769457805,0.09765202827810449,0.1494111560646335,-0.0398442063991397,0.2972117260810332,0.1696353038281303,-0.01000869314066133,0.06332117683429304,0.22494057664330655,0.14109364719986325
phase,0.10537675554509687,0.2693469941180017,0.09872112931773193,0.01650472455944937,0.25318652797803404,0.17093986964248178,0.07366624831632092,1.0,0.1065247282582615,0.1386206560167344,0.23388213848187447,-0.0295924245373255,-0.06375865120614725,0.30888261119961213,0.02543788036334543,0.07847808716302264,0.2127273459488981,0.016792058455672033,0.17503896208121467,-0.11324582419610947,-0.009116477781675366,0.14265865356096974,0.21036804793248068,0.2509364074996535,0.012948569612964084
quality,0.2510461885546741,-0.1326077671872279,0.16356367941307004,0.19638661706175164,0.0007382470645487078,0.14389025463572466,0.22233951737154814,0.1065247282582615,1.0,0.09127661361159421,0.08564266990895948,0.05734548638089704,0.24140679010742744,0.10188910080027727,0.21415871187968605,0.5224910568293216,-0.01731494391833589,0.12258331914286534,-0.06924190687240855,0.2253458185209554,0.31534759504700205,-0.07516104066073807,0.022409399140228433,-0.17802657409565806,0.3071193085280794
relator,-0.06373450306511382,0.21259803491058127,-0.10073317015700532,-0.12903732006347982,0.16413922677171103,0.007654780036730187,0.020947002395692436,0.1386206560167344,0.09127661361159421,1.0,0.22578837914485933,0.11296419149105563,-0.11912445555003777,0.13971297970011495,-0.04777453479773235,0.161895374953944,0.07612733440913207,-0.012910077856619849,0.3624421539625322,0.024758320467296285,-0.0728150418140936,0.33717302069565364,0.7619580327607046,0.1695166136778084,0.0004807872895252056
