stereotype,total_correlation,rank
category,3.5903112210245087,14
collective,3.6796427580590723,12
event,4.853884970956617,1
kind,4.581732736041142,4
mode,3.846544404571279,8
phase,2.941738816024348,19
quality,3.729420223816254,10
relator,3.9125440315694413,7
role,3.8362063226133367,9
roleMixin,3.2432338573358446,16
subkind,3.0458269126185304,18
type,4.507895089213107,6
characterization,4.846929990527934,2
componentOf,3.171686812603904,17
derivation,3.4602308661619574,15
material,3.653124483879705,13
mediation,4.534357494598921,5
memberOf,3.6809614187688133,11
participation,4.843468021010964,3
