Stereotype,Total,Mean,Median,Mode,Standard Deviation,Variance,Skewness,Kurtosis,Q1,Q3,IQR,Min,Max,Range,Min Non-Zero,Range Non-Zero
abstract,2,0.012195121951219513,0.0,0,0.11009225791186353,0.012120305252132276,8.971151466239705,79.4503886602652,0.0,0.0,0.0,0,1,1,1.0,0.0
category,623,3.798780487804878,1.0,0,9.450666142034958,89.31509052820591,6.918624509968768,62.150084231587705,0.0,4.0,4.0,0,98,98,1.0,97.0
collective,198,1.2073170731707317,0.0,0,4.108162770229605,16.87700134670058,9.398778328698466,104.50380689446655,0.0,1.0,1.0,0,48,48,1.0,47.0
datatype,125,0.7621951219512195,0.0,0,1.9467222881590796,3.7897276672153226,3.3908447327783886,13.334802249957937,0.0,0.0,0.0,0,13,13,1.0,12.0
enumeration,67,0.40853658536585363,0.0,0,2.2369293819883973,5.003853060002992,6.8737189213956285,50.72068006844582,0.0,0.0,0.0,0,20,20,2.0,18.0
event,474,2.8902439024390243,0.0,0,7.910552240517889,62.576836749962595,6.5426815132102885,58.75601155022852,0.0,3.0,3.0,0,81,81,1.0,80.0
historicalRole,23,0.1402439024390244,0.0,0,1.356136677703578,1.839106688612898,12.008704233605497,149.14496664329306,0.0,0.0,0.0,0,17,17,1.0,16.0
historicalRoleMixin,9,0.054878048780487805,0.0,0,0.4465690444007828,0.19942391141702834,8.621217999698839,74.61027109696262,0.0,0.0,0.0,0,4,4,1.0,3.0
kind,1912,11.658536585365853,6.0,0,35.49880133194342,1260.164896004788,10.360975498639638,119.34203053112148,3.0,11.0,8.0,0,429,429,1.0,428.0
mixin,88,0.5365853658536586,0.0,0,3.139673391443431,9.857549004937898,10.208236613070158,114.53476242836683,0.0,0.0,0.0,0,37,37,1.0,36.0
mode,564,3.4390243902439024,0.0,0,14.409521018231716,207.6342959748616,10.038713069459837,114.03024566241739,0.0,2.25,2.25,0,171,171,1.0,170.0
phase,423,2.5792682926829267,0.0,0,9.048597326201959,81.87711357174925,10.19772472081457,118.8719033449941,0.0,3.0,3.0,0,109,109,1.0,108.0
phaseMixin,20,0.12195121951219512,0.0,0,0.6717844363292507,0.4512943288942091,7.718817804821639,70.62398317897825,0.0,0.0,0.0,0,7,7,1.0,6.0
quality,269,1.6402439024390243,0.0,0,4.2856404481216215,18.36671405057609,4.074218201764717,18.5702637513143,0.0,1.0,1.0,0,27,27,1.0,26.0
quantity,45,0.27439024390243905,0.0,0,1.688380425221855,2.8506284602723317,10.237043013374526,116.51907210200551,0.0,0.0,0.0,0,20,20,1.0,19.0
relator,1475,8.99390243902439,3.0,0,59.14062444313693,3497.613459524165,12.616626526574382,160.70092987981963,1.0,6.0,5.0,0,758,758,1.0,757.0
role,2192,13.365853658536585,4.0,0,83.77789980409997,7018.736495585815,11.947655872568445,147.61588732073736,0.75,8.0,7.25,0,1052,1052,1.0,1051.0
roleMixin,606,3.6951219512195124,0.0,0,17.988195873477217,323.5751907825828,10.80060821048638,127.88395207972584,0.0,2.0,2.0,0,219,219,1.0,218.0
situation,79,0.4817073170731707,0.0,0,1.544722108451475,2.3861663923387706,4.361685454054802,23.385226244900934,0.0,0.0,0.0,0,12,12,1.0,11.0
subkind,2290,13.963414634146341,3.0,0,62.13263965878263,3860.4649109681277,11.753946596810364,145.580703374412,0.0,11.25,11.25,0,782,782,1.0,781.0
type,219,1.3353658536585367,0.0,0,5.713268851509127,32.64144096962442,7.676071086577571,71.10160207024197,0.0,0.0,0.0,0,60,60,1.0,59.0
none_c,380,2.317073170731707,0.0,0,10.650473705620911,113.43259015412241,6.241145380665878,42.40069402402705,0.0,0.0,0.0,0,91,91,1.0,90.0
other_c,110,0.6707317073170732,0.0,0,2.273101597457252,5.166990872362711,4.050440838468704,17.446913957202717,0.0,0.0,0.0,0,15,15,1.0,14.0
bringsAbout,30,0.18292682926829268,0.0,0,0.7028085424736481,0.4939398473739337,4.022080929596812,15.757916225860152,0.0,0.0,0.0,0,4,4,1.0,3.0
characterization,591,3.6036585365853657,0.0,0,9.2872489289328,86.25299266796347,7.542884446818293,74.76764086887873,0.0,4.0,4.0,0,101,101,1.0,100.0
comparative,38,0.23170731707317074,0.0,0,1.5131228058117439,2.2895406254676045,7.860372062647098,66.37584292014714,0.0,0.0,0.0,0,15,15,1.0,14.0
componentOf,688,4.195121951219512,0.0,0,15.744851353912992,247.90034415681575,8.915123364368402,91.2899014760058,0.0,3.0,3.0,0,176,176,1.0,175.0
creation,60,0.36585365853658536,0.0,0,1.3791808284608278,1.9021397575938954,5.254922611347858,32.07121251830027,0.0,0.0,0.0,0,11,11,1.0,10.0
derivation,291,1.774390243902439,0.0,0,6.210347805986012,38.56841987131527,7.5341641162982915,67.02758080460487,0.0,1.0,1.0,0,64,64,1.0,63.0
externalDependence,77,0.4695121951219512,0.0,0,1.5205091998551774,2.3119482268442315,4.1822803023563075,19.960985584086103,0.0,0.0,0.0,0,11,11,1.0,10.0
historicalDependence,44,0.2682926829268293,0.0,0,1.0337706369219832,1.0686817297620828,4.838197834658539,25.313208315678146,0.0,0.0,0.0,0,7,7,1.0,6.0
