Stereotype,abstract,category,collective,datatype,enumeration,event,historicalRole,historicalRoleMixin,kind,mixin,mode,phase,phaseMixin,quality,quantity,relator,role,roleMixin,situation,subkind,type,none_c,other_c,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers,none_r,other_r
abstract,0.08591550133466275,0.023716451066620563,0.007537343677606383,0.007759380863871946,0.0010971212799754243,0.042694517438133975,0.016785695274994825,0.04044501337819499,0.03153450435734313,0.0028315070298051276,0.015182602323697295,0.013014070742663957,0.024550406491266035,0.014817197171902625,0.0014090864867219027,0.012157623915699977,0.02364515553941654,0.02246799649745081,0.011545646133758355,0.030551137590918112,0.023359272845672567,0.014745222841978007,0.0018341784189300006,0.01232317315619252,0.03634589114348104,0.03563571034883463,0.035997931070389386,0.02993307032680238,0.007387341387098838,0.025982648406531677,0.02559167960687362,0.02829360622650471,0.037581792710665786,0.013992195362295224,0.023451191138009305,0.005087398637230216,0.026305488802353786,0.0004899062843230842,0.0010971212799754451,0.00039078560829675785,0.000589610056679124,0.001200472973389266,0.037811932959288766,0.006514182327584252
category,0.023716451066620563,2.1105742334031112,0.2739305455620475,0.2767824729242859,0.11932708323522276,0.5478329537189789,0.0893720366093941,0.06704636689335546,0.8066263760772162,0.1877996808885055,0.5609275249625532,0.3896813587925785,0.0929161006947103,0.4328418984323514,0.13647092458356327,0.5578787569739743,0.667618647129956,0.512561848643158,0.25928379069972984,0.9061228357735559,0.4297242937878195,0.26421479798819303,0.1869328773876031,0.19610313387496883,0.6972087944151932,0.10566401708483582,0.49272868078189586,0.1964439420457323,0.27066021847445493,0.22906607628334902,0.18040787276457348,0.2544555807690017,0.20379109115533628,0.5075742235793198,0.6432358197478634,0.30099860301569364,0.36610329733766767,0.05157804078089397,0.10055303204307417,0.07360389322170209,0.0767596492410388,0.14718056522340098,1.040925411558623,0.36834771128354893
collective,0.007537343677606383,0.2739305455620475,1.2279636388893078,0.11505512498170148,0.07410407092417673,0.19208110129231246,0.03829327745588289,0.027016212327703053,0.44576713755029695,0.08709523561567252,0.2220147547129446,0.2764027788681026,0.026077941880970994,0.14034317586984765,0.10420097669017228,0.42674414861123433,0.41124929962923673,0.2084880912530368,0.05628273178651576,0.52585392506758,0.19283716938725606,0.08205992345861851,0.0635454687469105,0.03942451075860639,0.2992858131822097,0.032769122433166584,0.3833736193667086,0.09212331205304183,0.22803892728117645,0.10369830789363342,0.07380605985199995,0.1120822826811827,0.05536716764567155,0.3406787385250735,0.5169970750135513,0.48712854724076093,0.15348798708459827,0.04483429250761038,0.24937092699364607,0.07874859822734678,0.02701621232770303,0.03117572491522632,0.4701964215222035,0.3189953496482955
datatype,0.007759380863871946,0.2767824729242859,0.11505512498170148,0.9216435389904637,0.12821869095765612,0.18573339552601714,0.04381562358048621,0.020249517353197476,0.3577501132144267,0.06742017338408715,0.19031287711922035,0.22419465653790183,0.06186560184826824,0.15252088988625406,0.06312875854153968,0.2513869948464398,0.3025765186180576,0.16271131441242884,0.08073775498328768,0.3890633782446272,0.12877347478519377,0.07913315559629576,0.0711894557763681,0.05827030140088565,0.23451590975104136,0.08738405795318765,0.24751714108934222,0.08808984237971061,0.15801488895819177,0.08290344344696937,0.09787333628759232,0.11032777414271587,0.06529781004233497,0.30839313925060136,0.3694713451056173,0.10370698009113336,0.1289835842615915,0.0189599158186835,0.06467474635025965,0.02176465085056995,0.06446344324717743,0.02906661016848623,0.4356493075228329,0.12744246878862842
enumeration,0.0010971212799754243,0.11932708323522276,0.07410407092417673,0.12821869095765612,0.36619175749232585,0.0927453565687558,0.029753119298163086,0.0022139665188633216,0.18861112849964135,0.06096333146768229,0.12363568064358917,0.12577036757291182,0.029407461967678537,0.0602499420665053,0.08445468121494282,0.1463741915023345,0.17311407125944456,0.10920084478197868,0.04847807191469544,0.18741950633358528,0.09735688360286245,0.008535320987809715,0.006893661934766232,0.048340363315409335,0.12736376014370648,0.037239633499429325,0.14565430273222135,0.052169029007563636,0.06773496147222068,0.049765763147433334,0.016084210349418718,0.0476964640937871,0.03721036253647701,0.16900877805464556,0.16891738586089047,0.06618949462860459,0.049916714639621745,0.0018394494291872968,0.038283017300129965,0.03587777786309626,0.06309815583589158,0.004509759189179608,0.19162297150044627,0.08506989585920162
event,0.042694517438133975,0.5478329537189789,0.19208110129231246,0.18573339552601714,0.0927453565687558,1.6573325858267294,0.20587897823248302,0.1277398991578233,0.6335047560542113,0.131055909138788,0.5257972263177625,0.38132378412222206,0.05659353958762176,0.38231898701306205,0.1530908783709265,0.4686692967639995,0.5567277640477959,0.5583904191076324,0.4447588866345238,0.7122195731638268,0.4744965296972217,0.29833700030806076,0.22986917858701808,0.2585257271157387,0.6519970208671061,0.11327568075578462,0.33438486483732244,0.4737708219470453,0.19981199098065883,0.37780275626601323,0.352418694619996,0.346038231022393,0.3476693932890533,0.43061203116865554,0.5867457191101819,0.19105412977256278,0.68940865319728,0.12603523399299787,0.08464716677080389,0.07851161509568154,0.14596936467738475,0.22287661009382737,1.0586369770246542,0.31170598947273553
historicalRole,0.016785695274994825,0.0893720366093941,0.03829327745588289,0.04381562358048621,0.029753119298163086,0.20587897823248302,0.28922977990090715,0.07085120660574554,0.12606860029882927,0.012967234669615104,0.0764925415982984,0.07892003430221492,0.0024151510804120147,0.050872727010616944,0.058760715237904215,0.09749322307960621,0.11940342371382391,0.11037374577520509,0.07515321424968781,0.13306739271386409,0.1074081680354648,0.02805599254992059,0.039582154417271136,0.018175218363152012,0.09617714061200838,0.03197065427043708,0.03190104628519051,0.19096642241789916,0.06126085935685768,0.12700966899098357,0.07632017123795445,0.07981130072777506,0.14855739925223443,0.060887680862638294,0.14767445965772025,0.035176265852212604,0.16537100767983,0.001495970878014799,0.003351258182589266,0.0011932341292268424,0.08947175387130674,0.003667164198599599,0.19215071315426696,0.0550291642445867
historicalRoleMixin,0.04044501337819499,0.06704636689335546,0.027016212327703053,0.020249517353197476,0.0022139665188633216,0.1277398991578233,0.07085120660574554,0.19015930868705347,0.0725651607811374,0.036490014758613486,0.035110793921258876,0.015857089799104353,0.039191962885478604,0.0341254671215492,0.021804518289116535,0.057816654342590826,0.0580326686824499,0.08348484926836147,0.03259949288514368,0.07690328842481518,0.13517024335046468,0.01694548297061587,0.003702080924511797,0.03720349054227865,0.0626089842342934,0.012544422380917766,0.04790785212150385,0.12256326305022613,0.014936490987659683,0.06660145956125126,0.1055341032194267,0.11391686631333434,0.10250087778996855,0.03498753102316226,0.07852664704313474,0.024806837198616625,0.1117748873164157,0.013959695793944665,0.002213966518863384,0.0007884481869790301,0.02491523561559152,0.021454658159500716,0.11039932495600867,0.04557130824680733
kind,0.03153450435734313,0.8066263760772162,0.44576713755029695,0.3577501132144267,0.18861112849964135,0.6335047560542113,0.12606860029882927,0.0725651607811374,2.979230399708304,0.20482135507413557,0.6655295521363995,0.6752257288878459,0.0869893832667909,0.5393554100056661,0.20514366055658986,0.9438612681701749,1.161225355911678,0.5733150035163143,0.24907193882600095,1.3427258040400871,0.3998047151230367,0.32412508326442135,0.23820296482279574,0.1495102686312058,0.8287055542225873,0.13098203433762481,0.8121672053298402,0.2673284869154568,0.4994943782240117,0.2750533135309283,0.18937518895670374,0.2540682444256133,0.19174484638460648,0.8047321176274733,1.107474781617215,0.389131532004483,0.41856864328990767,0.0810769636679345,0.2004702498571722,0.09534738067101275,0.10509512986280924,0.11899202462298065,1.3983299400887703,0.56136921105653
mixin,0.0028315070298051276,0.1877996808885055,0.08709523561567252,0.06742017338408715,0.06096333146768229,0.131055909138788,0.012967234669615104,0.036490014758613486,0.20482135507413557,0.5969944908859061,0.19656895828817428,0.1241066488519172,0.012020374022923459,0.112596586876818,0.08648235601334285,0.20880963075766093,0.23568728000365474,0.15390525969455932,0.04095503076509302,0.26253748224756035,0.1683260997485603,0.0938828636508456,0.07656315949386866,0.021268539278303286,0.21197111647431716,0.05977442720268986,0.17934133837426286,0.02084637559140304,0.11594888303606714,0.03765105734557615,0.037163953519773675,0.02885403423009799,0.04967830184107179,0.16926923146646009,0.24960949904994498,0.11748961990222177,0.054855996487784386,0.004748876780783964,0.0699552873793503,0.07605796968727709,0.005716697898975075,0.013970972569751237,0.2669672711190713,0.17680634510206042
