Stereotype,x_value,y_value,distance_from_origin,rank,quadrant
abstract,9.634839579920994e-05,0.012195121951219513,0.012195502548828773,44,Q3
category,0.030012525291453897,0.6158536585365854,0.6165845281932293,7,Q1
collective,0.009538491184121785,0.3780487804878049,0.37816909345210387,13,Q1
datatype,0.006021774737450621,0.21341463414634146,0.2134995733925606,20,Q2
enumeration,0.0032276712592735333,0.054878048780487805,0.05497288513177692,36,Q3
event,0.022834569804412758,0.3231707317073171,0.32397644885144866,17,Q1
historicalRole,0.0011080065516909144,0.024390243902439025,0.02441539834078187,39,Q3
historicalRoleMixin,0.00043356778109644473,0.018292682926829267,0.018297820353318475,42,Q3
kind,0.0921090663840447,0.8719512195121951,0.8768027197260194,1,Q1
mixin,0.004239329415165237,0.1524390243902439,0.15249796087469386,23,Q3
mode,0.027170247615377206,0.4024390243902439,0.4033551669529625,11,Q1
phase,0.0203776857115329,0.36585365853658536,0.3664207274971797,15,Q1
phaseMixin,0.0009634839579920994,0.04878048780487805,0.04879000196576307,37,Q3
quality,0.012958859234993738,0.2865853658536585,0.28687820404162406,19,Q1
quantity,0.0021678389054822235,0.07926829268292683,0.07929793030329527,31,Q3
relator,0.07105694190191733,0.7926829268292683,0.7958613644844608,2,Q1
role,0.1055978417959341,0.75,0.7573974545718773,3,Q1
roleMixin,0.029193563927160614,0.4024390243902439,0.4034965086923808,10,Q1
situation,0.0038057616340687926,0.12804878048780488,0.12810532387855467,26,Q3
subkind,0.11031891319009539,0.7378048780487805,0.7460069039090855,4,Q1
type,0.01055014934001349,0.17073170731707318,0.1710573632864114,22,Q1
none_c,0.01830619520184989,0.1402439024390244,0.1414336203103591,24,Q4
other_c,0.005299161768956547,0.11585365853658537,0.1159747873969394,27,Q3
bringsAbout,0.0014452259369881492,0.07317073170731707,0.07318500294864459,33,Q3
characterization,0.028470950958666537,0.4817073170731707,0.48254796069439876,9,Q1
comparative,0.001830619520184989,0.042682926829268296,0.04272216533066125,38,Q3
componentOf,0.03314384815492822,0.39634146341463417,0.39772486758080733,12,Q1
creation,0.0028904518739762985,0.10975609756097561,0.10979415131895764,28,Q3
derivation,0.014018691588785047,0.3719512195121951,0.3722153051803091,14,Q1
externalDependence,0.003709413238269583,0.13414634146341464,0.13419761799149524,25,Q3
historicalDependence,0.0021196647075826186,0.0975609756097561,0.09758399940768976,30,Q3
instantiation,0.003324019655072743,0.10365853658536585,0.10371181858248818,29,Q3
manifestation,0.001637922728586569,0.07317073170731707,0.07318906181560873,32,Q3
material,0.03593795163310531,0.5060975609756098,0.5073719322085569,8,Q1
mediation,0.11720782348973889,0.7073170731707317,0.716962422924669,6,Q1
memberOf,0.012284420464399268,0.29878048780487804,0.2990329193902688,18,Q1
participation,0.010164755756816649,0.17682926829268292,0.17712117994334098,21,Q1
participational,0.0008189613642932846,0.024390243902439025,0.024403989332415905,40,Q3
subCollectionOf,0.001975142113883804,0.06707317073170732,0.06710224600097077,34,Q3
subQuantityOf,0.0006744387705944696,0.024390243902439025,0.02439956690754459,41,Q3
termination,0.00024087098949802485,0.018292682926829267,0.018294268706212136,43,Q3
triggers,0.0007707871663936795,0.06097560975609756,0.060980481286914884,35,Q3
none_r,0.1105597841795934,0.7134146341463414,0.7219306795614081,5,Q1
other_r,0.029386260718759032,0.3353658536585366,0.33665086977334524,16,Q1
