Stereotype,Total,Mean,Median,Mode,Standard Deviation,Variance,Skewness,Kurtosis,Q1,Q3,IQR,Min,Max,Range,Min Non-Zero,Range Non-Zero
bringsAbout,30,0.18292682926829268,0.0,0,0.7028085424736481,0.4939398473739337,4.022080929596812,15.757916225860152,0.0,0.0,0.0,0,4,4,1.0,3.0
characterization,591,3.6036585365853657,0.0,0,9.2872489289328,86.25299266796347,7.542884446818293,74.76764086887873,0.0,4.0,4.0,0,101,101,1.0,100.0
comparative,38,0.23170731707317074,0.0,0,1.5131228058117439,2.2895406254676045,7.860372062647098,66.37584292014714,0.0,0.0,0.0,0,15,15,1.0,14.0
componentOf,688,4.195121951219512,0.0,0,15.744851353912992,247.90034415681575,8.915123364368402,91.2899014760058,0.0,3.0,3.0,0,176,176,1.0,175.0
creation,60,0.36585365853658536,0.0,0,1.3791808284608278,1.9021397575938954,5.254922611347858,32.07121251830027,0.0,0.0,0.0,0,11,11,1.0,10.0
derivation,291,1.774390243902439,0.0,0,6.210347805986012,38.56841987131527,7.5341641162982915,67.02758080460487,0.0,1.0,1.0,0,64,64,1.0,63.0
externalDependence,77,0.4695121951219512,0.0,0,1.5205091998551774,2.3119482268442315,4.1822803023563075,19.960985584086103,0.0,0.0,0.0,0,11,11,1.0,10.0
historicalDependence,44,0.2682926829268293,0.0,0,1.0337706369219832,1.0686817297620828,4.838197834658539,25.313208315678146,0.0,0.0,0.0,0,7,7,1.0,6.0
instantiation,69,0.42073170731707316,0.0,0,1.5187367857894112,2.3065614245099515,4.312210498745048,19.712616947296652,0.0,0.0,0.0,0,10,10,1.0,9.0
manifestation,34,0.2073170731707317,0.0,0,0.9812700531722809,0.9628909172527309,7.183978541064167,63.32165471370232,0.0,0.0,0.0,0,10,10,1.0,9.0
material,746,4.548780487804878,1.0,0,14.998693144726916,224.9607960496782,7.6328865217849735,67.77608253416315,0.0,4.0,4.0,0,154,154,1.0,153.0
mediation,2433,14.835365853658537,4.5,0,82.3001597057709,6773.316287595396,12.267763232315838,154.43713748565332,0.0,11.25,11.25,0,1047,1047,1.0,1046.0
memberOf,255,1.5548780487804879,0.0,0,9.163312451131482,83.96629507706123,11.824371644685916,146.53108308923552,0.0,1.0,1.0,0,115,115,1.0,114.0
participation,211,1.2865853658536586,0.0,0,5.075824142218612,25.763990722729307,7.225952553685702,62.58411599671587,0.0,0.0,0.0,0,51,51,1.0,50.0
participational,17,0.10365853658536585,0.0,0,0.8334929270093012,0.6947104593745322,8.812468185199334,78.06595048643645,0.0,0.0,0.0,0,8,8,1.0,7.0
subCollectionOf,41,0.25,0.0,0,1.1637415858031401,1.3542944785276074,6.355830073763824,48.66155681722959,0.0,0.0,0.0,0,11,11,1.0,10.0
subQuantityOf,14,0.08536585365853659,0.0,0,0.8018570395997707,0.6429747119557083,11.842118460620078,145.9435625709256,0.0,0.0,0.0,0,10,10,1.0,9.0
termination,5,0.03048780487804878,0.0,0,0.23297964543665595,0.054279515187789916,7.94932331811591,63.86477916839876,0.0,0.0,0.0,0,2,2,1.0,1.0
triggers,16,0.0975609756097561,0.0,0,0.41769910494449825,0.17447254227143497,4.731861958523992,23.434964345384266,0.0,0.0,0.0,0,3,3,1.0,2.0
