Stereotype,x_value,y_value,distance_from_origin,rank,quadrant
bringsAbout,0.00530035335689046,0.07317073170731707,0.07336245445929461,13,Q3
characterization,0.10441696113074204,0.4817073170731707,0.4928943508436784,3,Q1
comparative,0.006713780918727915,0.042682926829268296,0.043207720339510466,16,Q3
componentOf,0.1215547703180212,0.39634146341463417,0.4145625619960402,4,Q1
creation,0.01060070671378092,0.10975609756097561,0.11026683968739648,9,Q1
derivation,0.051413427561837456,0.3719512195121951,0.37548774977389804,5,Q1
externalDependence,0.013604240282685512,0.13414634146341464,0.13483440318289722,8,Q1
historicalDependence,0.0077738515901060075,0.0975609756097561,0.09787020348641572,11,Q3
instantiation,0.012190812720848057,0.10365853658536585,0.10437292810788831,10,Q1
manifestation,0.006007067137809187,0.07317073170731707,0.07341689747042109,12,Q3
material,0.13180212014134277,0.5060975609756098,0.5229785273787194,2,Q1
mediation,0.4298586572438163,0.7073170731707317,0.8276931238123625,1,Q1
memberOf,0.045053003533568906,0.29878048780487804,0.3021581589504355,6,Q1
participation,0.037279151943462895,0.17682926829268292,0.1807161456388151,7,Q1
participational,0.0030035335689045936,0.024390243902439025,0.02457448293494699,17,Q3
subCollectionOf,0.007243816254416961,0.06707317073170732,0.06746319815968196,14,Q3
subQuantityOf,0.0024734982332155478,0.024390243902439025,0.02451534603325404,18,Q3
termination,0.0008833922261484099,0.018292682926829267,0.018314000941540065,19,Q3
triggers,0.0028268551236749115,0.06097560975609756,0.06104110168581615,15,Q3
