Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
mediation,2481,1,2481,40.718857705563764
material,784,2,3265,53.58608238962744
componentOf,691,3,3956,64.92696537009684
characterization,658,4,4614,75.726243229936
derivation,292,5,4906,80.5186279336944
participation,264,6,5170,84.85146889873626
memberOf,256,7,5426,89.05301165271624
externalDependence,123,8,5549,91.07172164779254
creation,107,9,5656,92.82783522074511
instantiation,97,10,5753,94.41982602987035
manifestation,71,11,5824,95.58509765304449
historicalDependence,58,12,5882,96.53700968324307
subCollectionOf,41,13,5923,97.20991301493517
comparative,39,14,5962,97.84999179386182
bringsAbout,39,15,6001,98.49007057278844
termination,39,16,6040,99.13014935171508
triggers,21,17,6061,99.4748071557525
participational,18,18,6079,99.77022813064173
subQuantityOf,14,19,6093,100.0
