Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
mediation,116,1,116,18.77022653721683
material,83,2,199,32.200647249190936
characterization,79,3,278,44.983818770226534
componentOf,65,4,343,55.50161812297735
derivation,61,5,404,65.37216828478964
memberOf,49,6,453,73.30097087378641
participation,29,7,482,77.99352750809061
externalDependence,22,8,504,81.55339805825243
creation,18,9,522,84.46601941747572
instantiation,17,10,539,87.2168284789644
historicalDependence,16,11,555,89.80582524271846
manifestation,12,12,567,91.74757281553399
bringsAbout,12,13,579,93.68932038834951
subCollectionOf,11,14,590,95.46925566343042
triggers,10,15,600,97.0873786407767
comparative,7,16,607,98.2200647249191
participational,4,17,611,98.86731391585761
subQuantityOf,4,18,615,99.51456310679612
termination,3,19,618,100.0
