Stereotype,characterization,componentOf,creation,derivation,externalDependence,instantiation,manifestation,material,mediation,memberOf,participation
characterization,1.0,0.18967369951305765,0.2735548362540236,-0.04641528545955962,0.4353322137305953,0.3493878620228287,0.3774384614156027,0.059742372471411564,0.19107028928820288,0.114022546111112,0.4228619545227031
componentOf,0.18967369951305765,1.0,-0.0013155544221842897,0.11830813274950495,-0.09116486937601004,0.053275040457930994,-0.010942962716653975,0.2631978094242974,0.26867717800981805,0.3741691143007642,-0.03926641562287068
creation,0.2735548362540236,-0.0013155544221842897,1.0,-0.03292721240926513,0.33391523113226573,0.4276765289439454,0.5261974114269827,-0.035268139357195506,0.08320844545623587,0.0725325699758925,0.7420188506005762
derivation,-0.04641528545955962,0.11830813274950495,-0.03292721240926513,1.0,-0.1712431271958696,-0.15595160152207696,-0.19999210890927846,0.5831820308699937,0.4335917921708326,0.21183767127535383,-0.10447151985764644
externalDependence,0.4353322137305953,-0.09116486937601004,0.33391523113226573,-0.1712431271958696,1.0,0.5186308861903669,0.5080404185124087,-0.21511447570241077,0.013483321879053468,0.030803743818478984,0.4328077539575667
instantiation,0.3493878620228287,0.053275040457930994,0.4276765289439454,-0.15595160152207696,0.5186308861903669,1.0,0.7325816439518297,-0.14518983352050946,-0.010875237091638958,0.0007215771045872363,0.5498648855782975
manifestation,0.3774384614156027,-0.010942962716653975,0.5261974114269827,-0.19999210890927846,0.5080404185124087,0.7325816439518297,1.0,-0.142331969671789,-0.07375715671597226,-0.07898165078318982,0.6373624470975178
material,0.059742372471411564,0.2631978094242974,-0.035268139357195506,0.5831820308699937,-0.21511447570241077,-0.14518983352050946,-0.142331969671789,1.0,0.43674630442685386,0.2399421114087947,-0.07421396463789136
mediation,0.19107028928820288,0.26867717800981805,0.08320844545623587,0.4335917921708326,0.013483321879053468,-0.010875237091638958,-0.07375715671597226,0.43674630442685386,1.0,0.356587822084019,-0.018820852083744243
memberOf,0.114022546111112,0.3741691143007642,0.0725325699758925,0.21183767127535383,0.030803743818478984,0.0007215771045872363,-0.07898165078318982,0.2399421114087947,0.356587822084019,1.0,0.045776374704009394
participation,0.4228619545227031,-0.03926641562287068,0.7420188506005762,-0.10447151985764644,0.4328077539575667,0.5498648855782975,0.6373624470975178,-0.07421396463789136,-0.018820852083744243,0.045776374704009394,1.0
