Stereotype,Total,Mean,Median,Mode,Standard Deviation,Variance,Skewness,Kurtosis,Q1,Q3,IQR,Min,Max,Range,Min Non-Zero,Range Non-Zero
bringsAbout,39,0.22033898305084745,0.0,0,0.7920298277678437,0.6273112480739601,3.748966624690444,13.332761429900497,0.0,0.0,0.0,0,4,4,1.0,3.0
characterization,658,3.7175141242937855,1.0,0,9.075402478620278,82.36293014894709,7.480765180638039,75.46188768209963,0.0,4.0,4.0,0,101,101,1.0,100.0
comparative,39,0.22033898305084745,0.0,0,1.4585305098193726,2.127311248073959,8.14504396299207,71.49073511211594,0.0,0.0,0.0,0,15,15,1.0,14.0
componentOf,691,3.903954802259887,0.0,0,15.188468867644296,230.68958654340003,9.24607148526758,98.29878556431026,0.0,3.0,3.0,0,176,176,1.0,175.0
creation,107,0.6045197740112994,0.0,0,2.1002115480307615,4.410888546481768,4.580629958258986,22.664675283696063,0.0,0.0,0.0,0,15,15,1.0,14.0
derivation,292,1.6497175141242937,0.0,0,5.993501445635867,35.92205957883923,7.817048095642259,72.23078385447043,0.0,1.0,1.0,0,64,64,1.0,63.0
externalDependence,123,0.6949152542372882,0.0,0,2.071897219788728,4.29275808936826,3.7995656500374064,16.097391939012557,0.0,0.0,0.0,0,14,14,1.0,13.0
historicalDependence,58,0.327683615819209,0.0,0,1.1205577707169427,1.2556497175141244,4.225325256055195,18.73713626668102,0.0,0.0,0.0,0,7,7,1.0,6.0
instantiation,97,0.5480225988700564,0.0,0,1.7771302964035813,3.1581920903954805,3.673841187012612,13.325560794164357,0.0,0.0,0.0,0,10,10,1.0,9.0
manifestation,71,0.4011299435028249,0.0,0,1.556729843897901,2.423407806882383,5.450800577104162,34.41131796427186,0.0,0.0,0.0,0,13,13,1.0,12.0
material,784,4.429378531073446,0.0,0,14.599845740086067,213.1554956343093,7.711081009630642,70.12994834475872,0.0,3.0,3.0,0,154,154,1.0,153.0
mediation,2481,14.016949152542374,4.0,0,79.26383407905634,6282.755392912173,12.737473824383793,166.55243643379495,0.0,11.0,11.0,0,1047,1047,1.0,1046.0
memberOf,256,1.4463276836158192,0.0,0,8.82717270221562,77.91897791474061,12.276108216764783,158.00466304351337,0.0,1.0,1.0,0,115,115,1.0,114.0
participation,264,1.4915254237288136,0.0,0,5.128040831886743,26.296802773497678,6.581174880687345,54.61072912382188,0.0,0.0,0.0,0,51,51,1.0,50.0
participational,18,0.1016949152542373,0.0,0,0.8054131193108848,0.6486902927580895,9.052260414914548,82.98155009420113,0.0,0.0,0.0,0,8,8,1.0,7.0
subCollectionOf,41,0.23163841807909605,0.0,0,1.1218461470302308,1.2585387776065742,6.6136688154136545,52.70238513770366,0.0,0.0,0.0,0,11,11,1.0,10.0
subQuantityOf,14,0.07909604519774012,0.0,0,0.7719980546638219,0.5959809964047253,12.303258259180376,157.53433563812044,0.0,0.0,0.0,0,10,10,1.0,9.0
termination,39,0.22033898305084745,0.0,0,1.5926086013722482,2.5364021571648685,8.484666392670347,73.99364180862194,0.0,0.0,0.0,0,15,15,1.0,14.0
triggers,21,0.11864406779661017,0.0,0,0.5028807613067435,0.25288906009245,5.100077219429175,29.08917053087145,0.0,0.0,0.0,0,4,4,1.0,3.0
none,2514,14.203389830508474,7.0,0,20.431520596820615,417.447033898305,2.940334622691807,13.080906052243186,0.0,19.0,19.0,0,153,153,1.0,152.0
other,619,3.4971751412429377,0.0,0,12.235902971186379,149.71732152028764,6.022751382993841,41.439425957023325,0.0,1.0,1.0,0,108,108,1.0,107.0
