Stereotype,Stereotype2,Absolute Value,Sign,Classification
componentOf,characterization,0.18967369951305765,positive,very_weak
creation,characterization,0.2735548362540236,positive,weak
derivation,characterization,0.04641528545955962,negative,very_weak
externalDependence,characterization,0.4353322137305953,positive,moderate
instantiation,characterization,0.3493878620228287,positive,weak
material,characterization,0.059742372471411564,positive,very_weak
mediation,characterization,0.19107028928820288,positive,very_weak
memberOf,characterization,0.114022546111112,positive,very_weak
participation,characterization,0.4228619545227031,positive,moderate
none,characterization,0.21936604405482366,positive,weak
other,characterization,0.02728617494139203,positive,very_weak
characterization,componentOf,0.18967369951305765,positive,very_weak
creation,componentOf,0.0013155544221842897,negative,very_weak
derivation,componentOf,0.11830813274950495,positive,very_weak
externalDependence,componentOf,0.09116486937601004,negative,very_weak
instantiation,componentOf,0.053275040457930994,positive,very_weak
material,componentOf,0.2631978094242974,positive,weak
mediation,componentOf,0.26867717800981805,positive,weak
memberOf,componentOf,0.3741691143007642,positive,weak
participation,componentOf,0.03926641562287068,negative,very_weak
none,componentOf,0.16105037427145807,negative,very_weak
other,componentOf,0.20327181566148575,positive,weak
characterization,creation,0.2735548362540236,positive,weak
componentOf,creation,0.0013155544221842897,negative,very_weak
derivation,creation,0.03292721240926513,negative,very_weak
externalDependence,creation,0.33391523113226573,positive,weak
instantiation,creation,0.4276765289439454,positive,moderate
material,creation,0.035268139357195506,negative,very_weak
mediation,creation,0.08320844545623587,positive,very_weak
memberOf,creation,0.0725325699758925,positive,very_weak
participation,creation,0.7420188506005762,positive,strong
none,creation,0.1642552861054872,positive,very_weak
other,creation,0.11214887839595974,negative,very_weak
characterization,derivation,0.04641528545955962,negative,very_weak
componentOf,derivation,0.11830813274950495,positive,very_weak
creation,derivation,0.03292721240926513,negative,very_weak
externalDependence,derivation,0.1712431271958696,negative,very_weak
instantiation,derivation,0.15595160152207696,negative,very_weak
material,derivation,0.5831820308699937,positive,moderate
mediation,derivation,0.4335917921708326,positive,moderate
memberOf,derivation,0.21183767127535383,positive,weak
participation,derivation,0.10447151985764644,negative,very_weak
none,derivation,0.1006468422731716,negative,very_weak
other,derivation,0.21343849573640405,positive,weak
characterization,externalDependence,0.4353322137305953,positive,moderate
componentOf,externalDependence,0.09116486937601004,negative,very_weak
creation,externalDependence,0.33391523113226573,positive,weak
derivation,externalDependence,0.1712431271958696,negative,very_weak
instantiation,externalDependence,0.5186308861903669,positive,moderate
material,externalDependence,0.21511447570241077,negative,weak
mediation,externalDependence,0.013483321879053468,positive,very_weak
memberOf,externalDependence,0.030803743818478984,positive,very_weak
participation,externalDependence,0.4328077539575667,positive,moderate
none,externalDependence,0.1679954098350585,positive,very_weak
other,externalDependence,0.03717564885856293,negative,very_weak
characterization,instantiation,0.3493878620228287,positive,weak
componentOf,instantiation,0.053275040457930994,positive,very_weak
creation,instantiation,0.4276765289439454,positive,moderate
derivation,instantiation,0.15595160152207696,negative,very_weak
externalDependence,instantiation,0.5186308861903669,positive,moderate
material,instantiation,0.14518983352050946,negative,very_weak
mediation,instantiation,0.010875237091638958,negative,very_weak
memberOf,instantiation,0.0007215771045872363,positive,very_weak
participation,instantiation,0.5498648855782975,positive,moderate
none,instantiation,0.11090979057627695,positive,very_weak
other,instantiation,0.05100066815193971,negative,very_weak
characterization,material,0.059742372471411564,positive,very_weak
componentOf,material,0.2631978094242974,positive,weak
creation,material,0.035268139357195506,negative,very_weak
derivation,material,0.5831820308699937,positive,moderate
externalDependence,material,0.21511447570241077,negative,weak
instantiation,material,0.14518983352050946,negative,very_weak
mediation,material,0.43674630442685386,positive,moderate
memberOf,material,0.2399421114087947,positive,weak
participation,material,0.07421396463789136,negative,very_weak
none,material,0.19206793720752643,negative,very_weak
other,material,0.0968561139082288,positive,very_weak
characterization,mediation,0.19107028928820288,positive,very_weak
componentOf,mediation,0.26867717800981805,positive,weak
creation,mediation,0.08320844545623587,positive,very_weak
derivation,mediation,0.4335917921708326,positive,moderate
externalDependence,mediation,0.013483321879053468,positive,very_weak
instantiation,mediation,0.010875237091638958,negative,very_weak
material,mediation,0.43674630442685386,positive,moderate
memberOf,mediation,0.356587822084019,positive,weak
participation,mediation,0.018820852083744243,negative,very_weak
none,mediation,0.2760157923115968,negative,weak
other,mediation,0.1668471008153077,positive,very_weak
characterization,memberOf,0.114022546111112,positive,very_weak
componentOf,memberOf,0.3741691143007642,positive,weak
creation,memberOf,0.0725325699758925,positive,very_weak
derivation,memberOf,0.21183767127535383,positive,weak
externalDependence,memberOf,0.030803743818478984,positive,very_weak
instantiation,memberOf,0.0007215771045872363,positive,very_weak
material,memberOf,0.2399421114087947,positive,weak
mediation,memberOf,0.356587822084019,positive,weak
participation,memberOf,0.045776374704009394,positive,very_weak
none,memberOf,0.21675076978265476,negative,weak
other,memberOf,0.25197914682075695,positive,weak
characterization,participation,0.4228619545227031,positive,moderate
componentOf,participation,0.03926641562287068,negative,very_weak
creation,participation,0.7420188506005762,positive,strong
derivation,participation,0.10447151985764644,negative,very_weak
externalDependence,participation,0.4328077539575667,positive,moderate
instantiation,participation,0.5498648855782975,positive,moderate
material,participation,0.07421396463789136,negative,very_weak
mediation,participation,0.018820852083744243,negative,very_weak
memberOf,participation,0.045776374704009394,positive,very_weak
none,participation,0.19399798128528598,positive,very_weak
other,participation,0.05247301418643077,negative,very_weak
characterization,none,0.21936604405482366,positive,weak
componentOf,none,0.16105037427145807,negative,very_weak
creation,none,0.1642552861054872,positive,very_weak
derivation,none,0.1006468422731716,negative,very_weak
externalDependence,none,0.1679954098350585,positive,very_weak
instantiation,none,0.11090979057627695,positive,very_weak
material,none,0.19206793720752643,negative,very_weak
mediation,none,0.2760157923115968,negative,weak
memberOf,none,0.21675076978265476,negative,weak
participation,none,0.19399798128528598,positive,very_weak
other,none,0.15792198203635954,negative,very_weak
characterization,other,0.02728617494139203,positive,very_weak
componentOf,other,0.20327181566148575,positive,weak
creation,other,0.11214887839595974,negative,very_weak
