stereotype,total_correlation,rank
characterization,2.7565428891123664,7
componentOf,1.5237939922969566,13
creation,3.3098042980717306,5
derivation,2.2979022684147923,9
externalDependence,3.220841176353461,6
historicalDependence,3.511308732895457,4
instantiation,3.7969959836144698,3
manifestation,4.000851103139265,1
material,2.3552272193764234,8
mediation,2.0167918370494347,11
memberOf,1.7841552674008772,12
participation,3.8430222708312227,2
none,2.2118202559998092,10
other,1.4267155861043563,14
