year,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers,none,other
2005,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2011,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,2,1
2013,0,8,0,18,0,19,0,0,0,0,26,34,19,0,0,7,0,0,0,8,20
2014,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
2015,0,6,0,6,0,4,1,0,0,0,5,7,5,0,0,2,2,0,0,7,6
2016,0,3,1,1,0,0,1,0,0,0,1,3,2,1,0,0,0,0,0,3,2
2017,0,1,0,2,0,1,0,0,0,0,5,1,0,0,0,0,0,0,0,8,2
2018,1,4,0,3,0,1,1,1,1,1,3,6,2,1,0,0,0,0,1,9,2
2019,0,4,0,2,0,3,0,1,1,1,3,6,3,1,0,0,0,0,0,7,5
2020,0,6,0,4,2,5,2,0,2,1,4,7,0,3,0,0,0,0,2,15,6
2021,4,15,1,8,3,7,6,3,4,4,11,14,4,7,1,0,1,0,2,18,5
2022,2,12,0,6,6,8,7,8,6,2,10,15,4,7,2,2,1,1,2,16,2
2023,3,13,3,9,5,8,3,0,2,1,7,15,8,5,0,0,0,2,2,15,1
2024,2,6,2,3,2,2,1,3,1,2,4,5,1,4,1,0,0,0,1,5,1
