year,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers,none,other
2005,0.0,0.0012658227848101266,0.0,0.0012658227848101266,0.0,0.0012658227848101266,0.0,0.0,0.0,0.0,0.0012658227848101266,0.0012658227848101266,0.0012658227848101266,0.0,0.0,0.0,0.0,0.0,0.0,0.0012658227848101266,0.0012658227848101266
2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012658227848101266,0.0
2011,0.0,0.0,0.0,0.0012658227848101266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012658227848101266
2012,0.0,0.0,0.0,0.0,0.0,0.0012658227848101266,0.0,0.0,0.0,0.0,0.002531645569620253,0.002531645569620253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002531645569620253,0.0012658227848101266
2013,0.0,0.010126582278481013,0.0,0.02278481012658228,0.0,0.024050632911392405,0.0,0.0,0.0,0.0,0.03291139240506329,0.043037974683544304,0.024050632911392405,0.0,0.0,0.008860759493670886,0.0,0.0,0.0,0.010126582278481013,0.02531645569620253
2014,0.0,0.0,0.0,0.0012658227848101266,0.0,0.0012658227848101266,0.0,0.0,0.0,0.0,0.0012658227848101266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002531645569620253,0.0
2015,0.0,0.007594936708860759,0.0,0.007594936708860759,0.0,0.005063291139240506,0.0012658227848101266,0.0,0.0,0.0,0.006329113924050633,0.008860759493670886,0.006329113924050633,0.0,0.0,0.002531645569620253,0.002531645569620253,0.0,0.0,0.008860759493670886,0.007594936708860759
2016,0.0,0.0037974683544303796,0.0012658227848101266,0.0012658227848101266,0.0,0.0,0.0012658227848101266,0.0,0.0,0.0,0.0012658227848101266,0.0037974683544303796,0.002531645569620253,0.0012658227848101266,0.0,0.0,0.0,0.0,0.0,0.0037974683544303796,0.002531645569620253
2017,0.0,0.0012658227848101266,0.0,0.002531645569620253,0.0,0.0012658227848101266,0.0,0.0,0.0,0.0,0.006329113924050633,0.0012658227848101266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010126582278481013,0.002531645569620253
2018,0.0012658227848101266,0.005063291139240506,0.0,0.0037974683544303796,0.0,0.0012658227848101266,0.0012658227848101266,0.0012658227848101266,0.0012658227848101266,0.0012658227848101266,0.0037974683544303796,0.007594936708860759,0.002531645569620253,0.0012658227848101266,0.0,0.0,0.0,0.0,0.0012658227848101266,0.01139240506329114,0.002531645569620253
2019,0.0,0.005063291139240506,0.0,0.002531645569620253,0.0,0.0037974683544303796,0.0,0.0012658227848101266,0.0012658227848101266,0.0012658227848101266,0.0037974683544303796,0.007594936708860759,0.0037974683544303796,0.0012658227848101266,0.0,0.0,0.0,0.0,0.0,0.008860759493670886,0.006329113924050633
2020,0.0,0.007594936708860759,0.0,0.005063291139240506,0.002531645569620253,0.006329113924050633,0.002531645569620253,0.0,0.002531645569620253,0.0012658227848101266,0.005063291139240506,0.008860759493670886,0.0,0.0037974683544303796,0.0,0.0,0.0,0.0,0.002531645569620253,0.0189873417721519,0.007594936708860759
2021,0.005063291139240506,0.0189873417721519,0.0012658227848101266,0.010126582278481013,0.0037974683544303796,0.008860759493670886,0.007594936708860759,0.0037974683544303796,0.005063291139240506,0.005063291139240506,0.013924050632911392,0.017721518987341773,0.005063291139240506,0.008860759493670886,0.0012658227848101266,0.0,0.0012658227848101266,0.0,0.002531645569620253,0.02278481012658228,0.006329113924050633
2022,0.002531645569620253,0.015189873417721518,0.0,0.007594936708860759,0.007594936708860759,0.010126582278481013,0.008860759493670886,0.010126582278481013,0.007594936708860759,0.002531645569620253,0.012658227848101266,0.0189873417721519,0.005063291139240506,0.008860759493670886,0.002531645569620253,0.002531645569620253,0.0012658227848101266,0.0012658227848101266,0.002531645569620253,0.020253164556962026,0.002531645569620253
2023,0.0037974683544303796,0.016455696202531647,0.0037974683544303796,0.01139240506329114,0.006329113924050633,0.010126582278481013,0.0037974683544303796,0.0,0.002531645569620253,0.0012658227848101266,0.008860759493670886,0.0189873417721519,0.010126582278481013,0.006329113924050633,0.0,0.0,0.0,0.002531645569620253,0.002531645569620253,0.0189873417721519,0.0012658227848101266
2024,0.002531645569620253,0.007594936708860759,0.002531645569620253,0.0037974683544303796,0.002531645569620253,0.002531645569620253,0.0012658227848101266,0.0037974683544303796,0.0012658227848101266,0.002531645569620253,0.005063291139240506,0.006329113924050633,0.0012658227848101266,0.005063291139240506,0.0012658227848101266,0.0,0.0,0.0,0.0012658227848101266,0.006329113924050633,0.0012658227848101266
