year,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers,none,other
2005,0.0,0.125,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125
2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2011,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2012,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.125
2013,0.0,0.050314465408805034,0.0,0.11320754716981132,0.0,0.11949685534591195,0.0,0.0,0.0,0.0,0.16352201257861634,0.2138364779874214,0.11949685534591195,0.0,0.0,0.0440251572327044,0.0,0.0,0.0,0.050314465408805034,0.12578616352201258
2014,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0
2015,0.0,0.11764705882352941,0.0,0.11764705882352941,0.0,0.0784313725490196,0.0196078431372549,0.0,0.0,0.0,0.09803921568627451,0.13725490196078433,0.09803921568627451,0.0,0.0,0.0392156862745098,0.0392156862745098,0.0,0.0,0.13725490196078433,0.11764705882352941
2016,0.0,0.16666666666666666,0.05555555555555555,0.05555555555555555,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.05555555555555555,0.16666666666666666,0.1111111111111111,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.1111111111111111
2017,0.0,0.05,0.0,0.1,0.0,0.05,0.0,0.0,0.0,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1
2018,0.02702702702702703,0.10810810810810811,0.0,0.08108108108108109,0.0,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.08108108108108109,0.16216216216216217,0.05405405405405406,0.02702702702702703,0.0,0.0,0.0,0.0,0.02702702702702703,0.24324324324324326,0.05405405405405406
2019,0.0,0.10810810810810811,0.0,0.05405405405405406,0.0,0.08108108108108109,0.0,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.08108108108108109,0.16216216216216217,0.08108108108108109,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.1891891891891892,0.13513513513513514
2020,0.0,0.1016949152542373,0.0,0.06779661016949153,0.03389830508474576,0.0847457627118644,0.03389830508474576,0.0,0.03389830508474576,0.01694915254237288,0.06779661016949153,0.11864406779661017,0.0,0.05084745762711865,0.0,0.0,0.0,0.0,0.03389830508474576,0.2542372881355932,0.1016949152542373
2021,0.03389830508474576,0.1271186440677966,0.00847457627118644,0.06779661016949153,0.025423728813559324,0.059322033898305086,0.05084745762711865,0.025423728813559324,0.03389830508474576,0.03389830508474576,0.09322033898305085,0.11864406779661017,0.03389830508474576,0.059322033898305086,0.00847457627118644,0.0,0.00847457627118644,0.0,0.01694915254237288,0.15254237288135594,0.0423728813559322
2022,0.01680672268907563,0.10084033613445378,0.0,0.05042016806722689,0.05042016806722689,0.06722689075630252,0.058823529411764705,0.06722689075630252,0.05042016806722689,0.01680672268907563,0.08403361344537816,0.12605042016806722,0.03361344537815126,0.058823529411764705,0.01680672268907563,0.01680672268907563,0.008403361344537815,0.008403361344537815,0.01680672268907563,0.13445378151260504,0.01680672268907563
2023,0.029411764705882353,0.12745098039215685,0.029411764705882353,0.08823529411764706,0.049019607843137254,0.0784313725490196,0.029411764705882353,0.0,0.0196078431372549,0.00980392156862745,0.06862745098039216,0.14705882352941177,0.0784313725490196,0.049019607843137254,0.0,0.0,0.0,0.0196078431372549,0.0196078431372549,0.14705882352941177,0.00980392156862745
2024,0.043478260869565216,0.13043478260869565,0.043478260869565216,0.06521739130434782,0.043478260869565216,0.043478260869565216,0.021739130434782608,0.06521739130434782,0.021739130434782608,0.043478260869565216,0.08695652173913043,0.10869565217391304,0.021739130434782608,0.08695652173913043,0.021739130434782608,0.0,0.0,0.0,0.021739130434782608,0.10869565217391304,0.021739130434782608
