year,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers,none,other
2005,0.0,0.00011675423234092235,0.0,0.0004670169293636894,0.0,0.0002335084646818447,0.0,0.0,0.0,0.0,0.0002335084646818447,0.0007005253940455342,0.00011675423234092235,0.0,0.0,0.0,0.0,0.0,0.0,0.0004670169293636894,0.0005837711617046118
2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002335084646818447,0.0
2011,0.0,0.0,0.0,0.0002335084646818447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005837711617046118
2012,0.0,0.0,0.0,0.0,0.0,0.0002335084646818447,0.0,0.0,0.0,0.0,0.0009340338587273788,0.00198482194979568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032691185055458262,0.0005837711617046118
2013,0.0,0.0015178050204319906,0.0,0.013309982486865149,0.0,0.007589025102159953,0.0,0.0,0.0,0.0,0.011558669001751313,0.044249854057209576,0.00642148277875073,0.0,0.0,0.0024518388791593695,0.0,0.0,0.0,0.005604203152364273,0.009457092819614711
2014,0.0,0.0,0.0,0.0003502626970227671,0.0,0.0005837711617046118,0.0,0.0,0.0,0.0,0.0005837711617046118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015178050204319906,0.0
2015,0.0,0.015995329830706364,0.0,0.033975481611208405,0.0,0.01144191476941039,0.0002335084646818447,0.0,0.0,0.0,0.030356100408639813,0.14746059544658494,0.014127262113251606,0.0,0.0,0.0014010507880910684,0.0003502626970227671,0.0,0.0,0.016929363689433742,0.03455925277291302
2016,0.0,0.00198482194979568,0.0017513134851138354,0.0005837711617046118,0.0,0.0,0.0007005253940455342,0.0,0.0,0.0,0.00011675423234092235,0.002918855808523059,0.0004670169293636894,0.0004670169293636894,0.0,0.0,0.0,0.0,0.0,0.0037361354349095153,0.00396964389959136
2017,0.0,0.0003502626970227671,0.0,0.0002335084646818447,0.0,0.0004670169293636894,0.0,0.0,0.0,0.0,0.002335084646818447,0.0012842965557501459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03677758318739054,0.002335084646818447
2018,0.0003502626970227671,0.0021015761821366026,0.0,0.0011675423234092236,0.0,0.0007005253940455342,0.0002335084646818447,0.0005837711617046118,0.0002335084646818447,0.0003502626970227671,0.0016345592527729131,0.0018680677174547577,0.0004670169293636894,0.0012842965557501459,0.0,0.0,0.0,0.0,0.0002335084646818447,0.02078225335668418,0.0002335084646818447
2019,0.0,0.002218330414477525,0.0,0.0014010507880910684,0.0,0.0007005253940455342,0.0,0.0002335084646818447,0.0005837711617046118,0.00011675423234092235,0.0012842965557501459,0.006654991243432574,0.0009340338587273788,0.0009340338587273788,0.0,0.0,0.0,0.0,0.0,0.010157618213660246,0.009223584354932866
2020,0.0,0.003852889667250438,0.0,0.0051371862230005835,0.0004670169293636894,0.0010507880910683013,0.0011675423234092236,0.0,0.0004670169293636894,0.0003502626970227671,0.0007005253940455342,0.004553415061295972,0.0,0.0012842965557501459,0.0,0.0,0.0,0.0,0.0002335084646818447,0.04004670169293637,0.005720957384705195
2021,0.0007005253940455342,0.010157618213660246,0.00011675423234092235,0.008289550496205488,0.0008172796263864566,0.0011675423234092236,0.0017513134851138354,0.0011675423234092236,0.0014010507880910684,0.0010507880910683013,0.01436077057793345,0.014944541739638061,0.0014010507880910684,0.0035026269702276708,0.00011675423234092235,0.0,0.0011675423234092236,0.0,0.0003502626970227671,0.03187390542907181,0.0010507880910683013
2022,0.0008172796263864566,0.00642148277875073,0.0,0.004553415061295972,0.0031523642732049035,0.00396964389959136,0.0024518388791593695,0.0024518388791593695,0.004086398131932283,0.0005837711617046118,0.008172796263864565,0.02265032107413894,0.0017513134851138354,0.010507880910683012,0.0010507880910683013,0.0009340338587273788,0.00011675423234092235,0.00011675423234092235,0.0004670169293636894,0.047635726795096325,0.0002335084646818447
2023,0.0010507880910683013,0.01482778750729714,0.0021015761821366026,0.008756567425569177,0.0014010507880910684,0.0017513134851138354,0.0018680677174547577,0.0,0.0008172796263864566,0.0002335084646818447,0.007355516637478109,0.020431990659661413,0.00396964389959136,0.0010507880910683013,0.0,0.0,0.0,0.0004670169293636894,0.0003502626970227671,0.03981319322825452,0.0015178050204319906
2024,0.0005837711617046118,0.009457092819614711,0.0004670169293636894,0.0018680677174547577,0.0011675423234092236,0.004086398131932283,0.0005837711617046118,0.0007005253940455342,0.0004670169293636894,0.0012842965557501459,0.007472270869819031,0.01436077057793345,0.00011675423234092235,0.005604203152364273,0.0008172796263864566,0.0,0.0,0.0,0.0002335084646818447,0.0070052539404553416,0.0011675423234092236
