Stereotype,average_quantity,rank,proportion
abstract,0,11,0.0
category,2,5,0.05714285714285714
collective,0,11,0.0
datatype,0,11,0.0
enumeration,0,11,0.0
event,2,5,0.05714285714285714
historicalRole,0,11,0.0
historicalRoleMixin,0,11,0.0
kind,13,1,0.37142857142857144
mixin,0,11,0.0
mode,1,7,0.02857142857142857
phase,1,7,0.02857142857142857
phaseMixin,0,11,0.0
quality,1,7,0.02857142857142857
quantity,0,11,0.0
relator,3,4,0.08571428571428572
role,5,3,0.14285714285714285
roleMixin,1,7,0.02857142857142857
situation,0,11,0.0
subkind,6,2,0.17142857142857143
type,0,11,0.0
