Stereotype,Total Frequency,Total Frequency per Group,Group Frequency,Ubiquity Index,Global Relative Frequency (Occurrence-wise),Global Relative Frequency (Group-wise)
abstract,2,0.013605442176870748,2,0.013605442176870748,0.00038446751249519417,0.0020855057351407717
category,323,2.197278911564626,85,0.5782312925170068,0.06209150326797386,0.0886339937434828
collective,115,0.782312925170068,52,0.35374149659863946,0.022106881968473664,0.054223149113660066
datatype,108,0.7346938775510204,30,0.20408163265306123,0.020761245674740483,0.03128258602711158
enumeration,52,0.35374149659863946,8,0.05442176870748299,0.009996155324875048,0.008342022940563087
event,308,2.0952380952380953,45,0.30612244897959184,0.0592079969242599,0.04692387904066736
historicalRole,23,0.1564625850340136,4,0.027210884353741496,0.0044213763936947325,0.004171011470281543
historicalRoleMixin,9,0.061224489795918366,3,0.02040816326530612,0.0017301038062283738,0.0031282586027111575
kind,969,6.591836734693878,126,0.8571428571428571,0.18627450980392157,0.13138686131386862
mixin,24,0.16326530612244897,19,0.1292517006802721,0.00461361014994233,0.01981230448383733
mode,200,1.3605442176870748,53,0.36054421768707484,0.03844675124951941,0.05526590198123045
phase,265,1.8027210884353742,51,0.3469387755102041,0.050941945405613226,0.053180396246089674
phaseMixin,20,0.1360544217687075,8,0.05442176870748299,0.0038446751249519417,0.008342022940563087
quality,162,1.1020408163265305,39,0.2653061224489796,0.031141868512110725,0.040667361835245046
quantity,17,0.11564625850340136,9,0.061224489795918366,0.0032679738562091504,0.009384775808133473
relator,531,3.6122448979591835,116,0.7891156462585034,0.10207612456747404,0.12095933263816476
role,747,5.081632653061225,108,0.7346938775510204,0.14359861591695502,0.11261730969760167
roleMixin,261,1.7755102040816326,55,0.3741496598639456,0.050173010380622836,0.05735140771637122
situation,71,0.48299319727891155,19,0.1292517006802721,0.013648596693579393,0.01981230448383733
subkind,918,6.244897959183674,106,0.7210884353741497,0.17647058823529413,0.1105318039624609
type,77,0.5238095238095238,21,0.14285714285714285,0.014801999231064974,0.021897810218978103
