Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
kind,969,1,969,17.744002929866326
subkind,918,2,1887,34.55411096868705
role,747,3,2634,48.232924372825494
relator,531,4,3165,57.956418238417875
category,323,5,3488,63.87108588170665
event,308,6,3796,69.51107855704083
phase,265,7,4061,74.36366965757188
roleMixin,261,8,4322,79.14301409998168
mode,200,9,4522,82.80534700604285
none,170,10,4692,85.91832997619484
quality,162,11,4854,88.88481963010437
collective,115,12,4969,90.99066105108953
datatype,108,13,5077,92.96832082036258
other,89,14,5166,94.59805896355978
type,77,15,5243,96.00805713239333
situation,71,16,5314,97.30818531404505
enumeration,52,17,5366,98.26039186962095
mixin,24,18,5390,98.69987181834829
historicalRole,23,19,5413,99.12104010254532
phaseMixin,20,20,5433,99.48727339315143
quantity,17,21,5450,99.79857169016664
historicalRoleMixin,9,22,5459,99.96337667093938
abstract,2,23,5461,100.0
