Stereotype,category,collective,datatype,event,kind,mode,phase,quality,relator,role,roleMixin,situation,subkind,type,none,other
category,1.0,-0.0446864356703951,0.10656431568468747,0.1966304402858451,0.054278591639374964,0.2698255906673739,-0.03279843447787129,0.30277206007484114,-0.13041079157497493,-0.20995640605216204,0.24747789533952083,0.22936762822436943,0.1773866674790305,0.2827514446631379,0.08695904013837984,0.03428312281131971
collective,-0.0446864356703951,1.0,0.03602653640292775,-0.19765324229617917,0.2567889555418423,0.00956383318635532,0.18960024099305028,-0.16226745444919893,0.22250956463124616,0.16198175214441643,-0.11319568126442175,-0.2768297053438231,0.1549803000791525,-0.013481063732152626,-0.18358857931812553,-0.13317157768684104
datatype,0.10656431568468747,0.03602653640292775,1.0,0.04436576103092365,0.08008793657263394,0.0014082231046507632,0.11327795699029437,0.16741257564441775,-0.06428677864425324,-0.12492837122188581,-0.09370942425971239,0.13069600834389303,0.06467476355322743,0.10211456256512583,0.03486865195810485,0.0025466652615810503
event,0.1966304402858451,-0.19765324229617917,0.04436576103092365,1.0,-0.3017741722653785,0.23078443880360658,-0.0531338003230583,0.21974085998139484,-0.2226117819997917,-0.250875140022119,0.29701763448092255,0.5650655200547331,-0.06934674005876447,0.3542162104981422,0.19938881528844818,0.19173643488938633
kind,0.054278591639374964,0.2567889555418423,0.08008793657263394,-0.3017741722653785,1.0,-0.023256213057402258,0.2101893552427542,0.0526586633755073,0.24621494765185226,0.24346824456578497,-0.26380746782915115,-0.24150226858302362,0.506018370298045,-0.21402962771504191,-0.1307371505144236,-0.04960702874056216
mode,0.2698255906673739,0.00956383318635532,0.0014082231046507632,0.23078443880360658,-0.023256213057402258,1.0,-0.012250904453232517,0.20387825484530891,-0.11285485049426829,-0.07200295915823998,0.16359349978553692,-0.012845723450731032,-0.0004585599065914639,0.23348736500158027,0.09433429054417569,-0.05333830567061784
phase,-0.03279843447787129,0.18960024099305028,0.11327795699029437,-0.0531338003230583,0.2101893552427542,-0.012250904453232517,1.0,0.08229388050885608,0.18683795246759755,0.3149675059614864,-0.07196311973804254,-0.10538597823976208,0.28771289956470947,-0.007310465366300236,-0.07478174184691933,-0.021152647463369804
quality,0.30277206007484114,-0.16226745444919893,0.16741257564441775,0.21974085998139484,0.0526586633755073,0.20387825484530891,0.08229388050885608,1.0,0.04535909388490391,-0.07586963740084353,0.09165341579511456,0.27158101243630317,0.24347067710772496,0.25092648924633065,0.17057242573406603,-0.09095733843549213
relator,-0.13041079157497493,0.22250956463124616,-0.06428677864425324,-0.2226117819997917,0.24621494765185226,-0.11285485049426829,0.18683795246759755,0.04535909388490391,1.0,0.49080331555354173,0.11793341855631961,-0.21080901315391817,0.19597591179738857,-0.00165463966326247,-0.2595679092043348,-0.15626370086288105
role,-0.20995640605216204,0.16198175214441643,-0.12492837122188581,-0.250875140022119,0.24346824456578497,-0.07200295915823998,0.3149675059614864,-0.07586963740084353,0.49080331555354173,1.0,-0.00836718280905807,-0.24043704756751877,0.08332745243142747,-0.13656294146977155,-0.06451253976417021,-0.10463450353871157
roleMixin,0.24747789533952083,-0.11319568126442175,-0.09370942425971239,0.29701763448092255,-0.26380746782915115,0.16359349978553692,-0.07196311973804254,0.09165341579511456,0.11793341855631961,-0.00836718280905807,1.0,0.1824759648354655,-0.09964773707286213,0.3180630881628379,0.07361927868959671,-0.08954345991127564
situation,0.22936762822436943,-0.2768297053438231,0.13069600834389303,0.5650655200547331,-0.24150226858302362,-0.012845723450731032,-0.10538597823976208,0.27158101243630317,-0.21080901315391817,-0.24043704756751877,0.1824759648354655,1.0,-0.08571549750886497,0.1672180517637424,0.0656487365176622,0.2473378570437498
subkind,0.1773866674790305,0.1549803000791525,0.06467476355322743,-0.06934674005876447,0.506018370298045,-0.0004585599065914639,0.28771289956470947,0.24347067710772496,0.19597591179738857,0.08332745243142747,-0.09964773707286213,-0.08571549750886497,1.0,-0.0494816109416155,-0.12953429959715443,-0.09284600403639655
type,0.2827514446631379,-0.013481063732152626,0.10211456256512583,0.3542162104981422,-0.21402962771504191,0.23348736500158027,-0.007310465366300236,0.25092648924633065,-0.00165463966326247,-0.13656294146977155,0.3180630881628379,0.1672180517637424,-0.0494816109416155,1.0,0.10220503135581845,-0.08358986284803958
none,0.08695904013837984,-0.18358857931812553,0.03486865195810485,0.19938881528844818,-0.1307371505144236,0.09433429054417569,-0.07478174184691933,0.17057242573406603,-0.2595679092043348,-0.06451253976417021,0.07361927868959671,0.0656487365176622,-0.12953429959715443,0.10220503135581845,1.0,0.1456373882220411
other,0.03428312281131971,-0.13317157768684104,0.0025466652615810503,0.19173643488938633,-0.04960702874056216,-0.05333830567061784,-0.021152647463369804,-0.09095733843549213,-0.15626370086288105,-0.10463450353871157,-0.08954345991127564,0.2473378570437498,-0.09284600403639655,-0.08358986284803958,0.1456373882220411,1.0
