Stereotype,abstract,category,collective,datatype,enumeration,event,historicalRole,historicalRoleMixin,kind,mixin,mode,phase,phaseMixin,quality,quantity,relator,role,roleMixin,situation,subkind,type,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers
abstract,0.07197893363517717,0.0277250525512067,0.005990787528519108,0.003129537387259962,0.000766719311414657,0.020757183574545125,0.000377959330925097,0.02196106035016068,0.03519920518461955,0.0018968986371842092,0.009312899131455096,0.01577152593409742,0.03163289177482469,0.011242083458943744,0.0008656701625841812,0.014917799239991106,0.018314667852183615,0.02502227814811396,0.015175355953810282,0.024695823779432503,0.022872828368384394,0.016480226496468107,0.02487158577236117,0.018497027914484276,0.05244958514525231,0.014913679282910038,0.005990787528519059,0.002004454340391426,0.03193416987944704,0.02255513225306832,0.016530617483876076,0.015166383220047742,0.02420968536269042,0.007021032773026389,0.02303741925102769,0.00018766722227465255,0.000668482937977527,0.0,0.0001876672222746456,0.0008656701625842228
category,0.0277250525512067,1.8796716101612252,0.18172065459580242,0.2655533961748193,0.07567854290292059,0.4305474076563394,0.0637937715873623,0.04859920550114795,0.6237726420438678,0.06976799461437563,0.3613535331206729,0.31963164830940516,0.11658288602439126,0.38257674897821176,0.08407160429665075,0.4222016322348545,0.48153609342604825,0.3753566060485426,0.22831284161617715,0.6889414587689853,0.282167470422019,0.19185438202386512,0.5537548471440943,0.04871715129500524,0.361500212684719,0.12184642974345092,0.20300216221797032,0.22741246767694875,0.19873779742743197,0.2494100558903492,0.17433925744857348,0.4142068527701473,0.48155673235221913,0.1923802930231483,0.3104052284774971,0.02247084297959185,0.04275268303511436,0.0,0.02247084297959183,0.12851082521193313
collective,0.005990787528519108,0.18172065459580242,1.1543068587483767,0.1078344471435586,0.03979696703850259,0.1306343655571108,0.035068900114819224,0.023829429985645946,0.36479043460871097,0.0181525803285819,0.11980246707200423,0.2219810600396506,0.03053354334827591,0.09518554123728065,0.040832714554836516,0.31098157429427914,0.321794751784031,0.11638587488054117,0.06157241928212945,0.42933567682318524,0.08034525159079438,0.034304980933048,0.18264172563473466,0.010288333744243948,0.2788624785400791,0.038184095048043085,0.1695265900740339,0.07548401290095297,0.0293438837602812,0.06901471366498324,0.0365709033402176,0.2554571970512234,0.3902773525675105,0.41460994911634624,0.11531885032226663,0.005990787528519108,0.20472712825585437,0.0,0.005990787528519101,0.027810506670273356
datatype,0.003129537387259962,0.2655533961748193,0.1078344471435586,0.9178063645300345,0.1577055538622642,0.1603134207381427,0.028279379301031117,0.015943250977202447,0.33197976381641064,0.05255200896221668,0.14582935779550543,0.2409092043537568,0.07497461681559583,0.16214872442811637,0.036886813176562123,0.24443582256160667,0.2855829369541528,0.1505335538528293,0.10110003321591193,0.3656671346403246,0.11236675680632152,0.07767925565958272,0.1820800202353267,0.07957889296925802,0.21712938696142856,0.05352792940664403,0.15866389022287472,0.06519321099219805,0.0961395845521956,0.11106407810613533,0.03330648865464471,0.3240946656165897,0.345104310219146,0.09930795728119077,0.129706068178153,0.03308418164028383,0.066430866931159,0.0,0.06301925409723202,0.04537559836728307
enumeration,0.000766719311414657,0.07567854290292059,0.03979696703850259,0.1577055538622642,0.3056403049596483,0.0736832188021734,0.0015443980498597576,0.0011541692004556209,0.1440054758322318,0.02869517039984231,0.06964073497169013,0.07592210591345047,0.033696573240972694,0.06802933126383094,0.055652361678211505,0.10607527701627312,0.12909940892619926,0.06668372094309145,0.052574033956955465,0.14677407797801867,0.04012061635148154,0.028891895750921916,0.0871043101883941,0.04208412558582937,0.13642010185075804,0.028263861605511004,0.0328212844144124,0.028682816208657837,0.017463524893764206,0.05347788312019841,0.01982215853221636,0.1590185371315999,0.12015232436177992,0.03177084169094949,0.036122159890847064,0.000766719311414657,0.00273216440412552,0.0,0.04106346565999401,0.003538663665575384
event,0.020757183574545125,0.4305474076563394,0.1306343655571108,0.1603134207381427,0.0736832188021734,1.4014733996253843,0.12490905227774043,0.08663330439892059,0.47045121433312986,0.06539711323398975,0.3247461459580837,0.27517817256468446,0.0637817505697799,0.2843624660669163,0.12584161661630802,0.33461828799815996,0.3844622275803346,0.4169089019526572,0.39114127664305776,0.48034617943999136,0.30096622815555474,0.23244303491167426,0.4585679528619429,0.06240443374749112,0.24175867582525679,0.3117226939844552,0.15981964008450156,0.291629665620665,0.2947681111583983,0.29420773514669507,0.25142893106526376,0.331623301828214,0.4219785832248745,0.12463169876096775,0.5270237926044327,0.045998763500694366,0.017923325430117883,0.0,0.04889007396318052,0.1938492049962458
historicalRole,0.000377959330925097,0.0637937715873623,0.035068900114819224,0.028279379301031117,0.0015443980498597576,0.12490905227774043,0.16263134781841834,0.04101250022914981,0.08565304892553106,0.0038220985212313874,0.012380740990822502,0.027280985562813505,0.0015443980498597507,0.03396550926222609,0.08692385745018835,0.0758967649851251,0.07639377682822057,0.07603393405301596,0.08311873893525609,0.06081945849502889,0.043768459620601795,0.00214692143268988,0.043492657969443925,0.02831088537557829,0.03259211155154308,0.09026445687788436,0.06572059939001096,0.034174611720891986,0.05121301807539312,0.04280785381334877,0.03291341809796195,0.04910153193579697,0.09780310763005047,0.03854658619406796,0.09482868566393023,0.000377959330925097,0.0013464858782862507,0.0,0.00037795933092509004,0.0017437603471796223
historicalRoleMixin,0.02196106035016068,0.04859920550114795,0.023829429985645946,0.015943250977202447,0.0011541692004556209,0.08663330439892059,0.04101250022914981,0.11261347453340273,0.048156668717562724,0.00285590815378782,0.012347414351170378,0.00880817414877947,0.05696579608478252,0.013317839924892216,0.02310995763769448,0.049176247232747314,0.035534026460110675,0.052666733979099115,0.01608037505370425,0.045261102563436975,0.08479264722511898,0.016968087831659453,0.017274488700155556,0.0007136710429739429,0.038318090081832526,0.07857249334032954,0.009025302748234425,0.04643288825336479,0.0772027305137521,0.09019281558099154,0.04773458449693312,0.01958238434590725,0.057267042129442836,0.02423183640765842,0.08616241005169642,0.02196106035016068,0.0010062774876229003,0.0,0.03139163423533001,0.001303140510365966
kind,0.03519920518461955,0.6237726420438678,0.36479043460871097,0.33197976381641064,0.1440054758322318,0.47045121433312986,0.08565304892553106,0.048156668717562724,2.792763783915049,0.10848431884786613,0.42451026157398397,0.560602377743262,0.10109465369284558,0.4140767328833872,0.12310926420483248,0.8258160354046404,1.020674970303476,0.4462966702693747,0.2169872567956245,1.1416669227467722,0.23901021366015596,0.11610559356322696,0.6275122425819419,0.09548063869073173,0.6758496231697104,0.1435690242504671,0.3986149278136349,0.25036491665107485,0.14703904409433652,0.20360903636236352,0.14222961393041478,0.7222644488479931,0.9399523575837514,0.2792377725287686,0.28615773982029746,0.027051476309261253,0.14299551270836666,0.0,0.035670099531843746,0.09520130788026818
mixin,0.0018968986371842092,0.06976799461437563,0.0181525803285819,0.05255200896221668,0.02869517039984231,0.06539711323398975,0.0038220985212313874,0.00285590815378782,0.10848431884786613,0.4594539067889735,0.06603657669937793,0.09577951207964563,0.013222724204552179,0.10158658011987667,0.027588595930423357,0.12591441966776012,0.1218701294357481,0.054752406621629716,0.014283999905998879,0.12319262706252058,0.03322568016394353,0.010215211942311078,0.11251653043556545,0.027341335460665604,0.09088301566810628,0.01142859930434742,0.07183576035149508,0.03986788811843785,0.0343454972767112,0.028355367488059356,0.03632952466709754,0.10446553222639206,0.1554709367303906,0.03171890537974469,0.049559066090534135,0.0018968986371842092,0.006764852562355657,0.0,0.0018968986371842023,0.008298744971602483
mode,0.009312899131455096,0.3613535331206729,0.11980246707200423,0.14582935779550543,0.06964073497169013,0.3247461459580837,0.012380740990822502,0.012347414351170378,0.42451026157398397,0.06603657669937793,1.368061196413944,0.2147756046161498,0.08594168270756294,0.2603132914392729,0.04608700478452255,0.30917096982237113,0.38075780880968174,0.24226351581038477,0.06779630148067478,0.48225357750673004,0.20004877737149274,0.07240445692428682,0.6140273003243726,0.0523888485030215,0.31399126785192033,0.1319850646365736,0.12670027078265902,0.2308519386787956,0.1007096349605595,0.1812297345177053,0.17311403941806414,0.2809854017680576,0.40101904460236937,0.1464331760339661,0.19848684205327377,0.013801260436679882,0.04079057128350734,0.0,0.006136307215117105,0.05435010170541894
phase,0.01577152593409742,0.31963164830940516,0.2219810600396506,0.2409092043537568,0.07592210591345047,0.27517817256468446,0.027280985562813505,0.00880817414877947,0.560602377743262,0.09577951207964563,0.2147756046161498,1.4670562975470351,0.09715690314371458,0.2634453067078321,0.08248657089199087,0.42287299888023255,0.5779524266851539,0.22985686620149787,0.09459220765757201,0.6155269589211316,0.11940495061861428,0.055055627813412944,0.30778053397437477,0.07241794505130719,0.3539843466197501,0.08570838835135174,0.2596584748558648,0.11001822113702056,0.07562021740254402,0.09514987893054809,0.05909429463789402,0.37252887042579175,0.5732078584940745,0.20707214147686495,0.16323515502236202,0.005846807877272327,0.04530307847005984,0.0,0.026571862645844227,0.02713715405997641
phaseMixin,0.03163289177482469,0.11658288602439126,0.03053354334827591,0.07497461681559583,0.033696573240972694,0.0637817505697799,0.0015443980498597507,0.05696579608478252,0.10109465369284558,0.013222724204552179,0.08594168270756294,0.09715690314371458,0.2773485833041403,0.07981077847668283,0.003538663665575377,0.06751850451197075,0.08031578289576276,0.12576180104673484,0.030139344687835176,0.10492609850607562,0.11411527154872708,0.028891895750921943,0.08967925752982861,0.001937446022795969,0.08613616207160364,0.03567125621903949,0.023428084203011477,0.05279416832730636,0.07408458047729113,0.13510443034666025,0.0292527324173857,0.08822448828743862,0.07925920253792614,0.013473578038615819,0.0465288513915109,0.016331255186557776,0.002732164404125527,0.0,0.025761829071727103,0.0035386636655754047
quality,0.011242083458943744,0.38257674897821176,0.09518554123728065,0.16214872442811637,0.06802933126383094,0.2843624660669163,0.03396550926222609,0.013317839924892216,0.4140767328833872,0.10158658011987667,0.2603132914392729,0.2634453067078321,0.07981077847668283,1.129532120255918,0.08403855379114238,0.323298393526902,0.3173954956174101,0.2497127089801891,0.17792067328865643,0.5062492794639621,0.17359681391359896,0.14238542180421782,0.6064418191775524,0.05920360020993029,0.24070378197514672,0.07531205420388154,0.08998827749788474,0.1711186933087191,0.12684632793700773,0.17380911260821147,0.15174259099910878,0.2769884157530264,0.3585276416527797,0.09969348910864692,0.2593099234856411,0.01382722295483231,0.01510646777362673,0.0,0.004228360897648151,0.11811885679087313
quantity,0.0008656701625841812,0.08407160429665075,0.040832714554836516,0.036886813176562123,0.055652361678211505,0.12584161661630802,0.08692385745018835,0.02310995763769448,0.12310926420483248,0.027588595930423357,0.04608700478452255,0.08248657089199087,0.003538663665575377,0.08403855379114238,0.29171445503001064,0.0898826226608991,0.13859599960406857,0.08453129828717426,0.11575961690144382,0.09708876930360301,0.037564878638106855,0.00492025323073382,0.11210594031429072,0.002187575366626525,0.0867330125871626,0.05021965004274983,0.05661733405506101,0.05247926181969836,0.009174355834549633,0.03759879734961619,0.024757456372918207,0.05939244390806229,0.12344427140104158,0.01976115214194417,0.058077948328085875,0.0008656701625841812,0.0030849787675376883,0.0,0.0008656701625841604,0.003995736841777439
relator,0.014917799239991106,0.4222016322348545,0.31098157429427914,0.24443582256160667,0.10607527701627312,0.33461828799815996,0.0758967649851251,0.049176247232747314,0.8258160354046404,0.12591441966776012,0.30917096982237113,0.42287299888023255,0.06751850451197075,0.323298393526902,0.0898826226608991,2.2944856386065036,0.7723457038133389,0.3769544917866003,0.14386609057097963,0.8454758844955361,0.20147903733333483,0.08012365005349462,0.43088344535287304,0.07831479796960182,0.4713766945104453,0.1207855964607424,0.502845347631075,0.16933987794439498,0.12537065186223745,0.175385603305214,0.11237777645134528,0.6759206379013386,1.3396652435901168,0.2586354145347146,0.22658573918758676,0.013092564546548495,0.10834422066293703,0.0,0.03296699634774295,0.08168831106580285
role,0.018314667852183615,0.48153609342604825,0.321794751784031,0.2855829369541528,0.12909940892619926,0.3844622275803346,0.07639377682822057,0.035534026460110675,1.020674970303476,0.1218701294357481,0.38075780880968174,0.5779524266851539,0.08031578289576276,0.3173954956174101,0.13859599960406857,0.7723457038133389,2.4813266826618423,0.3597446964832179,0.16665485747668568,0.8439164741868167,0.22804667167437181,0.0880756542048381,0.4921941583710424,0.05460252027414958,0.48418817851275775,0.11129571730526297,0.4255458952462711,0.2242997088586225,0.10757250252395333,0.15574714586036661,0.12881679826632145,0.5728426818562796,0.9420983106976926,0.3384257064815961,0.2327804617395961,0.018314667852183615,0.1568532672035497,0.0,0.026357385573900757,0.07526151109216997
roleMixin,0.02502227814811396,0.3753566060485426,0.11638587488054117,0.1505335538528293,0.06668372094309145,0.4169089019526572,0.07603393405301596,0.052666733979099115,0.4462966702693747,0.054752406621629716,0.24226351581038477,0.22985686620149787,0.12576180104673484,0.2497127089801891,0.08453129828717426,0.3769544917866003,0.3597446964832179,1.4119191728800524,0.19218718777710614,0.3875904279577417,0.26983737716033873,0.1454962298957964,0.3785780132571838,0.030103448067971404,0.21614404747567525,0.1446332733902826,0.17234211807854366,0.2794387203880079,0.20148576714432512,0.290572457456052,0.19626527175524863,0.26150493204864894,0.45799201788045074,0.07808073253647899,0.28312314790317156,0.007802178822185285,0.02400698066197443,0.0,0.020468243628153762,0.12111284120686326
