Stereotype,Stereotype2,Absolute Value,Sign,Classification
collective,category,0.03708115839879692,positive,very_weak
datatype,category,0.09830118898588996,positive,very_weak
event,category,0.18746232030647567,positive,very_weak
kind,category,0.07813377664353553,positive,very_weak
mode,category,0.29646003254813436,positive,weak
phase,category,0.0488120148031569,positive,very_weak
quality,category,0.28251658723916273,positive,weak
relator,category,0.09558706143745721,positive,very_weak
role,category,0.09742706561638209,positive,very_weak
roleMixin,category,0.22517530403295496,positive,weak
subkind,category,0.17634631280917717,positive,very_weak
characterization,category,0.3643944965578361,positive,weak
componentOf,category,0.08449112455593336,positive,very_weak
derivation,category,0.07646321565241244,positive,very_weak
material,category,0.030329290048819364,positive,very_weak
mediation,category,0.05817212243662726,positive,very_weak
memberOf,category,0.08420583746477356,positive,very_weak
participation,category,0.18620733816321983,positive,very_weak
category,collective,0.03708115839879692,positive,very_weak
datatype,collective,0.04201146466976073,positive,very_weak
event,collective,0.19003197812612752,positive,very_weak
kind,collective,0.18920135460739554,positive,very_weak
mode,collective,0.01883398584652858,positive,very_weak
phase,collective,0.2253306349455477,positive,weak
quality,collective,0.1583639925353684,positive,very_weak
relator,collective,0.1963130244916734,positive,very_weak
role,collective,0.15822451635104332,positive,very_weak
roleMixin,collective,0.10724509012049392,positive,very_weak
subkind,collective,0.14880347580029638,positive,very_weak
characterization,collective,0.027411950337796323,positive,very_weak
componentOf,collective,0.2654071549521094,positive,weak
derivation,collective,0.0874238960316416,positive,very_weak
material,collective,0.11338143644196662,positive,very_weak
mediation,collective,0.2584533222381732,positive,weak
memberOf,collective,0.64404873008974,positive,strong
participation,collective,0.057503378303989064,positive,very_weak
category,datatype,0.09830118898588996,positive,very_weak
collective,datatype,0.04201146466976073,positive,very_weak
event,datatype,0.05432498911703657,positive,very_weak
kind,datatype,0.09396777677756946,positive,very_weak
mode,datatype,0.003015365106461853,positive,very_weak
phase,datatype,0.12011646257043485,positive,very_weak
quality,datatype,0.17961982680090294,positive,very_weak
relator,datatype,0.0843287003967142,positive,very_weak
role,datatype,0.09872844493416108,positive,very_weak
roleMixin,datatype,0.10266357829246694,positive,very_weak
subkind,datatype,0.029903023016768657,positive,very_weak
characterization,datatype,0.054429070785988236,positive,very_weak
componentOf,datatype,0.09317801323021808,positive,very_weak
derivation,datatype,0.09121664779283623,positive,very_weak
material,datatype,0.07995765606398761,positive,very_weak
mediation,datatype,0.0331216219413238,positive,very_weak
memberOf,datatype,0.04488494715435809,positive,very_weak
participation,datatype,0.0925378004027922,positive,very_weak
category,event,0.18746232030647567,positive,very_weak
collective,event,0.19003197812612752,positive,very_weak
datatype,event,0.05432498911703657,positive,very_weak
kind,event,0.3104473696409234,positive,weak
mode,event,0.2348671479512513,positive,weak
phase,event,0.05154019875694543,positive,very_weak
quality,event,0.2110177557896967,positive,weak
relator,event,0.21067281114754718,positive,weak
role,event,0.24336169899738158,positive,weak
roleMixin,event,0.27195117520032536,positive,weak
subkind,event,0.05750786238949961,positive,very_weak
