Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,4,0.4437804999502042,4,0.2751961375980688
20.0,8,0.6443581316601932,8,0.49185274592637296
30.0,13,0.7913554426849916,13,0.659625829812915
40.0,17,0.8710287819938253,17,0.7779118889559444
50.0,22,0.9294890947116821,22,0.8696439348219674
60.0,26,0.9607608803903993,26,0.9149064574532287
70.0,30,0.9790857484314311,30,0.9505129752564876
80.0,35,0.9918334827208445,35,0.9800844900422451
90.0,39,0.9984065332138233,39,0.9945684972842487
100.0,44,1.0,44,1.0
