Stereotype,category,collective,datatype,event,kind,mode,phase,quality,relator,role,roleMixin,subkind,none_c,characterization,componentOf,derivation,material,mediation,participation,none_r,other_r
category,1.0,-0.0446864356703951,0.10656431568468747,0.1966304402858451,0.054278591639374964,0.2698255906673739,-0.03279843447787129,0.30277206007484114,-0.13041079157497493,-0.20995640605216204,0.24747789533952083,0.1773866674790305,0.08695904013837984,0.4050551468787339,0.08451108800797195,-0.09812966472418688,0.07003677487308275,-0.07221785665428192,0.22567551583788828,0.2966712417541975,-0.13710305748647558
collective,-0.0446864356703951,1.0,0.03602653640292775,-0.19765324229617917,0.2567889555418423,0.00956383318635532,0.18960024099305028,-0.16226745444919893,0.22250956463124616,0.16198175214441643,-0.11319568126442175,0.1549803000791525,-0.18358857931812553,-0.07571599750458004,0.27508168539516104,0.09857992619037942,0.10647648849233993,0.28422866550834514,-0.05765862167278664,-0.37205138786262615,0.2671052831548961
datatype,0.10656431568468747,0.03602653640292775,1.0,0.04436576103092365,0.08008793657263394,0.0014082231046507632,0.11327795699029437,0.16741257564441775,-0.06428677864425324,-0.12492837122188581,-0.09370942425971239,0.06467476355322743,0.03486865195810485,0.034497445384655705,0.10299990125088732,0.09870931361870648,0.11034877309977645,0.029169597815520112,0.08920549343658052,0.03999093516973782,-0.0029982837385990418
event,0.1966304402858451,-0.19765324229617917,0.04436576103092365,1.0,-0.3017741722653785,0.23078443880360658,-0.0531338003230583,0.21974085998139484,-0.2226117819997917,-0.250875140022119,0.29701763448092255,-0.06934674005876447,0.19938881528844818,0.282389762941402,-0.1534841420935113,-0.12706249959648996,-0.11017934638525008,-0.21291708759787387,0.6508972058507675,0.37725093259402515,0.05055597847552351
kind,0.054278591639374964,0.2567889555418423,0.08008793657263394,-0.3017741722653785,1.0,-0.023256213057402258,0.2101893552427542,0.0526586633755073,0.24621494765185226,0.24346824456578497,-0.26380746782915115,0.506018370298045,-0.1307371505144236,-0.057805013009869656,0.4883014237435655,0.06257602497086194,0.2214264787661887,0.19872147748977567,-0.24162252977736695,-0.03627521792646284,0.06392501814993604
mode,0.2698255906673739,0.00956383318635532,0.0014082231046507632,0.23078443880360658,-0.023256213057402258,1.0,-0.012250904453232517,0.20387825484530891,-0.11285485049426829,-0.07200295915823998,0.16359349978553692,-0.0004585599065914639,0.09433429054417569,0.5875700841985388,0.07012463400937739,-0.11107932337302408,-0.07311103373913513,-0.03659463881355099,0.13929703061505552,0.17003765142309937,0.018643823867269434
phase,-0.03279843447787129,0.18960024099305028,0.11327795699029437,-0.0531338003230583,0.2101893552427542,-0.012250904453232517,1.0,0.08229388050885608,0.18683795246759755,0.3149675059614864,-0.07196311973804254,0.28771289956470947,-0.07478174184691933,0.005640896708066508,0.1525981665537606,0.12021689375317864,0.13155313597236637,0.2853642263161812,-0.10546989685337399,-0.0847348408527433,0.05213931118680873
quality,0.30277206007484114,-0.16226745444919893,0.16741257564441775,0.21974085998139484,0.0526586633755073,0.20387825484530891,0.08229388050885608,1.0,0.04535909388490391,-0.07586963740084353,0.09165341579511456,0.24347067710772496,0.17057242573406603,0.6348073600575809,0.0034223390519189855,-0.14451244162283897,-0.047549553411715094,0.03453090546300322,0.302422494080271,0.13565487982226382,-0.13752187681839134
relator,-0.13041079157497493,0.22250956463124616,-0.06428677864425324,-0.2226117819997917,0.24621494765185226,-0.11285485049426829,0.18683795246759755,0.04535909388490391,1.0,0.49080331555354173,0.11793341855631961,0.19597591179738857,-0.2595679092043348,0.017736064266265145,0.1476540997340647,0.31347710907165993,0.29161695614908295,0.7759527924257388,-0.11500212679737346,-0.21624046234521996,0.12746269762598042
role,-0.20995640605216204,0.16198175214441643,-0.12492837122188581,-0.250875140022119,0.24346824456578497,-0.07200295915823998,0.3149675059614864,-0.07586963740084353,0.49080331555354173,1.0,-0.00836718280905807,0.08332745243142747,-0.06451253976417021,-0.12864279234507234,0.02109614536544346,0.2776576177893486,0.18875445225629325,0.5283332221328425,-0.3442388930457939,-0.1470230294796273,-0.021741807328833393
roleMixin,0.24747789533952083,-0.11319568126442175,-0.09370942425971239,0.29701763448092255,-0.26380746782915115,0.16359349978553692,-0.07196311973804254,0.09165341579511456,0.11793341855631961,-0.00836718280905807,1.0,-0.09964773707286213,0.07361927868959671,0.1953963207298867,-0.10644446575590855,-0.08224853139771417,-0.11543604646094054,0.14360104941555246,0.24975790028011674,0.13509565542400614,0.011230618017647138
subkind,0.1773866674790305,0.1549803000791525,0.06467476355322743,-0.06934674005876447,0.506018370298045,-0.0004585599065914639,0.28771289956470947,0.24347067710772496,0.19597591179738857,0.08332745243142747,-0.09964773707286213,1.0,-0.12953429959715443,0.0508564743948942,0.35187954860034215,-0.06958862770391545,0.18585915026120337,0.2349774493664163,-0.06810124312460933,-0.12190299834340511,-0.09641716914673056
none_c,0.08695904013837984,-0.18358857931812553,0.03486865195810485,0.19938881528844818,-0.1307371505144236,0.09433429054417569,-0.07478174184691933,0.17057242573406603,-0.2595679092043348,-0.06451253976417021,0.07361927868959671,-0.12953429959715443,1.0,0.06720439568168668,-0.10314159787003495,-0.09967795207700668,0.0006540605285620034,-0.1522274599973828,0.08252937619678845,0.2585207757367097,-0.11785259296764718
characterization,0.4050551468787339,-0.07571599750458004,0.034497445384655705,0.282389762941402,-0.057805013009869656,0.5875700841985388,0.005640896708066508,0.6348073600575809,0.017736064266265145,-0.12864279234507234,0.1953963207298867,0.0508564743948942,0.06720439568168668,1.0,0.13053909616171483,-0.11700100483842298,-0.051627254379045535,0.07594775271952395,0.35019969997652495,0.14767277175442187,0.024039042610713632
componentOf,0.08451108800797195,0.27508168539516104,0.10299990125088732,-0.1534841420935113,0.4883014237435655,0.07012463400937739,0.1525981665537606,0.0034223390519189855,0.1476540997340647,0.02109614536544346,-0.10644446575590855,0.35187954860034215,-0.10314159787003495,0.13053909616171483,1.0,-0.0588412222337234,0.12166024455516056,0.14299269988415542,-0.07120761284727989,-0.21609472553333492,0.0864074791489329
derivation,-0.09812966472418688,0.09857992619037942,0.09870931361870648,-0.12706249959648996,0.06257602497086194,-0.11107932337302408,0.12021689375317864,-0.14451244162283897,0.31347710907165993,0.2776576177893486,-0.08224853139771417,-0.06958862770391545,-0.09967795207700668,-0.11700100483842298,-0.0588412222337234,1.0,0.5422627959987842,0.37980842675316023,-0.12359250173352765,-0.09171473201651503,0.17393824305212044
material,0.07003677487308275,0.10647648849233993,0.11034877309977645,-0.11017934638525008,0.2214264787661887,-0.07311103373913513,0.13155313597236637,-0.047549553411715094,0.29161695614908295,0.18875445225629325,-0.11543604646094054,0.18585915026120337,0.0006540605285620034,-0.051627254379045535,0.12166024455516056,0.5422627959987842,1.0,0.34594425320087785,-0.10922192726106987,-0.24394884820645418,0.03120071526133742
mediation,-0.07221785665428192,0.28422866550834514,0.029169597815520112,-0.21291708759787387,0.19872147748977567,-0.03659463881355099,0.2853642263161812,0.03453090546300322,0.7759527924257388,0.5283332221328425,0.14360104941555246,0.2349774493664163,-0.1522274599973828,0.07594775271952395,0.14299269988415542,0.37980842675316023,0.34594425320087785,1.0,-0.09404331993607644,-0.37710855129095167,0.1467911054974621
participation,0.22567551583788828,-0.05765862167278664,0.08920549343658052,0.6508972058507675,-0.24162252977736695,0.13929703061505552,-0.10546989685337399,0.302422494080271,-0.11500212679737346,-0.3442388930457939,0.24975790028011674,-0.06810124312460933,0.08252937619678845,0.35019969997652495,-0.07120761284727989,-0.12359250173352765,-0.10922192726106987,-0.09404331993607644,1.0,0.12332575152332462,0.02436935158097244
none_r,0.2966712417541975,-0.37205138786262615,0.03999093516973782,0.37725093259402515,-0.03627521792646284,0.17003765142309937,-0.0847348408527433,0.13565487982226382,-0.21624046234521996,-0.1470230294796273,0.13509565542400614,-0.12190299834340511,0.2585207757367097,0.14767277175442187,-0.21609472553333492,-0.09171473201651503,-0.24394884820645418,-0.37710855129095167,0.12332575152332462,1.0,-0.17619319179035947
