Stereotype,Total,Mean,Median,Mode,Standard Deviation,Variance,Skewness,Kurtosis,Q1,Q3,IQR,Min,Max,Range,Min Non-Zero,Range Non-Zero
bringsAbout,26,0.17687074829931973,0.0,0,0.6692940491857547,0.44795452427546356,3.9484704073651877,15.181199672076035,0.0,0.0,0.0,0,4,4,1.0,3.0
characterization,339,2.306122448979592,0.0,0,3.9924796512600373,15.93989376572547,2.322485087592511,5.708625633044084,0.0,3.0,3.0,0,21,21,1.0,20.0
comparative,14,0.09523809523809523,0.0,0,0.7151332219343156,0.5114155251141551,9.883015076094818,105.47279507169247,0.0,0.0,0.0,0,8,8,1.0,7.0
componentOf,295,2.006802721088435,0.0,0,3.9733643979500113,15.787624638896656,2.6747881072187174,8.452588287120859,0.0,2.0,2.0,0,24,24,1.0,23.0
creation,34,0.23129251700680273,0.0,0,0.8363982404258494,0.699562016587457,4.311575019038428,20.629740334235244,0.0,0.0,0.0,0,6,6,1.0,5.0
derivation,150,1.0204081632653061,0.0,0,2.0788214118578483,4.321498462398658,2.801414943767677,8.483283721563511,0.0,1.0,1.0,0,11,11,1.0,10.0
externalDependence,71,0.48299319727891155,0.0,0,1.5674503400256599,2.4569005684465566,4.159124438491183,19.450911842217486,0.0,0.0,0.0,0,11,11,1.0,10.0
historicalDependence,35,0.23809523809523808,0.0,0,0.9240569671501929,0.8538812785388128,4.94552067516181,27.230866353548606,0.0,0.0,0.0,0,7,7,1.0,6.0
instantiation,63,0.42857142857142855,0.0,0,1.5659038267149576,2.452054794520548,4.295274825272585,19.235355849742792,0.0,0.0,0.0,0,10,10,1.0,9.0
manifestation,34,0.23129251700680273,0.0,0,1.0341300838318586,1.0694250302860868,6.792579457959,56.621739515606244,0.0,0.0,0.0,0,10,10,1.0,9.0
material,397,2.7006802721088436,0.0,0,5.833787939738728,34.03308172584103,5.131927278464852,35.686921119497065,0.0,3.0,3.0,0,51,51,1.0,50.0
mediation,929,6.319727891156463,4.0,0,7.83125665186421,61.32858074736745,1.9492534746684123,4.506890807033409,0.0,9.0,9.0,0,40,40,1.0,39.0
memberOf,98,0.6666666666666666,0.0,0,1.6565905461045354,2.744292237442923,3.679660676500515,15.427561022714547,0.0,1.0,1.0,0,10,10,1.0,9.0
participation,116,0.7891156462585034,0.0,0,2.297202862914735,5.2771409933836555,3.5202852284578445,13.075043683372614,0.0,0.0,0.0,0,14,14,1.0,13.0
participational,2,0.013605442176870748,0.0,0,0.11624222217746524,0.013512254216755192,8.484067820435309,70.94454221165283,0.0,0.0,0.0,0,1,1,1.0,0.0
subCollectionOf,21,0.14285714285714285,0.0,0,0.7022468831767834,0.4931506849315068,5.3277264733732865,28.931960408684546,0.0,0.0,0.0,0,5,5,1.0,4.0
subQuantityOf,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,
termination,3,0.02040816326530612,0.0,0,0.1839218027367766,0.033827229521945765,9.705885546897154,98.45850693258652,0.0,0.0,0.0,0,2,2,1.0,1.0
triggers,15,0.10204081632653061,0.0,0,0.43375856357344883,0.18814649147330165,4.631578960404709,22.1481155263659,0.0,0.0,0.0,0,3,3,1.0,2.0
