Stereotype,Stereotype2,Absolute Value,Sign,Classification
componentOf,characterization,0.16170485977476826,positive,very_weak
derivation,characterization,0.06713378654909151,negative,very_weak
externalDependence,characterization,0.35984227893194837,positive,weak
instantiation,characterization,0.283082197229101,positive,weak
material,characterization,0.06650577463184454,negative,very_weak
mediation,characterization,0.1718742971605868,positive,very_weak
memberOf,characterization,0.09180455341794966,positive,very_weak
participation,characterization,0.30433622343652206,positive,weak
none,characterization,0.19623875271275013,positive,very_weak
other,characterization,0.04225974870727683,positive,very_weak
characterization,componentOf,0.16170485977476826,positive,very_weak
derivation,componentOf,0.10101214574898786,negative,very_weak
externalDependence,componentOf,0.044604302675238794,negative,very_weak
instantiation,componentOf,0.12661906911665244,positive,very_weak
material,componentOf,0.09224632974536501,positive,very_weak
mediation,componentOf,0.07967699110008628,positive,very_weak
memberOf,componentOf,0.21311229801901233,positive,weak
participation,componentOf,0.057348552921311455,negative,very_weak
none,componentOf,0.14507137501478692,negative,very_weak
other,componentOf,0.12197920273006682,positive,very_weak
characterization,derivation,0.06713378654909151,negative,very_weak
componentOf,derivation,0.10101214574898786,negative,very_weak
externalDependence,derivation,0.12760218233675907,negative,very_weak
instantiation,derivation,0.155396130279528,negative,very_weak
material,derivation,0.5765395609085313,positive,moderate
mediation,derivation,0.4214215391341433,positive,moderate
memberOf,derivation,0.1156200538007712,positive,very_weak
participation,derivation,0.09584278707397256,negative,very_weak
none,derivation,0.08370305234666123,negative,very_weak
other,derivation,0.18265921220999853,positive,very_weak
characterization,externalDependence,0.35984227893194837,positive,weak
componentOf,externalDependence,0.044604302675238794,negative,very_weak
derivation,externalDependence,0.12760218233675907,negative,very_weak
instantiation,externalDependence,0.5872679791311741,positive,moderate
material,externalDependence,0.2591835095543513,negative,weak
mediation,externalDependence,0.0005894787945729424,negative,very_weak
memberOf,externalDependence,0.03761299576517352,positive,very_weak
participation,externalDependence,0.4152268510278213,positive,moderate
none,externalDependence,0.1394373281474075,positive,very_weak
other,externalDependence,0.01986067553816485,positive,very_weak
characterization,instantiation,0.283082197229101,positive,weak
componentOf,instantiation,0.12661906911665244,positive,very_weak
derivation,instantiation,0.155396130279528,negative,very_weak
externalDependence,instantiation,0.5872679791311741,positive,moderate
material,instantiation,0.18641906049463525,negative,very_weak
mediation,instantiation,0.07410976373568898,negative,very_weak
memberOf,instantiation,0.045045568039876215,negative,very_weak
participation,instantiation,0.5199295558440178,positive,moderate
none,instantiation,0.1790307502882702,positive,very_weak
other,instantiation,0.05281340926646477,positive,very_weak
characterization,material,0.06650577463184454,negative,very_weak
componentOf,material,0.09224632974536501,positive,very_weak
derivation,material,0.5765395609085313,positive,moderate
externalDependence,material,0.2591835095543513,negative,weak
instantiation,material,0.18641906049463525,negative,very_weak
mediation,material,0.3852366617616672,positive,weak
memberOf,material,0.12148214805202381,positive,very_weak
participation,material,0.1263507945427984,negative,very_weak
none,material,0.17904987589975876,negative,very_weak
other,material,0.09128709291752768,positive,very_weak
characterization,mediation,0.1718742971605868,positive,very_weak
componentOf,mediation,0.07967699110008628,positive,very_weak
derivation,mediation,0.4214215391341433,positive,moderate
externalDependence,mediation,0.0005894787945729424,negative,very_weak
instantiation,mediation,0.07410976373568898,negative,very_weak
material,mediation,0.3852366617616672,positive,weak
memberOf,mediation,0.21626666991839877,positive,weak
participation,mediation,0.03280787630555277,negative,very_weak
none,mediation,0.21683956502144902,negative,weak
other,mediation,0.13834130287903965,positive,very_weak
characterization,memberOf,0.09180455341794966,positive,very_weak
componentOf,memberOf,0.21311229801901233,positive,weak
derivation,memberOf,0.1156200538007712,positive,very_weak
externalDependence,memberOf,0.03761299576517352,positive,very_weak
instantiation,memberOf,0.045045568039876215,negative,very_weak
material,memberOf,0.12148214805202381,positive,very_weak
mediation,memberOf,0.21626666991839877,positive,weak
participation,memberOf,0.033459745851629384,positive,very_weak
none,memberOf,0.17119665981712642,negative,very_weak
other,memberOf,0.25154803627933503,positive,weak
characterization,participation,0.30433622343652206,positive,weak
componentOf,participation,0.057348552921311455,negative,very_weak
derivation,participation,0.09584278707397256,negative,very_weak
externalDependence,participation,0.4152268510278213,positive,moderate
instantiation,participation,0.5199295558440178,positive,moderate
material,participation,0.1263507945427984,negative,very_weak
mediation,participation,0.03280787630555277,negative,very_weak
memberOf,participation,0.033459745851629384,positive,very_weak
none,participation,0.21871936662008526,positive,weak
other,participation,0.006407887067573271,positive,very_weak
characterization,none,0.19623875271275013,positive,very_weak
componentOf,none,0.14507137501478692,negative,very_weak
derivation,none,0.08370305234666123,negative,very_weak
externalDependence,none,0.1394373281474075,positive,very_weak
instantiation,none,0.1790307502882702,positive,very_weak
material,none,0.17904987589975876,negative,very_weak
mediation,none,0.21683956502144902,negative,weak
memberOf,none,0.17119665981712642,negative,very_weak
participation,none,0.21871936662008526,positive,weak
other,none,0.09321725109716521,negative,very_weak
characterization,other,0.04225974870727683,positive,very_weak
componentOf,other,0.12197920273006682,positive,very_weak
derivation,other,0.18265921220999853,positive,very_weak
externalDependence,other,0.01986067553816485,positive,very_weak
instantiation,other,0.05281340926646477,positive,very_weak
material,other,0.09128709291752768,positive,very_weak
mediation,other,0.13834130287903965,positive,very_weak
memberOf,other,0.25154803627933503,positive,weak
participation,other,0.006407887067573271,positive,very_weak
none,other,0.09321725109716521,negative,very_weak
