year,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers,none,other
2005,0.0,0.125,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125
2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2011,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2012,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.125
2013,0.0,0.050314465408805034,0.0,0.11320754716981132,0.0,0.11949685534591195,0.0,0.0,0.0,0.0,0.16352201257861634,0.2138364779874214,0.11949685534591195,0.0,0.0,0.0440251572327044,0.0,0.0,0.0,0.050314465408805034,0.12578616352201258
2014,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0
2015,0.0,0.2222222222222222,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.1111111111111111
2016,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.18181818181818182
2017,0.0,0.05555555555555555,0.0,0.1111111111111111,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.2222222222222222,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3888888888888889,0.1111111111111111
2018,0.02702702702702703,0.10810810810810811,0.0,0.08108108108108109,0.0,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.08108108108108109,0.16216216216216217,0.05405405405405406,0.02702702702702703,0.0,0.0,0.0,0.0,0.02702702702702703,0.24324324324324326,0.05405405405405406
2019,0.0,0.10810810810810811,0.0,0.05405405405405406,0.0,0.08108108108108109,0.0,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.08108108108108109,0.16216216216216217,0.08108108108108109,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.1891891891891892,0.13513513513513514
2020,0.0,0.10714285714285714,0.0,0.05357142857142857,0.03571428571428571,0.08928571428571429,0.03571428571428571,0.0,0.03571428571428571,0.017857142857142856,0.07142857142857142,0.125,0.0,0.05357142857142857,0.0,0.0,0.0,0.0,0.03571428571428571,0.25,0.08928571428571429
2021,0.037037037037037035,0.12962962962962962,0.009259259259259259,0.06481481481481481,0.027777777777777776,0.05555555555555555,0.05555555555555555,0.027777777777777776,0.037037037037037035,0.037037037037037035,0.09259259259259259,0.12037037037037036,0.027777777777777776,0.05555555555555555,0.009259259259259259,0.0,0.0,0.0,0.018518518518518517,0.1574074074074074,0.037037037037037035
2022,0.02127659574468085,0.10638297872340426,0.0,0.0425531914893617,0.0425531914893617,0.07446808510638298,0.06382978723404255,0.06382978723404255,0.05319148936170213,0.02127659574468085,0.0851063829787234,0.13829787234042554,0.02127659574468085,0.05319148936170213,0.010638297872340425,0.0,0.0,0.010638297872340425,0.02127659574468085,0.14893617021276595,0.02127659574468085
2023,0.02564102564102564,0.1282051282051282,0.02564102564102564,0.08974358974358974,0.05128205128205128,0.07692307692307693,0.038461538461538464,0.0,0.01282051282051282,0.01282051282051282,0.0641025641025641,0.16666666666666666,0.07692307692307693,0.05128205128205128,0.0,0.0,0.0,0.01282051282051282,0.01282051282051282,0.14102564102564102,0.01282051282051282
2024,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.08823529411764706,0.029411764705882353,0.058823529411764705,0.08823529411764706,0.08823529411764706,0.029411764705882353,0.08823529411764706,0.0,0.0,0.0,0.0,0.029411764705882353,0.08823529411764706,0.029411764705882353
