Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,2,0.45436638214051217,2,0.31800766283524906
20.0,4,0.7820091923834537,4,0.6015325670498084
30.0,6,0.886408404464872,6,0.7816091954022989
40.0,8,0.943532501641497,8,0.89272030651341
50.0,10,0.9776756401838477,10,0.9578544061302682
60.0,12,0.9934340118187788,12,0.9808429118773946
70.0,14,0.9986868023637557,14,0.9923371647509579
80.0,16,1.0,16,1.0
90.0,18,1.0,18,1.0
100.0,21,1.0,21,1.0
