Stereotype,Total Frequency,Total Frequency per Group,Group Frequency,Ubiquity Index,Global Relative Frequency (Occurrence-wise),Global Relative Frequency (Group-wise)
abstract,1,0.023255813953488372,1,0.023255813953488372,0.0006720430107526882,0.003937007874015748
category,41,0.9534883720930233,15,0.3488372093023256,0.027553763440860215,0.05905511811023622
collective,66,1.5348837209302326,27,0.627906976744186,0.04435483870967742,0.1062992125984252
datatype,37,0.8604651162790697,9,0.20930232558139536,0.02486559139784946,0.03543307086614173
enumeration,4,0.09302325581395349,1,0.023255813953488372,0.002688172043010753,0.003937007874015748
event,0,0.0,0,0.0,0.0,0.0
historicalRole,0,0.0,0,0.0,0.0,0.0
historicalRoleMixin,0,0.0,0,0.0,0.0,0.0
kind,326,7.5813953488372094,42,0.9767441860465116,0.21908602150537634,0.16535433070866143
mixin,4,0.09302325581395349,3,0.06976744186046512,0.002688172043010753,0.011811023622047244
mode,21,0.4883720930232558,8,0.18604651162790697,0.014112903225806451,0.031496062992125984
phase,91,2.116279069767442,19,0.4418604651162791,0.061155913978494625,0.07480314960629922
phaseMixin,0,0.0,0,0.0,0.0,0.0
quality,18,0.4186046511627907,3,0.06976744186046512,0.012096774193548387,0.011811023622047244
quantity,1,0.023255813953488372,1,0.023255813953488372,0.0006720430107526882,0.003937007874015748
relator,228,5.3023255813953485,39,0.9069767441860465,0.1532258064516129,0.15354330708661418
role,347,8.069767441860465,39,0.9069767441860465,0.23319892473118278,0.15354330708661418
roleMixin,30,0.6976744186046512,12,0.27906976744186046,0.020161290322580645,0.047244094488188976
situation,0,0.0,0,0.0,0.0,0.0
subkind,267,6.209302325581396,33,0.7674418604651163,0.17943548387096775,0.12992125984251968
type,6,0.13953488372093023,2,0.046511627906976744,0.004032258064516129,0.007874015748031496
