Stereotype,category,collective,datatype,kind,mode,phase,quality,relator,role,roleMixin,subkind
category,1.0,-0.052766538516833196,0.1043642299727958,0.1294260446085906,0.017552871677128525,0.24332532316089495,0.23679746447764521,0.009754902018959915,-0.16716832277448984,0.0986209346776726,0.24543296510804058
collective,-0.052766538516833196,1.0,-0.15298351918058672,0.1740888885657991,-0.005132163168209235,-0.01056484088126403,-0.10342481925195084,0.2607091031381411,0.11462843051919525,-0.06340692536015284,0.12834558308515528
datatype,0.1043642299727958,-0.15298351918058672,1.0,-0.02938755960631985,0.07414258728847502,0.3636454555191222,0.3216572908013244,0.08392302301032294,0.04754502047945714,-0.15596694509455913,0.10157261111183527
kind,0.1294260446085906,0.1740888885657991,-0.02938755960631985,1.0,-0.015140034494764453,0.12870580403561852,0.1177757089500792,-0.008378329915143893,-0.09033538986050495,-0.027431617809154766,0.3902377024001592
mode,0.017552871677128525,-0.005132163168209235,0.07414258728847502,-0.015140034494764453,1.0,-0.05120094876240182,-0.12666742508142118,-0.2483229320052976,-0.22995557874824438,-0.1001301159801105,-0.3450891546721664
phase,0.24332532316089495,-0.01056484088126403,0.3636454555191222,0.12870580403561852,-0.05120094876240182,1.0,0.3102782114074465,0.1449699686631914,0.11284331499984392,-0.26198663714980336,0.3814021849056722
quality,0.23679746447764521,-0.10342481925195084,0.3216572908013244,0.1177757089500792,-0.12666742508142118,0.3102782114074465,1.0,0.14952084734976095,0.06447382974184976,-0.1721276986640057,0.2626073061689258
relator,0.009754902018959915,0.2607091031381411,0.08392302301032294,-0.008378329915143893,-0.2483229320052976,0.1449699686631914,0.14952084734976095,1.0,0.6942740785989799,0.203325632319283,0.16006898374192663
role,-0.16716832277448984,0.11462843051919525,0.04754502047945714,-0.09033538986050495,-0.22995557874824438,0.11284331499984392,0.06447382974184976,0.6942740785989799,1.0,0.06379182671175461,0.06077932618172399
roleMixin,0.0986209346776726,-0.06340692536015284,-0.15596694509455913,-0.027431617809154766,-0.1001301159801105,-0.26198663714980336,-0.1721276986640057,0.203325632319283,0.06379182671175461,1.0,-0.0566447331074646
subkind,0.24543296510804058,0.12834558308515528,0.10157261111183527,0.3902377024001592,-0.3450891546721664,0.3814021849056722,0.2626073061689258,0.16006898374192663,0.06077932618172399,-0.0566447331074646,1.0
