Stereotype,x_value,y_value,distance_from_origin,rank,quadrant
abstract,0.0004130524576621231,0.022727272727272728,0.02273102588869705,23,Q3
category,0.020652622883106153,0.36363636363636365,0.3642223713483694,12,Q1
collective,0.027261462205700124,0.6136363636363636,0.6142416251756733,7,Q1
datatype,0.015282940933498555,0.20454545454545456,0.20511560462037845,15,Q1
enumeration,0.0016522098306484924,0.022727272727272728,0.02278724913069426,21,Q4
event,0.0,0.0,0.0,32,Q3
historicalRole,0.0,0.0,0.0,32,Q3
historicalRoleMixin,0.0,0.0,0.0,32,Q3
kind,0.1412639405204461,0.9772727272727273,0.9874297364179583,1,Q1
mixin,0.0016522098306484924,0.06818181818181818,0.0682018337576271,19,Q1
mode,0.008674101610904586,0.18181818181818182,0.18202497432612297,16,Q1
phase,0.03841387856257745,0.45454545454545453,0.4561657553062859,10,Q1
phaseMixin,0.0,0.0,0.0,32,Q3
quality,0.007434944237918215,0.06818181818181818,0.06858599511853324,18,Q1
quantity,0.0004130524576621231,0.022727272727272728,0.02273102588869705,23,Q3
relator,0.09458901280462619,0.9090909090909091,0.9139985570749493,3,Q1
role,0.14456836018174307,0.9090909090909091,0.9205141453325819,2,Q1
roleMixin,0.012804626187525816,0.29545454545454547,0.295731883437607,13,Q1
situation,0.0,0.0,0.0,32,Q3
subkind,0.11152416356877323,0.7727272727272727,0.7807336787126858,5,Q1
type,0.0024783147459727386,0.045454545454545456,0.0455220578012401,20,Q1
bringsAbout,0.0,0.0,0.0,32,Q3
characterization,0.013630731102850062,0.25,0.25037131790682055,14,Q1
comparative,0.0004130524576621231,0.022727272727272728,0.02273102588869705,23,Q3
componentOf,0.056588186699710864,0.45454545454545453,0.4580543560778515,9,Q1
creation,0.0,0.0,0.0,32,Q3
derivation,0.02973977695167286,0.5,0.5008836734543614,8,Q1
externalDependence,0.0,0.0,0.0,32,Q3
historicalDependence,0.0,0.0,0.0,32,Q3
instantiation,0.0,0.0,0.0,32,Q3
manifestation,0.0,0.0,0.0,32,Q3
material,0.05080545229244114,0.6590909090909091,0.6610461560503325,6,Q1
mediation,0.19248244527054936,0.8863636363636364,0.9070225948702153,4,Q1
memberOf,0.0214787277984304,0.4090909090909091,0.40965437584464487,11,Q1
participation,0.0,0.0,0.0,32,Q3
participational,0.0,0.0,0.0,32,Q3
subCollectionOf,0.0057827344072697235,0.11363636363636363,0.11378340457958219,17,Q1
subQuantityOf,0.0,0.0,0.0,32,Q3
termination,0.0,0.0,0.0,32,Q3
triggers,0.0,0.0,0.0,32,Q3
