Stereotype,category,collective,datatype,kind,mode,phase,relator,role,roleMixin,subkind,characterization,componentOf,derivation,material,mediation,memberOf,subCollectionOf
category,1.0,0.15964024811538646,0.10320871374653917,-0.21081851067789195,0.1516350793151491,0.23307361127050977,0.06641435771628686,0.2344036154692477,-0.020239224690630542,0.056407607481776624,0.13003912165257484,-0.09555330859059093,0.12939849425475897,0.09202290406282428,0.06641435771628686,-0.027602622373694166,-0.26549712202679576
collective,0.15964024811538646,1.0,-0.07701147556485244,-0.11878277418329972,0.120761472884912,0.10364146350020939,-0.08089377861617926,0.0847458633121878,-0.05737391592521976,-0.08210372296281489,0.010257624248277728,0.23554208215044742,-0.07834389928024531,-0.021490059564796982,-0.08089377861617926,0.5556712842424802,0.27923593886113035
datatype,0.10320871374653917,-0.07701147556485244,1.0,0.07938841860374447,0.047828670265295956,0.3480168066934192,-0.032038710455563564,-0.22884793182545404,-0.19265539421634423,-0.12272892320802117,0.22242869567200224,-0.021323100700240044,0.2739400455803429,0.23548018175333427,-0.032038710455563564,-0.08892972917998876,-0.00829454336322399
kind,-0.21081851067789195,-0.11878277418329972,0.07938841860374447,1.0,-0.3227486121839514,0.137292411841319,-0.04941662111074008,-0.04941662111074008,0.09600307214746386,0.2803059552906941,-0.2631806779839076,0.14388861576723855,0.1579345138264476,0.22208045364497178,-0.04941662111074008,-0.181848241863327,0.05597170785495563
mode,0.1516350793151491,0.120761472884912,0.047828670265295956,-0.3227486121839514,1.0,-0.06436746403319897,-0.46412014517526506,-0.25837616329344654,-0.03098485830098972,-0.30265777968149377,0.678467823601339,-0.08637812294917968,-0.2502318034804895,-0.43302285923735845,-0.46412014517526506,0.32115861679683627,0.0130066495428618
phase,0.23307361127050977,0.10364146350020939,0.3480168066934192,0.137292411841319,-0.06436746403319897,1.0,0.12372834943310808,0.12372834943310808,-0.24037057553357682,0.15724992382614375,0.2296328808513756,0.2030587046363788,0.11982826753700049,0.018592789348192546,0.12372834943310808,0.19426474570287308,-0.17666239824805763
relator,0.06641435771628686,-0.08089377861617926,-0.032038710455563564,-0.04941662111074008,-0.46412014517526506,0.12372834943310808,1.0,0.44871794871794873,0.19925419255468715,0.20273958938337894,-0.1792320447747162,-0.1829173348634131,0.3277927812629611,0.46092755662274354,1.0,-0.2151326364874732,0.11616917255955381
role,0.2344036154692477,0.0847458633121878,-0.22884793182545404,-0.04941662111074008,-0.25837616329344654,0.12372834943310808,0.44871794871794873,1.0,0.19925419255468715,0.20273958938337894,-0.36273151918692564,-0.1829173348634131,0.1676213086003778,0.2900664795987955,0.44871794871794873,-0.2151326364874732,0.11616917255955381
roleMixin,-0.020239224690630542,-0.05737391592521976,-0.19265539421634423,0.09600307214746386,-0.03098485830098972,-0.24037057553357682,0.19925419255468715,0.19925419255468715,1.0,-0.025687040446902815,-0.12712033538204728,-0.060435152578066476,-0.22191945114529704,-0.23158371832252467,0.19925419255468715,-0.2126383167809623,-0.06394412529825129
subkind,0.056407607481776624,-0.08210372296281489,-0.12272892320802117,0.2803059552906941,-0.30265777968149377,0.15724992382614375,0.20273958938337894,0.20273958938337894,-0.025687040446902815,1.0,-0.18191285414004535,0.29259639133342685,-0.09732079296873827,0.0874238627656249,0.20273958938337894,-0.20240972548199598,-0.1437701514895569
characterization,0.13003912165257484,0.010257624248277728,0.22242869567200224,-0.2631806779839076,0.678467823601339,0.2296328808513756,-0.1792320447747162,-0.36273151918692564,-0.12712033538204728,-0.18191285414004535,1.0,0.09443507923289586,-0.1735824126877212,-0.388850790540633,-0.1792320447747162,0.2587972374292471,-0.04640161686673095
componentOf,-0.09555330859059093,0.23554208215044742,-0.021323100700240044,0.14388861576723855,-0.08637812294917968,0.2030587046363788,-0.1829173348634131,-0.1829173348634131,-0.060435152578066476,0.29259639133342685,0.09443507923289586,1.0,-0.30151914756542236,-0.24759498567814756,-0.1829173348634131,0.05934424260562082,-0.04735570640442168
derivation,0.12939849425475897,-0.07834389928024531,0.2739400455803429,0.1579345138264476,-0.2502318034804895,0.11982826753700049,0.3277927812629611,0.1676213086003778,-0.22191945114529704,-0.09732079296873827,-0.1735824126877212,-0.30151914756542236,1.0,0.7111590022187596,0.3277927812629611,-0.1140449604596933,0.2092637006814019
material,0.09202290406282428,-0.021490059564796982,0.23548018175333427,0.22208045364497178,-0.43302285923735845,0.018592789348192546,0.46092755662274354,0.2900664795987955,-0.23158371832252467,0.0874238627656249,-0.388850790540633,-0.24759498567814756,0.7111590022187596,1.0,0.46092755662274354,-0.1146375263694541,0.25203347226782336
mediation,0.06641435771628686,-0.08089377861617926,-0.032038710455563564,-0.04941662111074008,-0.46412014517526506,0.12372834943310808,1.0,0.44871794871794873,0.19925419255468715,0.20273958938337894,-0.1792320447747162,-0.1829173348634131,0.3277927812629611,0.46092755662274354,1.0,-0.2151326364874732,0.11616917255955381
memberOf,-0.027602622373694166,0.5556712842424802,-0.08892972917998876,-0.181848241863327,0.32115861679683627,0.19426474570287308,-0.2151326364874732,-0.2151326364874732,-0.2126383167809623,-0.20240972548199598,0.2587972374292471,0.05934424260562082,-0.1140449604596933,-0.1146375263694541,-0.2151326364874732,1.0,-0.013679711361135388
subCollectionOf,-0.26549712202679576,0.27923593886113035,-0.00829454336322399,0.05597170785495563,0.0130066495428618,-0.17666239824805763,0.11616917255955381,0.11616917255955381,-0.06394412529825129,-0.1437701514895569,-0.04640161686673095,-0.04735570640442168,0.2092637006814019,0.25203347226782336,0.11616917255955381,-0.013679711361135388,1.0
