Stereotype,category,collective,datatype,kind,phase,relator,role,roleMixin,subkind,characterization,componentOf,derivation,material,mediation,memberOf
category,1.0,-0.052766538516833196,0.1043642299727958,0.1294260446085906,0.24332532316089495,0.009754902018959915,-0.16716832277448984,0.0986209346776726,0.24543296510804058,0.10008392053973324,-0.036936859688718536,0.06609104032109896,0.14653098058511424,0.06199219809240606,-0.048648989135466184
collective,-0.052766538516833196,1.0,-0.15298351918058672,0.1740888885657991,-0.01056484088126403,0.2607091031381411,0.11462843051919525,-0.06340692536015284,0.12834558308515528,-0.0554579435766247,0.2564737549617898,0.07686537357694675,0.20399073451834962,0.24189036925310328,0.3544852440933561
datatype,0.1043642299727958,-0.15298351918058672,1.0,-0.02938755960631985,0.3636454555191222,0.08392302301032294,0.04754502047945714,-0.15596694509455913,0.10157261111183527,0.2353399349270191,-0.04020101198635256,0.3229964554568851,0.3575825691064334,0.12345561039341596,-0.13276906495783194
kind,0.1294260446085906,0.1740888885657991,-0.02938755960631985,1.0,0.12870580403561852,-0.008378329915143893,-0.09033538986050495,-0.027431617809154766,0.3902377024001592,0.07980405143493202,0.6083072428084736,-0.22202372952500046,-0.172173797749739,0.050559263610149084,-0.006661211738832986
phase,0.24332532316089495,-0.01056484088126403,0.3636454555191222,0.12870580403561852,1.0,0.1449699686631914,0.11284331499984392,-0.26198663714980336,0.3814021849056722,0.26741411759747946,0.17828356243769994,0.11922222123633178,0.08263551115194208,0.13111220798805606,0.2955053832697933
relator,0.009754902018959915,0.2607091031381411,0.08392302301032294,-0.008378329915143893,0.1449699686631914,1.0,0.6942740785989799,0.203325632319283,0.16006898374192663,-0.046243065896018114,-0.14499923750799298,0.37442210070079857,0.3560238210054325,0.9362359821788229,0.08183306644527952
role,-0.16716832277448984,0.11462843051919525,0.04754502047945714,-0.09033538986050495,0.11284331499984392,0.6942740785989799,1.0,0.06379182671175461,0.06077932618172399,-0.1851976639908128,-0.1966998265070209,0.1991746488064968,0.20360443273524922,0.724817016352616,0.06194967292509482
roleMixin,0.0986209346776726,-0.06340692536015284,-0.15596694509455913,-0.027431617809154766,-0.26198663714980336,0.203325632319283,0.06379182671175461,1.0,-0.0566447331074646,-0.1725029422509659,-0.21719447496307537,-0.12395544081231706,-0.09627207462869639,0.19235873921510974,-0.2963297221311804
subkind,0.24543296510804058,0.12834558308515528,0.10157261111183527,0.3902377024001592,0.3814021849056722,0.16006898374192663,0.06077932618172399,-0.0566447331074646,1.0,-0.08685429367133837,0.49664361075217117,-0.10334021525691761,-0.031188206848308198,0.1887154281294289,0.099941162722882
characterization,0.10008392053973324,-0.0554579435766247,0.2353399349270191,0.07980405143493202,0.26741411759747946,-0.046243065896018114,-0.1851976639908128,-0.1725029422509659,-0.08685429367133837,1.0,0.15918850769612594,-0.05430119032751429,-0.2219312779560636,-0.06938116548043582,0.08454949282784012
componentOf,-0.036936859688718536,0.2564737549617898,-0.04020101198635256,0.6083072428084736,0.17828356243769994,-0.14499923750799298,-0.1966998265070209,-0.21719447496307537,0.49664361075217117,0.15918850769612594,1.0,-0.18999976439777938,-0.2158470677848026,-0.06486184553828059,0.14760612084523775
derivation,0.06609104032109896,0.07686537357694675,0.3229964554568851,-0.22202372952500046,0.11922222123633178,0.37442210070079857,0.1991746488064968,-0.12395544081231706,-0.10334021525691761,-0.05430119032751429,-0.18999976439777938,1.0,0.8022454744384392,0.37869408004284144,0.03546726807299017
material,0.14653098058511424,0.20399073451834962,0.3575825691064334,-0.172173797749739,0.08263551115194208,0.3560238210054325,0.20360443273524922,-0.09627207462869639,-0.031188206848308198,-0.2219312779560636,-0.2158470677848026,0.8022454744384392,1.0,0.36622442532269334,0.030542475458958083
mediation,0.06199219809240606,0.24189036925310328,0.12345561039341596,0.050559263610149084,0.13111220798805606,0.9362359821788229,0.724817016352616,0.19235873921510974,0.1887154281294289,-0.06938116548043582,-0.06486184553828059,0.37869408004284144,0.36622442532269334,1.0,-0.009427831589600725
memberOf,-0.048648989135466184,0.3544852440933561,-0.13276906495783194,-0.006661211738832986,0.2955053832697933,0.08183306644527952,0.06194967292509482,-0.2963297221311804,0.099941162722882,0.08454949282784012,0.14760612084523775,0.03546726807299017,0.030542475458958083,-0.009427831589600725,1.0
